	decision	gains	losses
0	1	22	5
1	1	22	7
2	1	22	9
3	1	28	8
4	1	20	7
5	1	26	7
6	1	18	5
7	1	26	5
8	1	30	8
9	1	30	10
10	1	24	5
11	1	28	7
12	1	22	6
13	1	26	8
14	1	18	6
15	1	26	9
16	1	26	10
17	1	24	8
18	1	30	5
19	1	20	5
20	1	24	6
21	1	30	11
22	1	30	9
23	1	28	5
24	1	30	7
25	1	26	11
26	1	30	6
27	1	28	10
28	1	26	6
29	1	28	6
30	1	20	6
31	1	24	7
32	1	16	5
33	0	24	10
34	0	20	8
35	0	12	12
36	0	20	15
37	0	18	10
38	0	14	12
39	0	16	8
40	0	12	13
41	0	12	5
42	0	26	13
43	0	14	8
44	0	18	15
45	0	24	14
46	0	22	11
47	0	12	7
48	0	16	7
49	0	10	6
50	0	22	13
51	0	12	8
52	0	20	11
53	0	28	12
54	0	12	14
55	0	16	9
56	0	20	13
57	0	18	7
58	0	18	12
59	0	10	15
60	0	14	11
61	0	16	14
62	0	18	14
63	0	30	13
64	0	18	9
65	0	28	14
66	0	18	13
67	0	24	15
68	0	14	10
69	0	16	12
70	0	24	12
71	0	16	6
72	0	22	10
73	0	20	9
74	0	10	11
75	0	18	11
76	0	30	14
77	0	10	9
78	0	24	9
79	0	28	11
80	0	20	10
81	0	18	8
82	0	20	12
83	0	26	15
84	0	16	15
85	0	16	10
86	0	16	11
87	0	12	15
88	0	10	14
89	0	14	5
90	0	14	9
91	0	26	14
92	0	28	13
93	0	10	8
94	0	12	9
95	0	30	15
96	0	20	14
97	0	12	11
98	0	14	14
99	0	14	15
100	0	26	12
101	0	10	7
102	0	28	9
103	0	14	13
104	0	12	6
105	0	30	12
106	0	14	6
107	0	10	5
108	0	22	15
109	0	10	10
110	0	28	15
111	0	22	8
112	0	22	14
113	0	22	12
114	0	12	10
115	0	10	13
116	0	16	13
117	0	14	7
118	0	24	13
119	0	10	12
120	0	24	11
