	decision	gains	losses
0	1	14	5
1	1	16	5
2	1	18	7
3	1	28	7
4	1	18	5
5	1	30	7
6	1	20	7
7	1	28	8
8	1	26	8
9	1	26	5
10	1	28	5
11	1	26	7
12	1	30	5
13	1	22	5
14	1	28	6
15	1	30	8
16	1	26	6
17	1	20	6
18	1	22	6
19	1	24	5
20	1	30	6
21	1	20	5
22	1	24	6
23	0	30	10
24	0	20	13
25	0	10	12
26	0	12	7
27	0	16	9
28	0	14	10
29	0	24	11
30	0	18	13
31	0	28	12
32	0	10	14
33	0	14	15
34	0	12	6
35	0	22	15
36	0	14	12
37	0	10	11
38	0	10	6
39	0	22	13
40	0	18	8
41	0	12	8
42	0	16	6
43	0	12	9
44	0	10	10
45	0	26	11
46	0	30	15
47	0	20	14
48	0	22	14
49	0	12	13
50	0	22	8
51	0	12	12
52	0	16	14
53	0	18	9
54	0	22	11
55	0	10	15
56	0	12	5
57	0	10	13
58	0	28	13
59	0	30	9
60	0	30	13
61	0	20	15
62	0	18	10
63	0	16	13
64	0	14	8
65	0	18	12
66	0	28	10
67	0	28	9
68	0	26	9
69	0	24	7
70	0	18	15
71	0	24	12
72	0	12	11
73	0	14	14
74	0	20	8
75	0	24	9
76	0	14	9
77	0	16	15
78	0	26	15
79	0	24	10
80	0	10	9
81	0	30	14
82	0	18	11
83	0	16	7
84	0	14	6
85	0	30	11
86	0	28	14
87	0	22	12
88	0	16	8
89	0	24	15
90	0	20	10
91	0	10	7
92	0	10	5
93	0	28	15
94	0	22	10
95	0	12	14
96	0	24	14
97	0	16	10
98	0	26	13
99	0	26	10
100	0	14	7
101	0	26	12
102	0	28	11
103	0	10	8
104	0	20	9
105	0	12	15
106	0	22	7
107	0	12	10
108	0	18	6
109	0	20	11
110	0	24	13
111	0	14	11
112	0	26	14
113	0	14	13
114	0	16	11
115	0	16	12
116	0	30	12
117	0	18	14
118	0	22	9
119	0	20	12
120	0	24	8
