	decision	gains	losses
0	1	28	11
1	1	24	5
2	1	18	9
3	1	22	11
4	1	30	11
5	1	22	5
6	1	24	7
7	1	14	5
8	1	30	10
9	1	14	7
10	1	24	9
11	1	18	7
12	1	28	6
13	1	10	6
14	1	20	6
15	1	26	6
16	1	26	5
17	1	16	5
18	1	20	5
19	1	18	5
20	1	28	7
21	1	30	7
22	1	18	8
23	1	28	5
24	1	20	9
25	1	24	6
26	1	22	6
27	1	30	5
28	1	26	8
29	1	26	7
30	1	30	6
31	1	10	5
32	1	12	6
33	0	14	13
34	0	16	13
35	0	12	15
36	0	28	13
37	0	14	12
38	0	26	12
39	0	18	14
40	0	12	13
41	0	14	11
42	0	20	13
43	0	28	9
44	0	20	15
45	0	16	14
46	0	20	14
47	0	22	13
48	0	22	7
49	0	28	10
50	0	24	10
51	0	24	11
52	0	26	13
53	0	14	15
54	0	28	8
55	0	22	9
56	0	26	14
57	0	18	15
58	0	16	15
59	0	16	7
60	0	28	14
61	0	26	11
62	0	20	7
63	0	22	15
64	0	24	15
65	0	30	8
66	0	18	13
67	0	10	8
68	0	20	10
69	0	10	13
70	0	10	14
71	0	10	9
72	0	24	13
73	0	10	11
74	0	12	12
75	0	12	11
76	0	30	9
77	0	14	9
78	0	12	9
79	0	26	15
80	0	24	8
81	0	30	12
82	0	18	12
83	0	20	11
84	0	10	10
85	0	10	7
86	0	22	10
87	0	14	10
88	0	10	15
89	0	22	12
90	0	26	10
91	0	14	8
92	0	12	10
93	0	18	11
94	0	24	12
95	0	30	14
96	0	30	13
97	0	16	11
98	0	16	9
99	0	12	14
100	0	28	15
101	0	16	12
102	0	14	14
103	0	20	12
104	0	22	14
105	0	18	10
106	0	20	8
107	0	12	8
108	0	30	15
109	0	10	12
110	0	16	8
111	0	24	14
112	0	18	6
113	0	12	5
114	0	16	10
115	0	22	8
116	0	28	12
117	0	16	6
118	0	26	9
119	0	12	7
120	0	14	6
