	decision	gains	losses
0	1	18	6
1	1	24	7
2	1	30	10
3	1	28	7
4	1	22	7
5	1	18	5
6	1	14	5
7	1	16	5
8	1	24	6
9	1	20	5
10	1	30	5
11	1	24	5
12	1	28	6
13	1	20	6
14	1	26	5
15	1	26	7
16	1	30	6
17	1	30	8
18	1	28	9
19	1	30	7
20	1	26	6
21	1	28	5
22	1	26	8
23	1	22	6
24	1	22	5
25	1	30	9
26	0	10	6
27	0	10	11
28	0	28	14
29	0	24	9
30	0	24	14
31	0	26	14
32	0	12	7
33	0	10	14
34	0	20	12
35	0	12	11
36	0	20	9
37	0	20	15
38	0	22	11
39	0	30	15
40	0	28	12
41	0	22	10
42	0	18	14
43	0	12	15
44	0	28	15
45	0	20	8
46	0	18	13
47	0	14	14
48	0	22	13
49	0	28	11
50	0	30	13
51	0	16	13
52	0	16	7
53	0	14	7
54	0	16	12
55	0	22	14
56	0	16	8
57	0	22	12
58	0	12	12
59	0	20	11
60	0	20	10
61	0	24	11
62	0	12	13
63	0	26	12
64	0	12	14
65	0	26	11
66	0	12	8
67	0	18	8
68	0	12	6
69	0	16	9
70	0	28	8
71	0	10	15
72	0	18	9
73	0	30	14
74	0	22	9
75	0	20	14
76	0	10	5
77	0	14	13
78	0	18	15
79	0	24	10
80	0	18	12
81	0	10	8
82	0	28	10
83	0	22	8
84	0	16	11
85	0	18	10
86	0	26	9
87	0	20	13
88	0	16	6
89	0	30	11
90	0	14	12
91	0	12	9
92	0	24	12
93	0	26	13
94	0	14	9
95	0	28	13
96	0	10	9
97	0	26	15
98	0	16	10
99	0	16	15
100	0	10	12
101	0	14	6
102	0	30	12
103	0	18	11
104	0	24	8
105	0	10	13
106	0	24	13
107	0	18	7
108	0	12	10
109	0	10	7
110	0	14	11
111	0	12	5
112	0	20	7
113	0	14	15
114	0	26	10
115	0	22	15
116	0	10	10
117	0	14	8
118	0	14	10
119	0	16	14
120	0	24	15
