	decision	gains	losses
0	1	28	13
1	1	22	14
2	1	24	13
3	1	24	8
4	1	24	12
5	1	30	11
6	1	28	9
7	1	30	6
8	1	30	7
9	1	30	8
10	1	24	9
11	1	20	7
12	1	26	6
13	1	22	11
14	1	28	11
15	1	16	5
16	1	20	6
17	1	20	9
18	1	14	6
19	1	16	9
20	1	28	7
21	1	22	8
22	1	28	12
23	1	24	5
24	1	26	15
25	1	22	5
26	1	20	10
27	1	30	9
28	1	26	14
29	1	10	5
30	1	26	13
31	1	28	5
32	1	28	8
33	1	30	10
34	1	18	7
35	1	26	5
36	1	28	14
37	1	28	15
38	1	18	6
39	1	30	12
40	1	24	7
41	1	20	11
42	1	14	5
43	1	20	5
44	1	18	5
45	1	24	10
46	1	30	13
47	1	30	14
48	1	30	5
49	1	18	9
50	1	22	9
51	1	24	6
52	1	26	8
53	1	26	7
54	1	22	6
55	1	16	7
56	1	26	9
57	1	16	6
58	1	22	7
59	1	28	6
60	0	22	15
61	0	20	12
62	0	10	7
63	0	14	13
64	0	12	10
65	0	10	14
66	0	14	12
67	0	12	6
68	0	18	13
69	0	10	12
70	0	18	12
71	0	12	11
72	0	12	7
73	0	18	11
74	0	16	12
75	0	14	15
76	0	12	8
77	0	12	14
78	0	14	9
79	0	10	15
80	0	10	10
81	0	10	8
82	0	14	7
83	0	16	15
84	0	16	13
85	0	10	9
86	0	18	15
87	0	14	11
88	0	18	8
89	0	10	13
90	0	10	11
91	0	18	10
92	0	16	14
93	0	14	10
94	0	20	8
95	0	18	14
96	0	16	10
97	0	12	9
98	0	26	12
99	0	24	11
100	0	12	15
101	0	22	12
102	0	24	14
103	0	22	13
104	0	20	13
105	0	10	6
106	0	26	11
107	0	14	8
108	0	20	15
109	0	12	13
110	0	30	15
111	0	16	8
112	0	12	12
113	0	24	15
114	0	20	14
115	0	16	11
116	0	14	14
117	0	26	10
118	0	12	5
119	0	22	10
120	0	28	10
