	decision	gains	losses
0	1	28	6
1	1	28	14
2	1	28	15
3	1	28	8
4	1	28	9
5	1	24	5
6	1	20	11
7	1	24	6
8	1	16	7
9	1	22	10
10	1	26	15
11	1	24	8
12	1	22	5
13	1	16	5
14	1	12	7
15	1	14	8
16	1	24	13
17	1	28	13
18	1	22	13
19	1	28	11
20	1	30	6
21	1	12	5
22	1	18	6
23	1	24	7
24	1	22	7
25	1	24	12
26	1	16	11
27	1	26	10
28	1	16	10
29	1	26	11
30	1	20	8
31	1	16	9
32	1	14	5
33	1	20	5
34	1	22	9
35	1	30	11
36	1	24	10
37	1	28	5
38	1	10	5
39	1	18	7
40	1	14	7
41	1	30	12
42	1	20	12
43	1	30	5
44	1	26	13
45	1	20	6
46	1	30	8
47	1	22	11
48	1	28	7
49	1	26	12
50	1	30	7
51	1	26	9
52	1	14	9
53	1	26	7
54	1	30	13
55	1	20	15
56	1	22	6
57	1	26	14
58	1	20	10
59	1	14	6
60	1	18	5
61	1	30	14
62	1	26	5
63	1	24	9
64	1	18	9
65	1	26	8
66	1	22	12
67	1	12	6
68	1	28	10
69	1	18	8
70	1	30	10
71	1	20	7
72	1	22	8
73	1	16	8
74	1	16	6
75	1	30	9
76	1	14	10
77	1	26	6
78	1	20	9
79	0	10	7
80	0	10	12
81	0	10	14
82	0	10	8
83	0	10	6
84	0	12	12
85	0	12	8
86	0	18	13
87	0	10	15
88	0	18	15
89	0	22	15
90	0	18	10
91	0	10	13
92	0	16	13
93	0	24	15
94	0	14	11
95	0	18	14
96	0	16	12
97	0	28	12
98	0	12	13
99	0	20	14
100	0	14	15
101	0	14	14
102	0	30	15
103	0	10	11
104	0	16	15
105	0	16	14
106	0	14	13
107	0	22	14
108	0	24	14
109	0	24	11
110	0	18	12
111	0	12	10
112	0	12	9
113	0	10	10
114	0	10	9
115	0	18	11
116	0	12	15
117	0	14	12
118	0	20	13
119	0	12	14
120	0	12	11
