	decision	gains	losses
0	1	22	13
1	1	12	11
2	1	20	5
3	1	24	5
4	1	12	9
5	1	30	10
6	1	22	10
7	1	22	6
8	1	28	11
9	1	14	10
10	1	26	12
11	1	12	6
12	1	30	5
13	1	10	6
14	1	20	9
15	1	24	11
16	1	28	6
17	1	16	12
18	1	16	7
19	1	30	7
20	1	30	6
21	1	18	11
22	1	14	6
23	1	28	13
24	1	30	11
25	1	10	9
26	1	28	7
27	1	26	5
28	1	14	13
29	1	18	13
30	1	24	6
31	1	10	5
32	1	14	8
33	1	12	7
34	1	26	13
35	1	10	8
36	1	26	6
37	1	14	7
38	1	28	12
39	1	16	6
40	1	30	9
41	1	14	5
42	1	30	13
43	1	14	12
44	1	16	9
45	1	12	8
46	1	16	5
47	1	22	8
48	1	28	9
49	1	18	12
50	1	18	5
51	1	20	10
52	1	14	11
53	1	26	8
54	1	20	13
55	1	26	11
56	1	24	7
57	1	18	8
58	1	26	10
59	1	22	7
60	1	18	6
61	1	10	7
62	1	16	11
63	1	18	10
64	1	20	7
65	1	24	8
66	1	28	5
67	1	20	12
68	1	24	10
69	1	30	8
70	1	28	8
71	1	12	10
72	1	22	11
73	1	14	9
74	1	24	12
75	1	26	7
76	1	20	6
77	1	26	9
78	1	24	9
79	1	16	10
80	1	20	8
81	1	12	5
82	1	18	7
83	1	16	8
84	1	22	9
85	1	30	12
86	1	22	5
87	1	18	9
88	1	28	10
89	1	20	11
90	1	22	12
91	0	28	15
92	0	10	14
93	0	20	14
94	0	10	11
95	0	14	15
96	0	18	14
97	0	10	15
98	0	22	14
99	0	30	15
100	0	12	15
101	0	16	14
102	0	24	14
103	0	22	15
104	0	20	15
105	0	14	14
106	0	10	12
107	0	30	14
108	0	12	14
109	0	18	15
110	0	10	10
111	0	16	13
112	0	26	14
113	0	24	15
114	0	10	13
115	0	12	12
116	0	26	15
117	0	12	13
118	0	24	13
119	0	28	14
120	0	16	15
