	decision	gains	losses
0	1	30	6
1	1	22	6
2	1	10	5
3	1	30	9
4	1	24	15
5	1	24	5
6	1	16	8
7	1	30	10
8	1	24	10
9	1	28	6
10	1	18	5
11	1	26	8
12	1	30	15
13	1	22	7
14	1	24	7
15	1	22	10
16	1	26	7
17	1	28	14
18	1	28	5
19	1	26	12
20	1	20	9
21	1	26	10
22	1	20	7
23	1	22	8
24	1	28	8
25	1	24	6
26	1	28	13
27	1	30	13
28	1	30	11
29	1	20	12
30	1	22	14
31	1	20	10
32	1	22	13
33	1	24	13
34	1	22	15
35	1	18	8
36	1	26	14
37	1	20	11
38	1	24	9
39	1	22	5
40	1	20	13
41	1	16	12
42	1	28	9
43	1	30	8
44	1	26	11
45	1	18	10
46	1	16	6
47	1	26	9
48	1	30	7
49	1	26	5
50	1	18	7
51	1	28	15
52	1	14	8
53	1	30	12
54	1	14	5
55	1	22	12
56	1	20	15
57	1	20	14
58	1	20	6
59	1	12	6
60	1	22	9
61	1	18	6
62	1	10	9
63	1	16	7
64	1	18	9
65	1	30	14
66	1	28	10
67	1	26	15
68	1	20	5
69	1	22	11
70	1	24	11
71	1	26	13
72	1	24	8
73	1	26	6
74	1	28	12
75	1	28	11
76	1	14	11
77	1	30	5
78	1	12	9
79	1	20	8
80	1	28	7
81	0	10	10
82	0	14	14
83	0	12	5
84	0	10	11
85	0	16	15
86	0	16	11
87	0	14	10
88	0	12	12
89	0	24	14
90	0	14	15
91	0	16	9
92	0	24	12
93	0	10	12
94	0	10	15
95	0	12	8
96	0	12	7
97	0	12	14
98	0	14	9
99	0	18	11
100	0	10	7
101	0	14	6
102	0	10	8
103	0	12	13
104	0	10	14
105	0	18	12
106	0	14	7
107	0	10	6
108	0	12	10
109	0	12	11
110	0	18	13
111	0	12	15
112	0	16	5
113	0	18	15
114	0	16	10
115	0	18	14
116	0	16	14
117	0	14	13
118	0	14	12
119	0	16	13
120	0	10	13
