	decision	gains	losses
0	1	20	5
1	1	30	11
2	1	22	5
3	1	26	5
4	1	30	10
5	1	24	7
6	1	30	9
7	1	30	7
8	1	30	5
9	1	30	6
10	1	28	5
11	1	26	14
12	1	26	7
13	1	26	6
14	1	22	6
15	1	20	6
16	1	30	14
17	1	26	10
18	1	28	8
19	1	22	11
20	1	28	6
21	1	28	10
22	1	24	6
23	1	30	8
24	0	28	13
25	0	28	12
26	0	22	10
27	0	30	13
28	0	16	7
29	0	18	12
30	0	12	8
31	0	20	12
32	0	12	11
33	0	10	6
34	0	10	14
35	0	20	13
36	0	18	15
37	0	12	6
38	0	14	9
39	0	28	7
40	0	14	13
41	0	12	14
42	0	10	9
43	0	26	13
44	0	22	12
45	0	14	5
46	0	28	15
47	0	10	12
48	0	16	13
49	0	18	11
50	0	18	14
51	0	26	11
52	0	24	8
53	0	14	15
54	0	26	15
55	0	22	13
56	0	14	12
57	0	30	15
58	0	10	7
59	0	22	15
60	0	12	5
61	0	14	7
62	0	12	7
63	0	24	11
64	0	16	12
65	0	10	15
66	0	20	10
67	0	10	5
68	0	22	14
69	0	20	7
70	0	24	12
71	0	20	14
72	0	24	13
73	0	10	10
74	0	24	9
75	0	14	11
76	0	20	15
77	0	18	7
78	0	18	13
79	0	28	11
80	0	14	8
81	0	12	10
82	0	26	8
83	0	24	15
84	0	12	12
85	0	14	10
86	0	12	9
87	0	22	9
88	0	16	5
89	0	14	14
90	0	10	8
91	0	12	15
92	0	18	6
93	0	16	8
94	0	28	9
95	0	30	12
96	0	22	7
97	0	28	14
98	0	10	11
99	0	16	10
100	0	26	12
101	0	16	15
102	0	18	5
103	0	10	13
104	0	18	8
105	0	26	9
106	0	16	11
107	0	24	5
108	0	16	9
109	0	18	10
110	0	14	6
111	0	16	6
112	0	16	14
113	0	24	10
114	0	22	8
115	0	20	11
116	0	20	9
117	0	20	8
118	0	12	13
119	0	24	14
120	0	18	9
