	decision	gains	losses
0	1	30	11
1	1	14	5
2	1	24	11
3	1	30	14
4	1	22	6
5	1	22	14
6	1	26	14
7	1	24	8
8	1	26	7
9	1	30	15
10	1	24	7
11	1	24	12
12	1	28	6
13	1	24	10
14	1	30	10
15	1	30	9
16	1	26	11
17	1	18	5
18	1	22	12
19	1	22	11
20	1	16	11
21	1	26	5
22	1	22	9
23	1	30	13
24	1	30	5
25	1	28	8
26	1	28	12
27	1	26	6
28	1	20	5
29	1	28	15
30	1	26	12
31	1	20	9
32	1	24	6
33	1	22	5
34	1	24	9
35	1	28	7
36	1	28	9
37	1	12	5
38	1	12	10
39	1	18	13
40	1	30	8
41	1	22	10
42	1	22	8
43	1	28	11
44	1	28	5
45	1	18	8
46	1	26	8
47	1	30	6
48	1	20	6
49	1	30	12
50	1	16	7
51	1	18	7
52	1	22	13
53	1	28	14
54	1	20	7
55	1	24	13
56	1	24	5
57	1	18	6
58	1	16	6
59	1	10	6
60	1	26	13
61	1	22	7
62	1	30	7
63	1	24	14
64	1	26	9
65	1	12	9
66	1	20	8
67	1	16	5
68	1	26	10
69	1	24	15
70	1	14	6
71	1	16	8
72	1	14	9
73	0	16	13
74	0	16	14
75	0	28	10
76	0	10	11
77	0	14	13
78	0	10	12
79	0	20	10
80	0	10	5
81	0	20	13
82	0	28	13
83	0	18	12
84	0	12	14
85	0	14	8
86	0	12	11
87	0	20	14
88	0	10	8
89	0	14	14
90	0	10	7
91	0	10	10
92	0	16	9
93	0	14	11
94	0	18	14
95	0	12	7
96	0	14	7
97	0	20	12
98	0	10	15
99	0	22	15
100	0	18	9
101	0	14	12
102	0	14	15
103	0	16	10
104	0	12	12
105	0	16	12
106	0	12	15
107	0	14	10
108	0	10	9
109	0	18	10
110	0	12	8
111	0	10	13
112	0	20	11
113	0	26	15
114	0	18	11
115	0	12	6
116	0	20	15
117	0	10	14
118	0	12	13
119	0	18	15
120	0	16	15
