	decision	gains	losses
0	1	24	15
1	1	24	11
2	1	26	5
3	1	18	8
4	1	20	7
5	1	28	6
6	1	14	10
7	1	28	11
8	1	16	9
9	1	24	9
10	1	24	5
11	1	26	12
12	1	24	10
13	1	30	15
14	1	14	5
15	1	22	8
16	1	30	13
17	1	22	12
18	1	26	11
19	1	20	5
20	1	24	14
21	1	24	8
22	1	18	12
23	1	24	6
24	1	30	8
25	1	20	13
26	1	30	5
27	1	26	8
28	1	12	7
29	1	28	10
30	1	30	12
31	1	22	11
32	1	12	5
33	1	20	10
34	1	28	8
35	1	26	10
36	1	28	9
37	1	26	7
38	1	28	14
39	1	20	9
40	1	22	7
41	1	20	12
42	1	16	5
43	1	14	8
44	1	12	6
45	1	10	5
46	1	24	7
47	1	16	12
48	1	22	9
49	1	14	7
50	1	18	10
51	1	18	6
52	1	14	6
53	1	30	9
54	1	28	13
55	1	18	14
56	1	22	15
57	1	18	9
58	1	30	10
59	1	12	12
60	1	14	15
61	1	30	14
62	1	14	14
63	1	30	7
64	1	18	15
65	1	16	13
66	1	20	6
67	1	22	6
68	1	26	13
69	1	30	11
70	1	18	7
71	1	26	9
72	1	22	10
73	1	20	8
74	1	16	7
75	1	26	14
76	1	10	12
77	1	24	12
78	1	22	5
79	1	20	11
80	1	12	9
81	1	28	7
82	1	28	5
83	1	12	8
84	1	28	12
85	1	28	15
86	1	30	6
87	1	18	5
88	1	26	6
89	1	16	11
90	0	18	13
91	0	10	7
92	0	20	15
93	0	10	13
94	0	12	11
95	0	16	10
96	0	10	6
97	0	10	9
98	0	14	12
99	0	14	9
100	0	16	6
101	0	16	15
102	0	14	13
103	0	22	14
104	0	16	8
105	0	22	13
106	0	12	10
107	0	12	14
108	0	14	11
109	0	10	14
110	0	26	15
111	0	24	13
112	0	12	13
113	0	10	8
114	0	12	15
115	0	18	11
116	0	20	14
117	0	10	10
118	0	10	11
119	0	10	15
120	0	16	14
