	decision	gains	losses
0	1	22	5
1	1	28	7
2	1	22	7
3	1	30	11
4	1	24	6
5	1	30	9
6	1	28	5
7	1	24	8
8	1	30	13
9	1	28	9
10	1	28	8
11	1	26	5
12	1	24	9
13	1	18	8
14	1	20	8
15	1	20	6
16	1	28	12
17	1	28	10
18	1	30	10
19	1	14	6
20	1	18	5
21	1	20	7
22	1	10	5
23	1	16	9
24	1	18	7
25	1	26	9
26	1	26	8
27	1	24	5
28	1	20	5
29	1	26	7
30	1	26	10
31	1	16	5
32	1	20	9
33	1	30	7
34	1	22	11
35	1	16	6
36	1	22	8
37	1	22	9
38	1	30	12
39	1	28	11
40	1	12	5
41	1	24	11
42	1	26	6
43	1	30	5
44	1	24	10
45	1	28	6
46	1	30	6
47	1	30	8
48	1	18	10
49	1	22	6
50	1	24	7
51	1	12	6
52	1	14	5
53	1	26	12
54	0	18	9
55	0	16	7
56	0	22	13
57	0	26	15
58	0	28	15
59	0	16	8
60	0	18	6
61	0	26	11
62	0	24	12
63	0	18	13
64	0	26	14
65	0	12	10
66	0	16	10
67	0	12	8
68	0	14	11
69	0	18	14
70	0	10	6
71	0	10	11
72	0	18	11
73	0	10	12
74	0	22	14
75	0	18	12
76	0	14	15
77	0	22	12
78	0	20	15
79	0	14	14
80	0	30	15
81	0	12	11
82	0	14	8
83	0	10	10
84	0	28	13
85	0	12	7
86	0	20	12
87	0	22	15
88	0	16	14
89	0	10	14
90	0	12	15
91	0	16	13
92	0	14	7
93	0	20	13
94	0	22	10
95	0	24	13
96	0	30	14
97	0	24	15
98	0	14	13
99	0	20	14
100	0	20	10
101	0	16	12
102	0	16	15
103	0	10	7
104	0	12	14
105	0	10	15
106	0	20	11
107	0	10	9
108	0	26	13
109	0	14	12
110	0	10	13
111	0	12	12
112	0	18	15
113	0	16	11
114	0	14	9
115	0	12	9
116	0	12	13
117	0	24	14
118	0	28	14
119	0	14	10
120	0	10	8
