	decision	gains	losses
0	1	12	12
1	1	28	8
2	1	30	9
3	1	10	5
4	1	30	11
5	1	16	8
6	1	14	8
7	1	12	8
8	1	30	6
9	1	28	7
10	1	22	11
11	1	24	9
12	1	16	9
13	1	26	7
14	1	30	8
15	1	28	6
16	1	24	5
17	1	20	7
18	1	28	11
19	1	20	10
20	1	22	6
21	1	18	8
22	1	12	6
23	1	24	12
24	1	26	6
25	1	20	5
26	1	26	9
27	1	22	5
28	1	16	6
29	1	24	7
30	1	14	5
31	1	24	15
32	1	10	9
33	1	24	8
34	1	12	9
35	1	30	7
36	1	22	10
37	1	30	12
38	1	20	6
39	1	12	5
40	1	20	9
41	1	20	8
42	1	28	14
43	1	14	6
44	1	18	5
45	1	18	7
46	1	10	7
47	1	24	6
48	1	10	8
49	1	26	8
50	1	22	8
51	1	28	10
52	1	26	10
53	1	10	6
54	1	14	9
55	1	22	7
56	1	30	5
57	1	16	5
58	1	16	10
59	1	26	5
60	1	14	7
61	1	28	5
62	1	18	9
63	1	16	7
64	1	22	9
65	1	26	11
66	1	12	7
67	1	28	9
68	1	18	6
69	0	28	13
70	0	26	13
71	0	24	11
72	0	12	13
73	0	18	15
74	0	16	15
75	0	30	13
76	0	12	11
77	0	16	12
78	0	22	13
79	0	20	12
80	0	10	14
81	0	14	13
82	0	18	12
83	0	30	10
84	0	14	10
85	0	14	15
86	0	22	15
87	0	16	11
88	0	20	11
89	0	24	13
90	0	14	14
91	0	26	15
92	0	20	15
93	0	28	12
94	0	10	11
95	0	10	13
96	0	10	15
97	0	18	13
98	0	30	15
99	0	16	13
100	0	18	10
101	0	22	12
102	0	12	10
103	0	26	14
104	0	18	14
105	0	14	12
106	0	18	11
107	0	24	14
108	0	24	10
109	0	12	15
110	0	20	13
111	0	12	14
112	0	22	14
113	0	16	14
114	0	14	11
115	0	30	14
116	0	20	14
117	0	10	10
118	0	26	12
119	0	28	15
120	0	10	12
