	decision	gains	losses
0	1	22	9
1	1	24	10
2	1	20	8
3	1	26	6
4	1	22	7
5	1	20	7
6	1	30	9
7	1	22	5
8	1	18	8
9	1	28	5
10	1	28	7
11	1	26	5
12	1	30	7
13	1	24	5
14	1	22	6
15	1	28	6
16	1	26	7
17	1	24	8
18	1	20	5
19	1	26	9
20	1	28	9
21	1	30	6
22	1	24	6
23	1	30	11
24	1	30	5
25	1	18	5
26	1	30	8
27	0	28	11
28	0	22	14
29	0	14	10
30	0	14	14
31	0	22	15
32	0	12	13
33	0	10	11
34	0	18	10
35	0	30	12
36	0	20	10
37	0	14	8
38	0	30	14
39	0	22	12
40	0	12	12
41	0	20	12
42	0	28	15
43	0	16	12
44	0	10	7
45	0	26	15
46	0	28	10
47	0	18	15
48	0	10	13
49	0	14	6
50	0	10	6
51	0	18	12
52	0	16	11
53	0	16	9
54	0	18	14
55	0	30	15
56	0	14	11
57	0	10	12
58	0	24	15
59	0	28	12
60	0	26	8
61	0	30	13
62	0	18	13
63	0	20	6
64	0	24	13
65	0	10	10
66	0	26	11
67	0	12	15
68	0	28	13
69	0	20	11
70	0	22	10
71	0	20	15
72	0	22	13
73	0	14	13
74	0	28	14
75	0	16	14
76	0	26	14
77	0	12	9
78	0	12	10
79	0	10	9
80	0	12	6
81	0	28	8
82	0	16	15
83	0	26	12
84	0	30	10
85	0	20	13
86	0	12	8
87	0	14	9
88	0	16	8
89	0	18	6
90	0	14	7
91	0	22	8
92	0	10	5
93	0	16	10
94	0	10	15
95	0	18	7
96	0	18	9
97	0	24	11
98	0	14	12
99	0	12	5
100	0	16	5
101	0	16	7
102	0	18	11
103	0	10	8
104	0	20	9
105	0	22	11
106	0	16	13
107	0	16	6
108	0	12	11
109	0	14	5
110	0	26	13
111	0	10	14
112	0	14	15
113	0	26	10
114	0	12	14
115	0	24	7
116	0	24	14
117	0	12	7
118	0	24	12
119	0	20	14
120	0	24	9
