	decision	gains	losses
0	1	26	10
1	1	20	6
2	1	30	8
3	1	14	5
4	1	26	8
5	1	20	9
6	1	12	6
7	1	22	5
8	1	20	10
9	1	30	15
10	1	10	5
11	1	28	13
12	1	20	8
13	1	28	8
14	1	26	12
15	1	18	7
16	1	22	10
17	1	14	6
18	1	16	8
19	1	24	10
20	1	20	5
21	1	28	14
22	1	24	12
23	1	12	5
24	1	22	7
25	1	30	10
26	1	26	6
27	1	22	11
28	1	30	11
29	1	28	12
30	1	18	6
31	1	30	9
32	1	20	7
33	1	26	7
34	1	22	6
35	1	28	9
36	1	30	6
37	1	30	13
38	1	16	6
39	1	14	7
40	1	26	11
41	1	16	7
42	1	22	8
43	1	26	9
44	1	22	9
45	1	28	5
46	1	28	10
47	1	30	12
48	1	26	13
49	1	24	11
50	1	30	5
51	1	24	7
52	1	24	6
53	1	24	5
54	1	28	7
55	1	30	7
56	1	18	9
57	1	18	5
58	1	28	11
59	1	18	8
60	1	24	9
61	1	24	8
62	1	28	6
63	1	26	5
64	0	16	5
65	0	24	14
66	0	22	14
67	0	12	10
68	0	16	11
69	0	16	10
70	0	22	12
71	0	12	8
72	0	14	11
73	0	20	14
74	0	16	14
75	0	20	11
76	0	10	9
77	0	10	14
78	0	12	14
79	0	24	13
80	0	14	9
81	0	18	12
82	0	28	15
83	0	18	15
84	0	20	12
85	0	10	11
86	0	26	15
87	0	14	8
88	0	16	15
89	0	10	10
90	0	18	11
91	0	22	15
92	0	18	13
93	0	24	15
94	0	14	12
95	0	14	15
96	0	16	9
97	0	10	15
98	0	26	14
99	0	20	13
100	0	16	13
101	0	14	13
102	0	10	12
103	0	12	7
104	0	14	10
105	0	18	10
106	0	10	6
107	0	12	12
108	0	12	9
109	0	16	12
110	0	30	14
111	0	22	13
112	0	18	14
113	0	20	15
114	0	14	14
115	0	12	13
116	0	12	15
117	0	10	13
118	0	12	11
119	0	10	8
120	0	10	7
