	gain_betas	lambdas	loss_betas	subNum
403	0.137640204038	-5.01368066737	-0.690084030039	403
404	0.513997595689	-1.7609585524	-0.905128462043	404
405	0.281636773223	-1.29009337443	-0.363337735132	405
406	0.315851307971	-1.26746182827	-0.400329476264	406
407	0.0491522449142	-43.8876203514	-2.15717506422	407
410	0.471394775911	-0.860768513828	-0.405761780688	410
411	0.41551729875	-3.01446901077	-1.25256402052	411
412	0.394704733688	-2.41751674568	-0.95420530329	412
500	0.572070307226	-0.719527787526	-0.411620482467	500
501	0.393347684302	-1.41715595538	-0.557435013342	501
502	0.14871459859	-7.81125058871	-1.16164699578	502
503	0.631166880964	-1.85281017002	-1.16943241603	503
504	1.21779925323	-1.03649046349	-1.26223731242	504
505	0.33122784045	-3.56337440157	-1.18028880774	505
506	0.959237746208	-2.02196277404	-1.93954301429	506
507	0.740003031403	-1.25105178319	-0.925782112001	507
508	-6.62126499368e-17	-7.01326979669e+14	0.0464367177961	508
509	0.592660715388	-2.43171762909	-1.44118350968	509
510	0.435956125223	-1.29665772395	-0.565285877072	510
515	0.247633666742	-4.44073213575	-1.09967478179	515
516	0.645280478402	-0.0912332888987	-0.0588710603067	516
517	0.629981503709	-4.47156136411	-2.81700095209	517
518	0.497170791854	-0.978451522944	-0.486457518453	518
519	0.632097503778	-0.567628004088	-0.358796244458	519
520	0.132698406172	-4.87250328792	-0.646573420376	520
522	0.204630098391	-15.7045271299	-3.21361893177	522
523	0.567389115412	-1.63865964878	-0.929757648582	523
524	0.577735925407	-0.388260098752	-0.224311807451	524
525	0.157800900657	-5.14924538801	-0.812555559933	525
526	0.401615593468	-1.54457873778	-0.620326906432	526
528	0.266214460911	-7.80886483505	-2.07883274239	528
529	0.448156898305	-2.0	-0.89631379661	529
530	0.826927244829	-2.25935473468	-1.86832198584	530
