	decision	gains	losses
0	1	18	10
1	1	28	6
2	1	16	5
3	1	12	6
4	1	26	5
5	1	16	7
6	1	22	8
7	1	30	8
8	1	22	6
9	1	22	7
10	1	30	6
11	1	30	5
12	1	24	5
13	1	24	6
14	1	24	7
15	1	28	7
16	0	12	14
17	0	10	8
18	0	22	15
19	0	30	15
20	0	28	15
21	0	10	10
22	0	16	12
23	0	14	6
24	0	24	14
25	0	16	10
26	0	14	15
27	0	30	10
28	0	12	12
29	0	28	14
30	0	30	12
31	0	22	12
32	0	14	7
33	0	20	5
34	0	28	5
35	0	12	15
36	0	14	13
37	0	10	14
38	0	16	6
39	0	10	11
40	0	14	9
41	0	22	13
42	0	18	5
43	0	24	13
44	0	20	15
45	0	26	12
46	0	14	10
47	0	28	11
48	0	24	15
49	0	10	15
50	0	30	13
51	0	10	5
52	0	28	10
53	0	20	11
54	0	24	10
55	0	16	14
56	0	20	12
57	0	26	9
58	0	22	9
59	0	10	7
60	0	18	8
61	0	12	7
62	0	24	9
63	0	18	7
64	0	24	12
65	0	22	5
66	0	26	15
67	0	26	6
68	0	12	8
69	0	30	14
70	0	20	10
71	0	20	13
72	0	20	7
73	0	12	11
74	0	30	11
75	0	20	14
76	0	14	5
77	0	18	11
78	0	12	13
79	0	26	11
80	0	22	14
81	0	14	12
82	0	16	15
83	0	18	15
84	0	26	8
85	0	30	7
86	0	28	12
87	0	14	14
88	0	30	9
89	0	12	5
90	0	28	9
91	0	20	6
92	0	16	9
93	0	16	13
94	0	18	12
95	0	14	8
96	0	20	9
97	0	16	11
98	0	12	10
99	0	26	14
100	0	10	12
101	0	10	6
102	0	24	11
103	0	28	13
104	0	14	11
105	0	26	10
106	0	22	10
107	0	10	9
108	0	22	11
109	0	18	14
110	0	26	7
111	0	20	8
112	0	10	13
113	0	12	9
114	0	18	9
115	0	28	8
116	0	18	6
117	0	16	8
118	0	18	13
119	0	24	8
120	0	26	13
