	decision	gains	losses
0	1	28	11
1	1	26	5
2	1	16	8
3	1	22	6
4	1	24	10
5	1	20	5
6	1	24	9
7	1	18	5
8	1	30	13
9	1	30	7
10	1	20	8
11	1	30	10
12	1	14	7
13	1	18	8
14	1	18	6
15	1	22	12
16	1	20	10
17	1	20	6
18	1	28	9
19	1	24	5
20	1	28	6
21	1	18	10
22	1	26	14
23	1	22	8
24	1	16	5
25	1	10	7
26	1	16	6
27	1	12	5
28	1	28	5
29	1	18	7
30	1	26	6
31	1	22	7
32	1	28	10
33	1	26	11
34	1	30	9
35	1	24	6
36	1	28	7
37	1	12	7
38	1	20	7
39	1	30	14
40	1	14	9
41	1	20	9
42	1	28	8
43	1	22	10
44	1	26	7
45	1	14	5
46	1	22	11
47	1	14	6
48	1	26	13
49	1	26	10
50	1	22	5
51	1	22	13
52	1	16	9
53	1	20	12
54	1	26	8
55	1	30	11
56	1	16	7
57	1	30	6
58	1	30	8
59	1	24	7
60	1	10	6
61	1	30	12
62	1	30	5
63	1	12	6
64	1	22	9
65	1	24	8
66	1	26	9
67	1	10	5
68	0	28	12
69	0	10	10
70	0	12	8
71	0	16	10
72	0	28	14
73	0	18	9
74	0	20	11
75	0	18	12
76	0	12	14
77	0	20	13
78	0	18	15
79	0	18	11
80	0	12	13
81	0	20	14
82	0	14	8
83	0	12	12
84	0	12	10
85	0	22	14
86	0	14	11
87	0	14	12
88	0	16	12
89	0	18	14
90	0	26	15
91	0	10	12
92	0	16	11
93	0	10	13
94	0	14	13
95	0	24	14
96	0	24	13
97	0	16	14
98	0	12	9
99	0	12	11
100	0	22	15
101	0	14	15
102	0	16	15
103	0	28	15
104	0	30	15
105	0	24	15
106	0	16	13
107	0	10	9
108	0	28	13
109	0	20	15
110	0	24	12
111	0	14	10
112	0	18	13
113	0	10	11
114	0	12	15
115	0	10	14
116	0	10	15
117	0	24	11
118	0	10	8
119	0	14	14
120	0	26	12
