	decision	gains	losses
0	1	22	12
1	1	26	15
2	1	14	5
3	1	20	8
4	1	28	11
5	1	20	7
6	1	30	12
7	1	28	10
8	1	26	6
9	1	28	6
10	1	24	11
11	1	24	6
12	1	24	8
13	1	30	8
14	1	28	8
15	1	10	7
16	1	26	5
17	1	18	6
18	1	28	5
19	1	30	13
20	1	26	11
21	1	26	9
22	1	30	10
23	1	22	7
24	1	24	9
25	1	30	11
26	1	20	5
27	1	24	5
28	1	16	5
29	1	18	7
30	1	22	8
31	1	30	5
32	1	22	9
33	1	24	7
34	1	26	10
35	1	22	6
36	1	22	5
37	1	16	6
38	1	30	6
39	1	24	10
40	1	28	7
41	1	28	9
42	1	26	7
43	1	30	7
44	1	30	9
45	1	28	13
46	1	26	8
47	0	12	10
48	0	18	12
49	0	22	11
50	0	10	14
51	0	20	11
52	0	10	12
53	0	16	12
54	0	12	15
55	0	20	15
56	0	20	9
57	0	16	15
58	0	14	11
59	0	12	13
60	0	16	14
61	0	24	12
62	0	22	10
63	0	14	14
64	0	12	9
65	0	12	12
66	0	28	14
67	0	18	15
68	0	26	13
69	0	16	8
70	0	24	13
71	0	10	8
72	0	22	15
73	0	20	12
74	0	30	15
75	0	16	13
76	0	12	8
77	0	14	8
78	0	28	15
79	0	24	14
80	0	10	10
81	0	12	7
82	0	12	14
83	0	14	15
84	0	14	9
85	0	14	10
86	0	10	11
87	0	20	13
88	0	20	14
89	0	10	5
90	0	16	7
91	0	10	6
92	0	12	6
93	0	20	6
94	0	22	13
95	0	18	8
96	0	14	7
97	0	28	12
98	0	14	6
99	0	14	13
100	0	18	10
101	0	18	11
102	0	14	12
103	0	10	15
104	0	10	13
105	0	12	11
106	0	16	11
107	0	18	13
108	0	18	14
109	0	18	9
110	0	16	10
111	0	24	15
112	0	26	14
113	0	10	9
114	0	12	5
115	0	26	12
116	0	30	14
117	0	20	10
118	0	22	14
119	0	18	5
120	0	16	9
