	decision	gains	losses
0	1	18	7
1	1	20	5
2	1	20	7
3	1	24	7
4	1	30	8
5	1	28	6
6	1	28	8
7	1	24	9
8	1	30	6
9	1	26	9
10	1	26	7
11	1	18	5
12	1	26	6
13	1	22	5
14	1	22	6
15	1	28	5
16	1	30	5
17	1	28	7
18	1	24	5
19	1	18	6
20	1	26	5
21	0	22	13
22	0	18	13
23	0	20	10
24	0	12	15
25	0	30	10
26	0	26	15
27	0	16	10
28	0	22	12
29	0	28	13
30	0	20	11
31	0	16	14
32	0	10	9
33	0	14	9
34	0	22	14
35	0	14	13
36	0	14	14
37	0	28	14
38	0	26	14
39	0	22	7
40	0	22	11
41	0	24	14
42	0	18	10
43	0	14	15
44	0	10	5
45	0	16	7
46	0	24	12
47	0	20	13
48	0	30	7
49	0	22	9
50	0	20	12
51	0	10	14
52	0	30	13
53	0	16	13
54	0	30	9
55	0	28	12
56	0	12	9
57	0	12	7
58	0	18	12
59	0	28	11
60	0	12	6
61	0	10	11
62	0	30	14
63	0	14	11
64	0	24	10
65	0	22	15
66	0	28	15
67	0	12	10
68	0	30	15
69	0	16	6
70	0	16	9
71	0	14	6
72	0	24	8
73	0	26	8
74	0	20	8
75	0	20	6
76	0	12	13
77	0	26	12
78	0	26	13
79	0	24	11
80	0	24	13
81	0	12	11
82	0	16	8
83	0	10	6
84	0	14	12
85	0	14	8
86	0	28	10
87	0	26	11
88	0	22	10
89	0	28	9
90	0	18	14
91	0	16	12
92	0	16	15
93	0	20	9
94	0	26	10
95	0	12	8
96	0	24	6
97	0	18	9
98	0	10	7
99	0	20	14
100	0	18	11
101	0	16	5
102	0	12	14
103	0	12	12
104	0	12	5
105	0	14	5
106	0	10	15
107	0	30	11
108	0	10	10
109	0	30	12
110	0	24	15
111	0	14	10
112	0	20	15
113	0	18	15
114	0	14	7
115	0	22	8
116	0	10	8
117	0	18	8
118	0	10	12
119	0	16	11
120	0	10	13
