	aimDotPos	pokeDist	pokePos	pokeTime	trial
0	[ 43. -91.]				1
1	[ 150. -138.]				2
2	[ 142.   -7.]	4.12310562562	[ 141.  -11.]	2.04073838075	3
3	[-141.  109.]				4
4	[-57.  75.]	11.401754251	[-54.  86.]	1.87676187814	5
5	[  27. -101.]	6.40312423743	[ 23. -96.]	2.45998289715	6
6	[-74. -42.]				7
7	[-47.  70.]				8
8	[ 67. -30.]				9
9	[-18. -13.]	7.28010988928	[-20.  -6.]	3.46910368698	10
10	[-127.  -10.]				11
11	[ 20. -39.]	7.28010988928	[ 18. -32.]	5.30035639787	12
12	[ 47.  84.]	4.12310562562	[ 46.  88.]	2.54926376557	13
13	[ -6. -94.]	10.0	[  0. -86.]	2.99930604012	14
14	[ -37.  115.]	10.295630141	[ -28.  120.]	2.21638814174	15
15	[ -20.  109.]				16
16	[ -42. -130.]	4.12310562562	[ -46. -131.]	2.13134227088	17
17	[ 115.   92.]	3.60555127546	[ 112.   90.]	4.16237034276	18
18	[ 15.  59.]				19
19	[ 115. -158.]	17.2046505341	[ 129. -148.]	2.37789246859	20
20	[ 64.  14.]	9.8488578018	[ 68.  23.]	1.96075790469	21
21	[  -7.  110.]	7.21110255093	[ -13.  106.]	1.9924600143	22
22	[ 136.  -65.]	4.472135955	[ 132.  -67.]	1.85981494584	23
23	[ -71. -147.]	6.32455532034	[ -73. -153.]	2.12455842667	24
24	[ 84. -70.]	24.1867732449	[ 81. -46.]	1.9576074651	25
25	[ -79. -153.]	17.0	[ -79. -170.]	2.14024602831	26
26	[  58.  139.]	25.0	[  38.  124.]	2.15408145986	27
27	[-45. -75.]	30.0	[-63. -99.]	2.15761012118	28
28	[ 86. -34.]	16.4924225025	[ 102.  -30.]	3.23633458721	29
29	[-14.  60.]	5.38516480713	[-12.  65.]	1.76957629784	30
30	[ 158.   -1.]	6.7082039325	[ 161.    5.]	2.0218266875	31
31	[  71.  133.]	11.0453610172	[  82.  132.]	1.83409918472	32
32	[ 121.  -15.]				33
33	[  7. -74.]	16.4012194669	[ -6. -64.]	2.28349307901	34
34	[-129.  137.]	25.179356624	[-104.  134.]	2.466524655	35
35	[-119.  -97.]	13.6014705087	[-130. -105.]	2.36500727013	36
36	[ 130.  -47.]	2.0	[ 130.  -49.]	2.4172758311	1
37	[-44.  30.]	11.401754251	[-35.  37.]	2.31136407075	2
38	[ 115.  -42.]	24.6981780705	[ 94. -29.]	2.21061037388	3
39	[  -4.  149.]				4
40	[ 35. -37.]	13.9283882772	[ 22. -32.]	1.86063296744	5
41	[ -73. -139.]	12.0415945788	[ -72. -151.]	3.94110153988	6
42	[ 145.   55.]	9.21954445729	[ 147.   64.]	2.10716867633	7
43	[ 110.  -35.]	12.0415945788	[ 102.  -26.]	5.68937365804	8
44	[-54.  35.]	10.1980390272	[-52.  45.]	2.20529564843	9
45	[-152.  -19.]	14.1421356237	[-166.  -21.]	2.17657131841	10
46	[ 107.  -57.]	12.6491106407	[ 103.  -45.]	2.12065275107	11
47	[ 37.  59.]				12
48	[  -7. -127.]	11.0	[  -7. -138.]	1.86410035286	13
49	[ 134.   74.]	8.60232526704	[ 127.   69.]	2.08518200694	14
50	[ 107.  -21.]	5.0	[ 110.  -17.]	1.96092181094	15
51	[ 15.  35.]	2.2360679775	[ 17.  36.]	1.89282256993	16
52	[ 145.  -69.]	4.12310562562	[ 149.  -70.]	2.10828794725	17
53	[ -75. -122.]	6.0827625303	[ -69. -123.]	1.85863892664	18
54	[ 117.  159.]	9.8488578018	[ 113.  150.]	1.65939271403	19
55	[ -35. -114.]	10.0	[ -35. -104.]	2.04119357513	20
56	[-160. -115.]	14.4222051019	[-148. -123.]	2.82354278211	21
57	[ 13. -54.]	4.24264068712	[ 10. -51.]	1.92247690912	22
58	[-88. -28.]	25.079872408	[-90.  -3.]	2.15588563518	23
59	[-124.   46.]	6.7082039325	[-130.   43.]	4.09817798529	24
60	[  53. -129.]				25
61	[ 77. -98.]				26
62	[ 110.  142.]	4.472135955	[ 106.  140.]	2.08878945187	27
63	[-92. -55.]	12.6491106407	[-80. -59.]	2.08426950523	28
64	[-113. -127.]	12.2065556157	[-106. -137.]	1.90453838976	29
65	[  56.  158.]	21.0950231097	[  45.  176.]	1.9040997976	30
66	[ 151.  -60.]	25.495097568	[ 140.  -37.]	1.86912167724	31
67	[  43.  150.]	19.0262975904	[  42.  169.]	1.98781147832	32
68	[-108.  -35.]	16.4924225025	[-124.  -31.]	2.07257089112	33
69	[ 40.  75.]	15.8113883008	[ 25.  70.]	2.6563732787	34
70	[-49.  42.]	8.0	[-57.  42.]	2.03542697546	35
71	[-90.  17.]				36
72	[  60.  131.]				1
73	[ -76. -129.]	3.0	[ -76. -126.]	1.75057676574	2
74	[ -91. -134.]				3
75	[ 113.   10.]	14.4222051019	[ 101.   18.]	1.9311648414	4
76	[-43.   6.]	0.0	[-43.   6.]	2.47896462004	5
77	[ 135. -158.]				6
78	[-147.   -5.]	16.5529453572	[-162.  -12.]	1.63003720925	7
79	[ 93.  93.]	3.16227766017	[ 94.  96.]	2.08053498017	8
80	[ 143. -119.]				9
81	[-147.  -97.]	10.4403065089	[-144. -107.]	2.13460409432	10
82	[-112.  -55.]	10.295630141	[-103.  -50.]	2.10806336859	11
83	[ 109.  148.]	3.60555127546	[ 111.  151.]	2.20778442617	12
84	[ 120.  -56.]	1.41421356237	[ 119.  -55.]	1.91698378837	13
85	[ 127.   -3.]	12.0415945788	[ 139.   -2.]	2.01789837261	14
86	[ 142.  154.]	16.2788205961	[ 154.  165.]	4.55661931913	15
87	[ 24. -32.]				16
88	[ -48. -136.]	17.8044938148	[ -59. -150.]	2.02525815205	17
89	[ 122. -101.]	17.0	[ 107.  -93.]	2.10067793168	18
90	[-122.  -23.]				19
91	[ 24.  24.]	1.0	[ 24.  25.]	1.95817132643	20
92	[-113.   70.]	4.12310562562	[-114.   66.]	1.88430941012	21
93	[ 129.  -89.]	13.0384048104	[ 118.  -82.]	2.23120851978	22
94	[-43. -61.]				23
95	[  89.  103.]	6.7082039325	[  92.  109.]	2.04283293849	24
96	[ 111.  -82.]	13.0	[ 99. -77.]	2.08629795746	25
97	[-17.  75.]	4.12310562562	[-18.  79.]	2.03675995837	26
98	[-16. -67.]	13.0384048104	[-27. -60.]	2.02944153268	27
99	[ -98. -129.]				28
100	[ -81.  115.]	20.6155281281	[ -73.  134.]	2.40107024997	29
101	[-126.   84.]	8.24621125124	[-134.   82.]	2.55704342248	30
102	[-91. -38.]	13.6014705087	[-99. -27.]	1.94042629492	31
103	[ 55. -79.]	4.12310562562	[ 51. -80.]	3.9971486968	32
104	[-151.   46.]	12.2065556157	[-161.   39.]	2.30343318521	33
105	[ 101.  -67.]	5.38516480713	[ 103.  -62.]	2.48104257602	34
106	[ -5.  86.]	8.0622577483	[ -4.  78.]	2.03490326065	35
107	[ 27. -48.]				36
