,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial
0,"[0.0, 0.0]",,,,0.0,1
1,"[100.0, -100.0]",21.0,"[100.0, -121.0]",0.867727958015,0.35055573273,2
2,"[100.0, 0.0]",,,,0.316361204372,3
3,"[-100.0, 0.0]",7.21110255093,"[-96.0, -6.0]",0.884199846303,0.249728548108,4
4,"[-100.0, 100.0]",9.05538513814,"[-99.0, 91.0]",0.967130433302,0.199551556027,5
5,"[0.0, 100.0]",,,,0.232801185455,6
6,"[100.0, 0.0]",18.0277563773,"[90.0, 15.0]",0.916967862635,0.265977806761,7
7,"[100.0, -100.0]",,,,0.132855505799,8
8,"[0.0, 0.0]",,,,0.216494842316,9
9,"[100.0, 0.0]",,,,0.400232484215,10
10,"[100.0, 0.0]",,,,0.115122350166,11
11,"[-100.0, -100.0]",,,,0.132992809173,12
12,"[-100.0, -100.0]",,,,0.299541701446,13
13,"[0.0, -100.0]",,,,0.400864920579,14
14,"[-100.0, 100.0]",29.5296461205,"[-126.0, 86.0]",0.91616627574,0.283204412437,15
15,"[100.0, -100.0]",,,,0.266223871149,16
16,"[0.0, 0.0]",12.0415945788,"[-9.0, 8.0]",0.683805242064,0.183265643194,17
17,"[0.0, -100.0]",,,,0.11636769399,18
18,"[0.0, 100.0]",40.718546143,"[-37.0, 117.0]",0.66718343168,0.115811570548,19
19,"[-100.0, -100.0]",18.7882942281,"[-117.0, -92.0]",0.800770520815,0.199759764248,20
20,"[0.0, 0.0]",13.0384048104,"[-13.0, -1.0]",0.800727557275,0.150474492577,21
21,"[-100.0, 100.0]",,,,0.282913281466,22
22,"[0.0, -100.0]",20.2237484162,"[-20.0, -103.0]",0.800905721029,0.232933681575,23
23,"[100.0, 100.0]",19.7230829233,"[90.0, 117.0]",0.817376407445,0.63402093132,24
24,"[0.0, -100.0]",,,,0.39944772236,25
25,"[100.0, -100.0]",,,,0.499990385724,26
26,"[0.0, 100.0]",,,,0.249502613558,27
27,"[100.0, 100.0]",54.8178802947,"[86.0, 47.0]",0.699699675315,0.183109111269,28
28,"[-100.0, -100.0]",13.4536240471,"[-109.0, -110.0]",0.75064099906,0.149997085682,29
29,"[0.0, 100.0]",,,,0.149650372332,30
30,"[-100.0, 100.0]",5.09901951359,"[-105.0, 101.0]",0.800836618757,0.199509794242,31
31,"[-100.0, 0.0]",13.0384048104,"[-111.0, 7.0]",0.866613007267,0.249353592983,32
32,"[0.0, 0.0]",14.3178210633,"[13.0, 6.0]",0.933536494151,0.233166826773,33
33,"[100.0, 0.0]",10.0,"[90.0, 0.0]",0.850557535538,0.233338681282,34
34,"[0.0, -100.0]",13.416407865,"[-6.0, -88.0]",0.883993741125,0.11554237199,35
35,"[-100.0, 100.0]",7.21110255093,"[-104.0, 94.0]",0.901047591004,0.200313484063,36
36,"[100.0, 100.0]",22.0227155455,"[78.0, 99.0]",0.700512378593,0.115766804316,37
37,"[0.0, 100.0]",9.8488578018,"[-9.0, 96.0]",0.800840224023,0.182647928479,38
38,"[-100.0, 0.0]",7.0,"[-93.0, 0.0]",0.800052157254,0.166189560201,39
39,"[100.0, -100.0]",18.3575597507,"[84.0, -109.0]",0.78395282058,0.116089181625,40
40,"[100.0, 0.0]",18.0277563773,"[106.0, -17.0]",0.917879712768,0.300142591121,41
41,"[100.0, 100.0]",,,,0.499904158176,42
42,"[100.0, 100.0]",,,,0.0,43
43,"[-100.0, 100.0]",17.4928556845,"[-115.0, 91.0]",0.934338381398,0.233185454388,44
44,"[0.0, 0.0]",18.4390889146,"[-14.0, -12.0]",0.91686120478,0.299624624313,45
45,"[0.0, 0.0]",8.94427191,"[4.0, -8.0]",0.983173286426,0.31640597072,46
