,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,rewardVal,score,sepDist,targDist,targSize,targetPos,trial,,
43,1,1,58.24946352,"[-56.0, -100.0]",0,"[-113, -112]",0.868184687,1,1,1,44,17.69180601,64,"[-100.0, -100.0]",28,,
44,1,1,54.08326913,"[44.0, -100.0]",-5,"[-10, -97]",0.900398063,1,1,1,44,10.44030651,64,"[0.0, -100.0]",27,,
45,1,1,43.41658669,"[132.0, 100.0]",0,"[90, 89]",0.900532964,1,1,1,32,14.86606875,64,"[100.0, 100.0]",26,,
46,1,1,36.67424164,"[-32.0, -100.0]",-1,"[4, -93]",0.91827679,1,1,1,-32,8.062257748,64,"[0.0, -100.0]",25,,
47,,1,,"[144.0, 100.0]",-1,,,5,1,-7,44,,64,"[100.0, 100.0]",24,,
48,-2,1,60.74537019,"[-132.0, -100.0]",-5,"[-75, -121]",0.884297084,4,1,0,-32,32.64965543,64,"[-100.0, -100.0]",23,,
49,1,1,43.73785546,"[32.0, 0.0]",-1,"[-11, 8]",0.950542142,1,1,1,32,13.60147051,64,"[0.0, 0.0]",22,,
50,1,1,55.32630477,"[-56.0, -100.0]",-1,"[-111, -94]",0.86795124,1,1,1,44,12.52996409,64,"[-100.0, -100.0]",21,,
51,1,1,45.54119015,"[144.0, -100.0]",-5,"[99, -107]",0.934030151,1,1,1,44,7.071067812,64,"[100.0, -100.0]",20,,
52,,1,,"[32.0, 0.0]",-5,,,5,1,-7,32,,64,"[0.0, 0.0]",19,,
53,1,1,59,"[-44.0, 100.0]",-1,"[15, 100]",0.850894537,1,1,1,-44,15,64,"[0.0, 100.0]",18,,
54,1,1,54.34151268,"[32.0, 100.0]",0,"[-21, 88]",0.850847968,1,1,1,32,24.18677324,64,"[0.0, 100.0]",17,,
55,-2,1,68.50547423,"[-132.0, 100.0]",0,"[-75, 138]",0.817895492,4,1,0,-32,45.48626166,64,"[-100.0, 100.0]",16,,
56,1,1,57.42821606,"[-44.0, 0.0]",0,"[13, -7]",0.967672154,1,1,1,-44,14.76482306,64,"[0.0, 0.0]",15,,
57,1,1,57,"[144.0, 0.0]",0,"[87, 0]",0.80057079,1,1,1,44,13,64,"[100.0, 0.0]",14,,
58,1,1,33.83784863,"[68.0, 0.0]",-1,"[100, 11]",0.867625254,1,1,1,-32,11,64,"[100.0, 0.0]",13,,
59,1,1,59.8414572,"[-44.0, 100.0]",-5,"[15, 90]",0.850974456,1,1,1,-44,18.02775638,64,"[0.0, 100.0]",12,,
60,1,1,49.72926704,"[144.0, -100.0]",-1,"[96, -87]",0.901362499,1,1,1,44,13.60147051,64,"[100.0, -100.0]",11,,
61,,1,,"[-132.0, 0.0]",0,,,5,1,-7,-32,,64,"[-100.0, 0.0]",10,,
62,1,1,42.19004622,"[-68.0, 100.0]",-5,"[-110, 96]",0.901479373,1,1,1,32,10.77032961,64,"[-100.0, 100.0]",9,,
63,1,1,55.4436651,"[-68.0, 100.0]",-1,"[-123, 93]",0.917502537,1,1,1,32,24.04163056,64,"[-100.0, 100.0]",8,,
64,1,1,48.25971405,"[-32.0, -100.0]",-1,"[16, -95]",0.884635988,1,1,1,-32,16.76305461,64,"[0.0, -100.0]",7,,
65,1,1,61.66036004,"[144.0, 0.0]",-5,"[83, 9]",0.851253572,1,1,1,44,19.23538406,64,"[100.0, 0.0]",6,,
66,1,1,65.51335742,"[56.0, 100.0]",-5,"[120, 114]",0.883577512,1,1,1,-44,24.41311123,64,"[100.0, 100.0]",5,,
67,1,1,54.45181356,"[-44.0, -100.0]",0,"[10, -107]",0.901112827,1,1,1,-44,12.20655562,64,"[0.0, -100.0]",4,,
68,1,1,40.60788101,"[32.0, 100.0]",0,"[-8, 93]",0.90114798,1,1,1,32,10.63014581,64,"[0.0, 100.0]",3,,
69,1,1,68.62215386,"[-144.0, 0.0]",-1,"[-79, -22]",0.866765674,1,1,1,-44,30.41381265,64,"[-100.0, 0.0]",2,,
70,1,1,42.01190308,"[-32.0, 0.0]",-5,"[1, 26]",0.835523044,1,1,1,-32,26.01922366,64,"[0.0, 0.0]",1,,
71,1,1,68.00735254,"[144.0, -100.0]",0,"[76, -99]",0.951478938,1,1,1,44,24.0208243,64,"[100.0, -100.0]",0,,
72,1,2,48.27007354,"[68.0, 100.0]",0,"[115, 111]",0.917584258,1,1,1,-32,18.60107524,64,"[100.0, 100.0]",35,,
73,1,2,69.35416354,"[144.0, -100.0]",0,"[75, -93]",0.917568635,1,1,1,44,25.96150997,64,"[100.0, -100.0]",34,,
74,1,2,46.17358552,"[-44.0, -100.0]",0,"[0, -114]",0.884669338,1,1,1,-44,14,64,"[0.0, -100.0]",33,,
75,1,2,57.218878,"[-56.0, -100.0]",-1,"[-113, -105]",0.985190044,1,1,1,44,13.92838828,64,"[-100.0, -100.0]",32,,
