	aimDotPos	pokeDist	pokePos	pokeTime	trial
0	[-118.  -80.]	9.89949493661	[-111.  -73.]	8.83182230755	1
1	[ -33.  114.]	10.295630141	[ -24.  119.]	3.42375148321	2
2	[ -5.  86.]	5.38516480713	[ -7.  81.]	2.84018635191	3
3	[  27. -127.]				4
4	[  43.  112.]	22.803508502	[  61.  126.]	1.9050101859	5
5	[ 61. -86.]	10.4403065089	[ 71. -89.]	1.97075014398	6
6	[ -63. -146.]	13.0384048104	[ -62. -133.]	2.03643637197	7
7	[  -4.  155.]	17.0293863659	[ -17.  166.]	2.00170003599	8
8	[-108. -160.]	22.825424421	[-119. -140.]	1.81740641268	9
9	[ 28.  98.]	8.0	[ 20.  98.]	1.78355752444	10
10	[  97.  138.]				11
11	[ 87. -48.]	16.0312195419	[ 86. -64.]	1.61792535847	12
12	[ 116.  -24.]	1.41421356237	[ 117.  -25.]	1.89777114755	13
13	[ 85. -21.]	26.0	[ 95. -45.]	1.82913913648	14
14	[ 61.  -6.]	20.0997512422	[ 59. -26.]	2.37798181688	15
15	[-126.   11.]	12.0830459736	[-121.   22.]	1.92869779724	16
16	[   4.  125.]	13.8924439894	[  -8.  132.]	1.89503062447	17
17	[ -11. -103.]	33.1360830516	[ -8. -70.]	2.02259128122	18
18	[-150.  -68.]	13.416407865	[-156.  -56.]	2.04371374566	19
19	[  91.  113.]	22.6715680975	[ 76.  96.]	1.77676039888	20
20	[ 145.   72.]	9.21954445729	[ 138.   78.]	2.35702567338	21
21	[ 136.    4.]	2.82842712475	[ 134.    6.]	1.940662042	22
22	[-47. -62.]	14.4222051019	[-39. -50.]	1.73783011781	23
23	[ 146.   81.]	9.48683298051	[ 149.   90.]	2.02782329894	24
24	[  40. -142.]				25
25	[ -22. -120.]	10.0498756211	[ -12. -121.]	1.78639343334	26
26	[-157.  -52.]				27
27	[-103.   77.]	5.38516480713	[-101.   72.]	2.01830617618	28
28	[  40.  146.]	30.4138126515	[  54.  173.]	1.98428704287	29
29	[ -28.  127.]	7.28010988928	[ -35.  129.]	2.7326494148	30
30	[-89. -48.]	2.0	[-91. -48.]	2.18324589147	31
31	[ 37. -87.]	6.40312423743	[ 33. -82.]	1.91893285303	32
32	[ -21. -109.]	7.0	[ -14. -109.]	1.58421411528	33
33	[ 120.  -77.]	8.0622577483	[ 112.  -78.]	1.7985707866	34
34	[ 157. -160.]	4.12310562562	[ 161. -161.]	1.85211618571	35
35	[ 57. -69.]	6.40312423743	[ 62. -73.]	1.66196269053	36
36	[  92.  115.]	26.2488094968	[  75.  135.]	1.93408858962	1
37	[-94. -79.]				2
38	[ 157.   47.]	11.6619037897	[ 147.   41.]	1.63590704254	3
39	[ 114.   77.]	19.6468827044	[ 95.  82.]	1.74306636164	4
40	[ 65.  28.]	10.0498756211	[ 75.  29.]	1.87345628603	5
41	[-125.  -48.]	8.24621125124	[-127.  -56.]	1.81650025002	6
42	[ -88.  122.]	26.2488094968	[-80.  97.]	1.88085198612	7
43	[ 31.  17.]	8.94427191	[ 39.  13.]	2.0016900748	8
44	[ 14.  18.]	6.7082039325	[ 17.  12.]	1.975159914	9
45	[  0. -29.]	17.2046505341	[ 10. -15.]	1.91899261996	10
46	[ -30. -149.]	9.05538513814	[ -21. -148.]	2.10860942071	11
47	[ 34. -14.]	12.0830459736	[ 23. -19.]	2.32373249647	12
48	[-160.  -19.]	15.2315462117	[-166.   -5.]	1.76294821035	13
49	[ -69.  132.]	12.0415945788	[ -81.  133.]	3.13246999355	14
50	[  50. -142.]	8.0622577483	[  42. -143.]	1.78312104521	15
51	[-148.   89.]	19.4164878389	[-129.   93.]	1.71791265043	16
52	[  20. -104.]	13.4536240471	[  11. -114.]	2.12581172027	17
53	[ 90.  64.]				18
54	[ -70.  101.]	11.7046999107	[-66.  90.]	1.94319126825	19
55	[-127.  -93.]	27.1661554144	[-130.  -66.]	1.57162624202	20
56	[ 26. -37.]	13.0	[ 31. -25.]	1.92224448221	21
57	[  14. -143.]	12.0830459736	[  25. -148.]	1.55469047837	22
58	[ -36. -110.]	31.5753068077	[-42. -79.]	1.50625907257	23
59	[ 124.  -11.]	6.32455532034	[ 130.   -9.]	2.01895878231	24
60	[ 64. -44.]	8.48528137424	[ 70. -50.]	1.89836398722	25
61	[-93.  89.]	41.6173040934	[-69.  55.]	1.73772507277	26
62	[-152.  -55.]	5.0	[-149.  -51.]	1.89333964419	27
63	[ 158.  -71.]				28
64	[ -37. -150.]	14.4222051019	[ -29. -138.]	1.87285710778	29
65	[ -52. -152.]	3.0	[ -49. -152.]	2.06381383399	30
66	[-112.   49.]	6.32455532034	[-118.   47.]	1.80354079581	31
67	[ -76.  127.]	13.0	[ -63.  127.]	1.60139256855	32
68	[  74. -140.]	7.81024967591	[  79. -134.]	1.84933823277	33
69	[ -58.  127.]	10.295630141	[ -63.  136.]	1.9902015503	34
70	[-153.   82.]				35
71	[-123.   -2.]	5.09901951359	[-128.   -1.]	2.40346243489	36
72	[ -48.  157.]	7.61577310586	[ -51.  150.]	2.65042918967	1
73	[ -93. -150.]	11.401754251	[-102. -143.]	1.78504807455	2
