,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,releaseTime,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
0,1,0,46.0434577329,"[132.0, -100.0]",-5.0,"[86, -102]",1.10069822799,1,0.283007053658,1.0,-5.0,32.0,14.1421356237,64.0,"[100.0, -100.0]",35
1,1,0,57.0701322935,"[-32.0, 0.0]",-5.0,"[24, 11]",0.733405021951,1,0.132288709749,1.0,1.0,-32.0,26.4007575649,64.0,"[0.0, 0.0]",34
2,1,0,63.1268564083,"[-44.0, -100.0]",0.0,"[19, -96]",0.799687886611,1,0.265953806229,1.0,1.0,-44.0,19.4164878389,64.0,"[0.0, -100.0]",33
3,1,0,49.0,"[-56.0, 0.0]",0.0,"[-105, 0]",0.867361259647,1,0.300046180375,1.0,1.0,44.0,5.0,64.0,"[-100.0, 0.0]",32
4,1,0,40.4474968323,"[68.0, -100.0]",-1.0,"[108, -94]",0.767689086497,1,0.183118252549,1.0,1.0,-32.0,10.0,64.0,"[100.0, -100.0]",31
5,1,0,44.5533388199,"[56.0, 100.0]",-5.0,"[100, 107]",0.883735778276,1,0.249311280902,1.0,1.0,-44.0,7.0,64.0,"[100.0, 100.0]",30
6,1,0,43.1856457634,"[-68.0, 100.0]",0.0,"[-111, 96]",0.834110461175,1,0.28339404054,1.0,1.0,32.0,11.7046999107,64.0,"[-100.0, 100.0]",29
7,1,0,53.0,"[44.0, 0.0]",-1.0,"[-9, 0]",0.833239741623,1,0.215971247759,1.0,1.0,44.0,9.0,64.0,"[0.0, 0.0]",28
8,1,0,54.0,"[132.0, 0.0]",-1.0,"[78, 0]",0.833175744396,1,0.23264081357,1.0,1.0,32.0,22.0,64.0,"[100.0, 0.0]",27
9,1,0,49.040799341,"[-32.0, 100.0]",0.0,"[17, 98]",0.816473429091,1,0.265658759046,1.0,1.0,-32.0,17.1172427686,64.0,"[0.0, 100.0]",26
10,1,0,54.4518135602,"[56.0, 100.0]",-1.0,"[110, 107]",0.700546618551,1,0.132562424522,1.0,1.0,-44.0,12.2065556157,64.0,"[100.0, 100.0]",25
11,1,0,49.0917508345,"[44.0, -100.0]",-5.0,"[-5, -97]",0.750261771493,1,0.183182549663,1.0,1.0,44.0,5.83095189485,64.0,"[0.0, -100.0]",24
12,1,0,48.7647413609,"[68.0, 100.0]",0.0,"[115, 113]",0.733042372391,1,0.198633769527,1.0,1.0,-32.0,19.8494332413,64.0,"[100.0, 100.0]",23
13,1,0,56.7186036499,"[-44.0, 0.0]",0.0,"[12, -9]",0.750027115922,1,0.249316689093,1.0,1.0,-44.0,15.0,64.0,"[0.0, 0.0]",22
14,1,0,40.2616442784,"[132.0, 0.0]",0.0,"[93, 10]",0.816462011542,1,0.282724625431,1.0,1.0,32.0,12.2065556157,64.0,"[100.0, 0.0]",21
15,1,0,50.3587132481,"[144.0, -100.0]",0.0,"[94, -106]",0.683283052407,1,0.165825542063,1.0,1.0,44.0,8.48528137424,64.0,"[100.0, -100.0]",20
16,1,0,66.9103878333,"[44.0, 100.0]",-5.0,"[-22, 111]",0.717567717191,1,0.166937827598,1.0,1.0,44.0,24.5967477525,64.0,"[0.0, 100.0]",19
