,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial
0,"[0.0, 0.0]",14.0356688476,"[1.0, 14.0]",0.917115080636,0.467106698314,1
1,"[100.0, -100.0]",7.21110255093,"[96.0, -94.0]",2.88523728237,0.31633446482,2
2,"[100.0, 0.0]",6.32455532034,"[98.0, -6.0]",0.867410688195,0.300079497742,3
3,"[-100.0, 0.0]",12.2065556157,"[-90.0, 7.0]",1.00037675793,0.265662039397,4
4,"[-100.0, 100.0]",5.38516480713,"[-98.0, 105.0]",0.883597153937,0.266170091461,5
5,"[0.0, 100.0]",10.4403065089,"[-3.0, 110.0]",0.766797720687,0.232692724792,6
6,"[100.0, 0.0]",3.16227766017,"[101.0, 3.0]",2.26828342024,0.283247375861,7
7,"[100.0, -100.0]",14.1421356237,"[98.0, -114.0]",0.750088481,0.132609741995,8
8,"[0.0, 0.0]",28.8617393793,"[28.0, -7.0]",0.867136682617,0.133513780544,9
9,"[100.0, 0.0]",17.2046505341,"[90.0, 14.0]",0.800565617392,0.266504185973,10
10,"[100.0, 0.0]",12.0415945788,"[91.0, 8.0]",2.6679186204,0.34933712869,11
11,"[-100.0, -100.0]",14.3178210633,"[-103.0, -86.0]",0.76772459317,0.233529463876,12
12,"[-100.0, -100.0]",6.32455532034,"[-94.0, -98.0]",2.10170177952,0.40045000636,13
13,"[0.0, -100.0]",10.0,"[-8.0, -94.0]",0.750314415433,0.183155079372,14
14,"[-100.0, 100.0]",3.60555127546,"[-97.0, 102.0]",1.8675332698,0.299814805854,15
15,"[100.0, -100.0]",10.6301458127,"[92.0, -107.0]",2.13495982136,0.116659125313,16
16,"[0.0, 0.0]",7.07106781187,"[7.0, -1.0]",0.983884138986,0.249626396922,17
17,"[0.0, -100.0]",9.0,"[0.0, -91.0]",1.35086549143,0.216365050059,18
18,"[0.0, 100.0]",6.40312423743,"[-5.0, 104.0]",1.35095622577,0.483431969536,19
19,"[-100.0, -100.0]",19.2093727123,"[-88.0, -85.0]",1.11744208471,0.283221537946,20
20,"[0.0, 0.0]",24.3310501212,"[4.0, 24.0]",1.05077788164,0.299378860276,21
21,"[-100.0, 100.0]",7.07106781187,"[-105.0, 95.0]",1.41733771027,0.266321816249,22
22,"[0.0, -100.0]",14.2126704036,"[-11.0, -91.0]",2.45125763211,0.182837509317,23
23,"[100.0, 100.0]",18.0277563773,"[90.0, 115.0]",1.18388035335,0.333032888593,24
24,"[0.0, -100.0]",24.3515913238,"[8.0, -77.0]",0.749978818698,0.115979819791,25
25,"[100.0, -100.0]",15.6524758425,"[86.0, -93.0]",0.699979990255,0.166010795627,26
26,"[0.0, 100.0]",7.21110255093,"[-6.0, 104.0]",1.13349485234,0.533422986045,27
27,"[100.0, 100.0]",12.8062484749,"[92.0, 90.0]",0.917375866789,0.333688158775,28
28,"[-100.0, -100.0]",5.83095189485,"[-95.0, -97.0]",1.03409748478,0.282564765541,29
29,"[0.0, 100.0]",10.0498756211,"[1.0, 110.0]",4.70373494993,0.283181278268,30
30,"[-100.0, 100.0]",12.0,"[-88.0, 100.0]",0.784302838612,0.116476455005,31
31,"[-100.0, 0.0]",12.3693168769,"[-97.0, 12.0]",0.817189230351,0.216516474262,32
32,"[0.0, 0.0]",12.6491106407,"[-12.0, 4.0]",0.833844389999,0.283194497926,33
33,"[100.0, 0.0]",11.6619037897,"[110.0, 6.0]",0.733417097479,0.115910116583,34
34,"[0.0, -100.0]",2.0,"[0.0, -102.0]",0.800318351481,0.232892220374,35
35,"[-100.0, 100.0]",18.0,"[-100.0, 118.0]",1.00091635669,0.433785262518,36
36,"[100.0, 100.0]",23.769728648,"[91.0, 122.0]",0.933174157515,0.316055051051,37
37,"[0.0, 100.0]",8.0622577483,"[1.0, 108.0]",0.851023825817,0.23362139985,38
38,"[-100.0, 0.0]",17.7200451467,"[-95.0, 17.0]",0.884055332514,0.232810198795,39
39,"[100.0, -100.0]",6.32455532034,"[94.0, -102.0]",2.25143207028,0.266624063719,40
40,"[100.0, 0.0]",3.60555127546,"[98.0, -3.0]",0.900726115098,0.250048521906,41
41,"[100.0, 100.0]",10.295630141,"[109.0, 105.0]",0.867293214425,0.233545687748,42
42,"[100.0, 100.0]",5.09901951359,"[95.0, 101.0]",0.866917958716,0.249874263769,43
43,"[-100.0, 100.0]",14.3178210633,"[-113.0, 106.0]",0.882988452679,0.248832621612,44
44,"[0.0, 0.0]",16.0,"[0.0, 16.0]",1.11724228901,0.483060319209,45
45,"[0.0, 0.0]",8.54400374532,"[-8.0, 3.0]",2.0010389383,0.283178874524,46
46,"[100.0, -100.0]",11.1803398875,"[105.0, -90.0]",0.900491768029,0.267259204062,47
47,"[0.0, 0.0]",5.0,"[4.0, 3.0]",2.10127755161,0.283242869424,48
48,"[100.0, 100.0]",7.07106781187,"[105.0, 95.0]",0.933493830962,0.249660347123,49
49,"[100.0, 100.0]",15.0,"[109.0, 112.0]",0.984652676852,0.283373863436,50
50,"[-100.0, 100.0]",25.0,"[-124.0, 93.0]",0.9337888679,0.233004887123,51
