,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,releaseTime,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
0,1,0,45.0,"[132.0, -100.0]",-5.0,"[87, -100]",1.23445837194,1,0.333422068099,1.0,-5.0,32.0,13.0,64.0,"[100.0, -100.0]",35
1,1,0,47.1699056603,"[-32.0, 0.0]",-5.0,"[15, -4]",0.851646094932,1,0.29987642233,1.0,1.0,-32.0,15.5241746963,64.0,"[0.0, 0.0]",34
2,1,0,51.0881590978,"[-44.0, -100.0]",0.0,"[7, -97]",0.700822739513,1,0.2493847406,1.0,1.0,-44.0,7.61577310586,64.0,"[0.0, -100.0]",33
3,1,0,57.0788927713,"[-56.0, 0.0]",0.0,"[-113, 3]",0.800970834389,1,0.166425450298,1.0,1.0,44.0,13.3416640641,64.0,"[-100.0, 0.0]",32
4,1,0,45.1774279923,"[68.0, -100.0]",-1.0,"[113, -96]",0.851178584911,1,0.182992911316,1.0,1.0,-32.0,13.6014705087,64.0,"[100.0, -100.0]",31
5,1,0,46.270941205,"[56.0, 100.0]",-5.0,"[102, 95]",2.75288911274,1,0.167011941085,1.0,-5.0,-44.0,5.38516480713,64.0,"[100.0, 100.0]",30
6,1,0,53.3666562565,"[132.0, 0.0]",-1.0,"[80, 12]",0.91821128747,1,0.417070605152,1.0,1.0,32.0,23.3238075794,64.0,"[100.0, 0.0]",29
7,1,0,56.2227711875,"[56.0, 100.0]",-1.0,"[112, 105]",0.850414224085,1,0.332740633225,1.0,1.0,-44.0,13.0,64.0,"[100.0, 100.0]",28
8,1,0,50.1597448159,"[44.0, -100.0]",-5.0,"[-6, -96]",0.817192470189,1,0.333201533183,1.0,1.0,44.0,7.21110255093,64.0,"[0.0, -100.0]",27
9,1,0,48.0,"[68.0, 100.0]",0.0,"[116, 100]",0.735359290149,1,0.28401803819,1.0,1.0,-32.0,16.0,64.0,"[100.0, 100.0]",26
