,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial
0,"[0.0, 0.0]",31.304951685,"[-14.0, 28.0]",0.783535906589,0.349962037232,1
1,"[100.0, -100.0]",19.2353840617,"[97.0, -81.0]",0.933332451993,0.382687836081,2
2,"[100.0, 0.0]",13.4536240471,"[90.0, -9.0]",0.950481948381,0.36605242197,3
3,"[-100.0, 0.0]",8.0622577483,"[-101.0, -8.0]",0.866781481381,0.349590672126,4
4,"[-100.0, 100.0]",5.83095189485,"[-105.0, 97.0]",0.883275680602,0.365780808656,5
5,"[0.0, 100.0]",7.07106781187,"[-7.0, 99.0]",0.883894622447,0.333088661016,6
6,"[100.0, 0.0]",9.05538513814,"[91.0, -1.0]",0.966873090782,0.416208945152,7
7,"[100.0, -100.0]",6.32455532034,"[98.0, -106.0]",0.966897427816,0.382732303747,8
8,"[0.0, 0.0]",10.7703296143,"[10.0, -4.0]",0.933570414099,0.399636627055,9
9,"[100.0, 0.0]",12.2065556157,"[90.0, -7.0]",0.966975246232,0.333309797519,10
10,"[100.0, 0.0]",7.28010988928,"[93.0, 2.0]",0.94966380341,0.366014564363,11
11,"[-100.0, -100.0]",2.0,"[-100.0, -98.0]",1.01702060025,0.416206241037,12
12,"[-100.0, -100.0]",13.3416640641,"[-97.0, -87.0]",0.866445570225,0.36582557678,13
13,"[0.0, -100.0]",7.07106781187,"[1.0, -93.0]",0.967621229225,0.333435088174,14
14,"[-100.0, 100.0]",4.0,"[-104.0, 100.0]",0.983762992145,0.399528762918,15
15,"[100.0, -100.0]",5.0,"[95.0, -100.0]",1.03354093925,0.466552052258,16
16,"[0.0, 0.0]",8.0622577483,"[1.0, 8.0]",0.96676252253,0.34890953564,17
17,"[0.0, -100.0]",4.0,"[0.0, -104.0]",0.983680366414,0.349546805374,18
18,"[0.0, 100.0]",2.82842712475,"[-2.0, 98.0]",0.915978644704,0.315660340339,19
19,"[-100.0, -100.0]",2.2360679775,"[-98.0, -99.0]",1.03414966555,0.433778180257,20
20,"[0.0, 0.0]",2.2360679775,"[-2.0, -1.0]",0.916536894192,0.365478849165,21
21,"[-100.0, 100.0]",9.43398113206,"[-105.0, 108.0]",3.00152391895,0.333217857614,22
22,"[0.0, -100.0]",7.0,"[0.0, -93.0]",0.949514776636,0.382341408922,23
23,"[100.0, 100.0]",2.0,"[98.0, 100.0]",0.916821126709,0.315492084305,24
24,"[0.0, -100.0]",4.472135955,"[2.0, -96.0]",0.883413890918,0.282546951697,25
25,"[100.0, -100.0]",6.32455532034,"[102.0, -94.0]",0.950104874588,0.349486413475,26
26,"[0.0, 100.0]",14.0,"[-14.0, 100.0]",0.983417766816,0.349444649923,27
27,"[100.0, 100.0]",5.38516480713,"[102.0, 95.0]",0.93378644283,0.332565865478,28
28,"[-100.0, -100.0]",4.0,"[-104.0, -100.0]",0.883167816466,0.31589800199,29
29,"[0.0, 100.0]",2.2360679775,"[2.0, 99.0]",0.849637693679,0.332469719172,30
30,"[-100.0, 100.0]",13.152946438,"[-102.0, 87.0]",0.949499152861,0.332157544135,31
31,"[-100.0, 0.0]",7.21110255093,"[-104.0, 6.0]",0.866858698882,0.266154607466,32
32,"[0.0, 0.0]",15.1327459504,"[-2.0, -15.0]",2.18419709272,0.349173937982,33
33,"[100.0, 0.0]",7.81024967591,"[94.0, 5.0]",0.934004574762,0.316692110385,34
34,"[0.0, -100.0]",5.0,"[0.0, -105.0]",0.883622408218,0.265948493823,35
35,"[-100.0, 100.0]",2.82842712475,"[-98.0, 98.0]",0.849898790991,0.265596057521,36
36,"[100.0, 100.0]",12.0415945788,"[92.0, 109.0]",0.983482064657,0.349684414774,37
37,"[0.0, 100.0]",5.38516480713,"[-5.0, 102.0]",1.03340002482,0.34915260552,38
38,"[-100.0, 0.0]",3.0,"[-100.0, -3.0]",0.883093303079,0.266108337057,39
39,"[100.0, -100.0]",13.3416640641,"[97.0, -87.0]",0.983345657087,0.349463578728,40
40,"[100.0, 0.0]",5.09901951359,"[95.0, -1.0]",1.01665764794,0.382318273717,41
41,"[100.0, 100.0]",6.7082039325,"[94.0, 97.0]",0.8662589863,0.248679415467,42
42,"[100.0, 100.0]",5.09901951359,"[95.0, 99.0]",0.900271042446,0.266020603553,43
43,"[-100.0, 100.0]",6.0,"[-94.0, 100.0]",1.01657952907,0.365635086912,44
44,"[0.0, 0.0]",6.32455532034,"[-6.0, 2.0]",0.933455639446,0.2992947368,45
45,"[0.0, 0.0]",4.0,"[0.0, 4.0]",0.99987531026,0.315997753783,46
46,"[100.0, -100.0]",10.0498756211,"[90.0, -101.0]",1.01650621751,0.349380652538,47
47,"[0.0, 0.0]",10.8166538264,"[9.0, 6.0]",0.917160943808,0.36652984847,48
