,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,releaseTime,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
0,0.0,0,19.9248588452,"[132.0, -100.0]",-5.0,"[113, -94]",1.81894382997,3,0.350034897972,1.0,-5.0,32.0,14.3178210633,64.0,"[100.0, -100.0]",35
1,-1.0,0,27.7848879789,"[-32.0, 0.0]",-5.0,"[-56, 14]",0.867719004862,2,0.384406798636,1.0,-5.0,-32.0,57.7234787586,64.0,"[0.0, 0.0]",34
2,1.0,0,53.0848377599,"[-44.0, -100.0]",0.0,"[9, -97]",1.26740731148,1,0.517890820804,1.0,-5.0,-44.0,9.48683298051,64.0,"[0.0, -100.0]",33
3,1.0,0,56.0357029045,"[-56.0, 0.0]",0.0,"[-112, -2]",1.084924575,1,0.449938421487,1.0,-5.0,44.0,12.1655250606,64.0,"[-100.0, 0.0]",32
4,1.0,0,46.0108682813,"[68.0, -100.0]",-1.0,"[114, -99]",1.46848438727,1,0.400483013596,1.0,-5.0,-32.0,14.0356688476,64.0,"[100.0, -100.0]",31
5,1.0,0,43.931765273,"[56.0, 100.0]",-5.0,"[99, 91]",1.30177410436,1,0.53376753279,1.0,-5.0,-44.0,9.05538513814,64.0,"[100.0, 100.0]",30
6,,0,64.0,"[-68.0, 100.0]",0.0,"[-132, 100]",2.70293284411,5,2.26858089381,1.0,-5.0,32.0,32.0,64.0,"[-100.0, 100.0]",29
7,-1.0,0,5.65685424949,"[44.0, 0.0]",-1.0,"[48, 4]",1.33473175712,2,0.483615667152,1.0,-5.0,44.0,48.1663783152,64.0,"[0.0, 0.0]",28
8,1.0,0,58.2494635168,"[132.0, 0.0]",-1.0,"[75, 12]",0.917789747298,1,0.466661518847,1.0,1.0,32.0,27.7308492477,64.0,"[100.0, 0.0]",27
9,1.0,0,44.0113621693,"[-32.0, 100.0]",0.0,"[12, 101]",0.867731323524,1,0.333611355571,1.0,1.0,-32.0,12.0415945788,64.0,"[0.0, 100.0]",26
10,1.0,0,46.3249392876,"[56.0, 100.0]",-1.0,"[95, 125]",0.717525706277,1,0.416989782359,1.0,1.0,-44.0,25.495097568,64.0,"[100.0, 100.0]",25
11,1.0,0,54.3415126768,"[44.0, -100.0]",-5.0,"[-9, -88]",0.734059516224,1,0.332873735344,1.0,1.0,44.0,15.0,64.0,"[0.0, -100.0]",24
12,1.0,0,32.3882694814,"[68.0, 100.0]",0.0,"[100, 105]",0.850984189659,1,0.549645446532,1.0,1.0,-32.0,5.0,64.0,"[100.0, 100.0]",23
13,1.0,0,64.0702739186,"[-44.0, 0.0]",0.0,"[20, -3]",0.768780546961,1,0.417284530005,1.0,1.0,-44.0,20.2237484162,64.0,"[0.0, 0.0]",22
14,1.0,0,52.2398315464,"[132.0, 0.0]",0.0,"[80, -5]",2.30293206288,1,1.03415406978,1.0,-5.0,32.0,20.6155281281,64.0,"[100.0, 0.0]",21
15,1.0,0,46.1735855225,"[144.0, -100.0]",0.0,"[98, -104]",2.46986227983,1,0.584156157915,1.0,-5.0,44.0,4.472135955,64.0,"[100.0, -100.0]",20
16,1.0,0,49.1629942131,"[44.0, 100.0]",-5.0,"[-5, 104]",0.983956534765,1,0.499518218334,1.0,1.0,44.0,6.40312423743,64.0,"[0.0, 100.0]",19
17,1.0,0,44.283179651,"[-44.0, 100.0]",-1.0,"[0, 95]",0.867776392028,1,0.39962340804,1.0,1.0,-44.0,5.0,64.0,"[0.0, 100.0]",18
18,1.0,0,51.0881590978,"[-68.0, 100.0]",-5.0,"[-119, 103]",1.20169541484,1,0.6502216917,1.0,-5.0,32.0,19.2353840617,64.0,"[-100.0, 100.0]",17
19,1.0,0,57.4282160614,"[-132.0, 100.0]",-1.0,"[-75, 107]",1.06618842034,1,0.632615553215,1.0,-5.0,-32.0,25.9615099715,64.0,"[-100.0, 100.0]",16
20,1.0,0,60.0749531835,"[-56.0, -100.0]",-1.0,"[-116, -97]",0.950718255772,1,0.466828872974,1.0,1.0,44.0,16.2788205961,64.0,"[-100.0, -100.0]",15
21,1.0,0,54.0092584656,"[32.0, -100.0]",-1.0,"[-22, -99]",1.01774044242,1,0.466361362953,1.0,-5.0,32.0,22.0227155455,64.0,"[0.0, -100.0]",14
22,1.0,0,40.5215991787,"[-44.0, 100.0]",-5.0,"[-5, 111]",0.883917505562,1,0.500198451395,1.0,1.0,-44.0,12.0830459736,64.0,"[0.0, 100.0]",13
23,1.0,0,39.0512483795,"[-132.0, -100.0]",0.0,"[-93, -98]",0.984953148349,1,0.466641087842,1.0,1.0,-32.0,7.28010988928,64.0,"[-100.0, -100.0]",12
24,1.0,0,52.3450093132,"[56.0, 100.0]",0.0,"[108, 106]",0.951322173001,1,0.516252132133,1.0,1.0,-44.0,10.0,64.0,"[100.0, 100.0]",11
25,1.0,0,46.5295604965,"[132.0, -100.0]",-5.0,"[86, -93]",0.917943881359,1,0.416733493155,1.0,1.0,32.0,15.6524758425,64.0,"[100.0, -100.0]",10
26,1.0,0,49.040799341,"[-144.0, 0.0]",-1.0,"[-95, 2]",0.902355607483,1,0.517304029607,1.0,1.0,-44.0,5.38516480713,64.0,"[-100.0, 0.0]",9
27,1.0,0,53.1507290637,"[32.0, 0.0]",0.0,"[-21, 4]",0.968639572908,1,0.534028328839,1.0,1.0,32.0,21.3775583264,64.0,"[0.0, 0.0]",8
28,1.0,0,35.6931365951,"[-32.0, 0.0]",-1.0,"[3, 7]",0.800679692242,1,0.583008715301,1.0,1.0,-32.0,7.61577310586,64.0,"[0.0, 0.0]",7
29,1.0,0,49.0102030194,"[-144.0, -100.0]",-5.0,"[-95, -99]",0.918181241839,1,0.533764828637,1.0,1.0,-44.0,5.09901951359,64.0,"[-100.0, -100.0]",6
30,1.0,0,56.0802995712,"[-56.0, 100.0]",-5.0,"[-112, 103]",0.968716790201,1,0.484009865788,1.0,1.0,44.0,12.3693168769,64.0,"[-100.0, 100.0]",5
31,1.0,0,60.1331855135,"[144.0, 0.0]",-1.0,"[84, 4]",0.851916806074,1,0.483895391924,1.0,1.0,44.0,16.4924225025,64.0,"[100.0, 0.0]",4
32,1.0,0,54.5893762558,"[44.0, -100.0]",0.0,"[-10, -92]",0.768509835878,1,0.417389689712,1.0,1.0,44.0,12.8062484749,64.0,"[0.0, -100.0]",3
33,1.0,0,56.0089278598,"[32.0, -100.0]",-1.0,"[-24, -99]",0.967150811921,1,0.449897559418,1.0,1.0,32.0,24.0208242989,64.0,"[0.0, -100.0]",2
34,1.0,0,47.0956473573,"[-132.0, -100.0]",-5.0,"[-85, -97]",0.900249709259,1,0.449517782661,1.0,1.0,-32.0,15.2970585408,64.0,"[-100.0, -100.0]",1
35,1.0,0,49.244289009,"[-132.0, 0.0]",-5.0,"[-84, 11]",1.03482258506,1,0.666732065962,1.0,-5.0,-32.0,19.4164878389,64.0,"[-100.0, 0.0]",0
36,1.0,1,53.1507290637,"[32.0, 100.0]",0.0,"[-21, 104]",1.03357358818,1,0.416059870098,1.0,-5.0,32.0,21.3775583264,64.0,"[0.0, 100.0]",35
37,1.0,1,33.2415402772,"[132.0, 0.0]",-5.0,"[99, 4]",0.768188948568,1,0.433894355374,1.0,1.0,32.0,4.12310562562,64.0,"[100.0, 0.0]",34
38,1.0,1,42.1900462195,"[-32.0, -100.0]",-5.0,"[10, -96]",0.883963174885,1,0.383130760689,1.0,1.0,-32.0,10.7703296143,64.0,"[0.0, -100.0]",33
39,1.0,1,43.7378554573,"[-144.0, 100.0]",-1.0,"[-101, 108]",1.00036625622,1,0.58361263253,1.0,-5.0,-44.0,8.0622577483,64.0,"[-100.0, 100.0]",32
40,1.0,1,47.3814309619,"[-144.0, 0.0]",0.0,"[-97, 6]",2.40245881415,1,0.516811581736,1.0,-5.0,-44.0,6.7082039325,64.0,"[-100.0, 0.0]",31
41,1.0,1,54.2309874518,"[144.0, 100.0]",-5.0,"[90, 105]",0.850674118788,1,0.516307716491,1.0,1.0,44.0,11.1803398875,64.0,"[100.0, 100.0]",30
42,1.0,1,48.0,"[-68.0, 0.0]",-1.0,"[-116, 0]",0.918197166058,1,0.416601292382,1.0,1.0,32.0,16.0,64.0,"[-100.0, 0.0]",29
43,1.0,1,61.0,"[144.0, 0.0]",0.0,"[84, 11]",0.834455788019,1,0.549657164374,1.0,1.0,44.0,19.4164878389,64.0,"[100.0, 0.0]",28
44,1.0,1,60.0,"[-44.0, 0.0]",-5.0,"[16, 0]",0.851383796544,1,0.617300694576,1.0,1.0,-44.0,16.0,64.0,"[0.0, 0.0]",27
45,1.0,1,41.0,"[-32.0, 100.0]",-1.0,"[9, 100]",0.900424574793,1,0.482291856606,1.0,1.0,-32.0,9.0,64.0,"[0.0, 100.0]",26
46,1.0,1,45.0,"[-132.0, 100.0]",0.0,"[-87, 100]",1.0353898466,1,0.483730741893,1.0,-5.0,-32.0,13.0,64.0,"[-100.0, 100.0]",25
47,1.0,1,64.0312423743,"[144.0, 100.0]",-1.0,"[82, 116]",0.902016091859,1,0.617396239715,1.0,1.0,44.0,24.0831891576,64.0,"[100.0, 100.0]",24
48,1.0,1,50.4876222455,"[-144.0, -100.0]",-5.0,"[-94, -93]",0.985370181676,1,0.517917260935,1.0,1.0,-44.0,9.21954445729,64.0,"[-100.0, -100.0]",23
49,1.0,1,51.0881590978,"[-132.0, 100.0]",-5.0,"[-81, 103]",1.0350250926,1,0.684343312168,1.0,-5.0,-32.0,19.2353840617,64.0,"[-100.0, 100.0]",22
50,1.0,1,54.5710545986,"[132.0, -100.0]",0.0,"[79, -87]",1.10148362315,1,0.417457592848,1.0,-5.0,32.0,24.6981780705,64.0,"[100.0, -100.0]",21
51,1.0,1,43.0464865001,"[-132.0, -100.0]",0.0,"[-89, -102]",0.885030696169,1,0.517727673054,1.0,1.0,-32.0,11.1803398875,64.0,"[-100.0, -100.0]",20
52,1.0,1,58.0344725142,"[-56.0, 0.0]",0.0,"[-114, -2]",1.21751113416,1,0.499379407498,1.0,-5.0,44.0,14.1421356237,64.0,"[-100.0, 0.0]",19
53,1.0,1,58.2151183113,"[44.0, 0.0]",-5.0,"[-14, 5]",1.1339398144,1,0.60011068813,1.0,-5.0,44.0,14.8660687473,64.0,"[0.0, 0.0]",18
54,1.0,1,49.4974746831,"[-68.0, -100.0]",-1.0,"[-117, -93]",0.985143036698,1,0.516461249674,1.0,1.0,32.0,18.3847763109,64.0,"[-100.0, -100.0]",17
55,1.0,1,50.0899191455,"[-44.0, 100.0]",-1.0,"[6, 103]",0.834591293824,1,0.449730205291,1.0,1.0,-44.0,6.7082039325,64.0,"[0.0, 100.0]",16
56,1.0,1,52.0096144958,"[32.0, 100.0]",-5.0,"[-20, 101]",1.0180174631,1,0.499870052619,1.0,-5.0,32.0,20.0249843945,64.0,"[0.0, 100.0]",15
57,1.0,1,67.186308129,"[144.0, -100.0]",-1.0,"[79, -83]",1.01781916193,1,0.716836159059,1.0,-5.0,44.0,27.0185121722,64.0,"[100.0, -100.0]",14
