,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,releaseTime,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
250,1,6,63.0079360081,"[132.0, 100.0]",0.0,"[69, 99]",0.766659626039,1,0.382452330436,1.0,1.0,32.0,31.0161248385,64.0,"[100.0, 100.0]",1
251,1,6,50.6063237155,"[-56.0, 0.0]",-15.0,"[-100, -25]",0.750436788308,1,0.349936047918,3.0,3.0,44.0,25.0,64.0,"[-100.0, 0.0]",0
252,1,7,33.5410196625,"[-68.0, 100.0]",-3.0,"[-101, 106]",0.866498551331,1,0.415927368915,3.0,3.0,32.0,6.0827625303,64.0,"[-100.0, 100.0]",35
253,1,7,40.0249921924,"[-68.0, 0.0]",-5.0,"[-107, -9]",0.767217873828,1,0.333550663432,1.0,1.0,32.0,11.401754251,64.0,"[-100.0, 0.0]",34
254,-2,7,59.5063021872,"[-132.0, 100.0]",-5.0,"[-78, 75]",0.767225685646,4,0.332760763704,1.0,0.0,-32.0,33.3016516107,64.0,"[-100.0, 100.0]",33
255,1,7,41.0121933088,"[-132.0, 100.0]",-1.0,"[-91, 99]",0.733759360388,1,0.316309579299,1.0,1.0,-32.0,9.05538513814,64.0,"[-100.0, 100.0]",32
256,1,7,48.2597140481,"[32.0, -100.0]",-1.0,"[-16, -95]",0.882545922534,1,0.432228625636,1.0,1.0,32.0,16.7630546142,64.0,"[0.0, -100.0]",31
257,1,7,62.0725382114,"[-44.0, 0.0]",-1.0,"[18, 3]",0.799643117934,1,0.366396245896,1.0,1.0,-44.0,18.2482875909,64.0,"[0.0, 0.0]",30
258,-2,7,68.0294054068,"[-56.0, -100.0]",-5.0,"[-118, -72]",0.916609855369,4,0.483393028961,1.0,0.0,44.0,33.2866339542,64.0,"[-100.0, -100.0]",29
259,1,7,50.0099990002,"[-44.0, 100.0]",-5.0,"[5, 90]",0.783354480402,1,0.315946327639,1.0,1.0,-44.0,11.1803398875,64.0,"[0.0, 100.0]",28
260,-2,7,62.8171950982,"[-32.0, -100.0]",0.0,"[29, -85]",0.767077560653,4,0.317085357499,1.0,0.0,-32.0,32.6496554346,64.0,"[0.0, -100.0]",27
261,1,7,43.965895874,"[-44.0, 100.0]",0.0,"[-2, 87]",0.799942072015,1,0.366328643286,1.0,1.0,-44.0,13.152946438,64.0,"[0.0, 100.0]",26
262,1,7,59.0084739677,"[144.0, 100.0]",-1.0,"[85, 101]",0.750565984519,1,0.332775486051,1.0,1.0,44.0,15.0332963784,64.0,"[100.0, 100.0]",25
263,-1,7,15.6524758425,"[44.0, 100.0]",0.0,"[51, 86]",0.817012496875,2,0.366453032242,1.0,0.0,44.0,52.8866712887,64.0,"[0.0, 100.0]",24
