,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,releaseTime,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
0,0.0,0,29.5465734054,"[132.0, -100.0]",-5.0,"[105, -88]",0.850760335801,3,0.31697351113,1.0,-4.0,32.0,13.0,64.0,"[100.0, -100.0]",35
1,1.0,0,48.3735464898,"[-44.0, -100.0]",0.0,"[4, -94]",1.60086714406,1,1.03350110189,1.0,1.0,-44.0,7.21110255093,64.0,"[0.0, -100.0]",34
2,1.0,0,57.0350769264,"[-56.0, 0.0]",0.0,"[-113, -2]",0.886130204424,1,0.399833493633,1.0,1.0,44.0,13.152946438,64.0,"[-100.0, 0.0]",33
3,1.0,0,37.6961536499,"[-68.0, 100.0]",0.0,"[-103, 114]",3.3028775407,1,2.20246436889,1.0,1.0,32.0,14.3178210633,64.0,"[-100.0, 100.0]",32
4,1.0,0,56.302753041,"[44.0, 0.0]",-1.0,"[-9, 19]",0.983963756822,1,0.567422225373,1.0,1.0,44.0,21.0237960416,64.0,"[0.0, 0.0]",31
5,1.0,0,40.8166632639,"[132.0, 0.0]",-1.0,"[97, -21]",1.05135443527,1,0.567663482623,1.0,1.0,32.0,21.2132034356,64.0,"[100.0, 0.0]",30
6,1.0,0,42.7551166529,"[-32.0, 100.0]",0.0,"[10, 92]",0.851311351638,1,0.350572858239,1.0,1.0,-32.0,12.8062484749,64.0,"[0.0, 100.0]",29
7,1.0,0,48.8466989673,"[56.0, 100.0]",-1.0,"[101, 119]",0.983989294618,1,0.567145215347,1.0,1.0,-44.0,19.0262975904,64.0,"[100.0, 100.0]",28
8,,0,54.4058820349,"[44.0, -100.0]",-5.0,"[0, -132]",1.76842042338,5,0.350449675927,1.0,-5.0,44.0,32.0,64.0,"[0.0, -100.0]",27
9,1.0,0,56.0892146495,"[68.0, 100.0]",0.0,"[123, 89]",1.03451450216,1,0.334658595501,1.0,1.0,-32.0,25.495097568,64.0,"[100.0, 100.0]",26
10,1.0,0,70.1141925718,"[-44.0, 0.0]",0.0,"[26, -4]",0.817228288157,1,0.316750580911,1.0,1.0,-44.0,26.3058928759,64.0,"[0.0, 0.0]",25
11,-2.0,0,62.2414652784,"[132.0, 0.0]",0.0,"[75, 25]",0.767733906861,4,0.350867294008,1.0,0.0,32.0,35.3553390593,64.0,"[100.0, 0.0]",24
12,1.0,0,57.0788927713,"[144.0, -100.0]",0.0,"[87, -103]",1.60159632354,1,0.300610984676,1.0,1.0,44.0,13.3416640641,64.0,"[100.0, -100.0]",23
13,0.0,0,29.0172362571,"[44.0, 100.0]",-5.0,"[15, 99]",0.867115350906,3,0.400161879603,1.0,-4.0,44.0,15.0332963784,64.0,"[0.0, 100.0]",22
14,-2.0,0,68.249542123,"[-44.0, 100.0]",-1.0,"[9, 57]",2.80266091973,4,0.350002313498,1.0,0.0,-44.0,43.931765273,64.0,"[0.0, 100.0]",21
15,1.0,0,38.8973006776,"[-68.0, 100.0]",-5.0,"[-105, 112]",0.833321916405,1,0.300888295053,1.0,1.0,32.0,13.0,64.0,"[-100.0, 100.0]",20
16,1.0,0,55.0090901579,"[-132.0, -100.0]",-5.0,"[-77, -99]",0.901234467747,1,0.333865120774,1.0,1.0,-32.0,23.0217288664,64.0,"[-100.0, -100.0]",19
17,1.0,0,51.7880295049,"[-132.0, 100.0]",-1.0,"[-81, 91]",0.93389822985,1,0.349705173401,1.0,1.0,-32.0,21.0237960416,64.0,"[-100.0, 100.0]",18
18,1.0,0,58.0344725142,"[-56.0, -100.0]",-1.0,"[-114, -98]",0.834875516826,1,0.366649361094,1.0,1.0,44.0,14.1421356237,64.0,"[-100.0, -100.0]",17
19,-2.0,0,68.066144301,"[32.0, -100.0]",-1.0,"[-36, -97]",0.718560400652,4,0.284191373736,1.0,0.0,32.0,36.1247837364,64.0,"[0.0, -100.0]",16
20,-2.0,0,76.6550715869,"[-44.0, 100.0]",-5.0,"[30, 120]",0.784146907972,4,0.317361685913,1.0,0.0,-44.0,36.0555127546,64.0,"[0.0, 100.0]",15
21,1.0,0,50.1597448159,"[-132.0, -100.0]",0.0,"[-82, -104]",0.867364720209,1,0.300767816836,1.0,1.0,-32.0,18.4390889146,64.0,"[-100.0, -100.0]",14
22,1.0,0,54.3323108288,"[56.0, 100.0]",0.0,"[110, 106]",0.71737214108,1,0.266606938327,1.0,1.0,-44.0,11.6619037897,64.0,"[100.0, 100.0]",13
23,1.0,0,49.4974746831,"[132.0, -100.0]",-5.0,"[83, -107]",0.834223851794,1,0.36746747233,1.0,1.0,32.0,18.3847763109,64.0,"[100.0, -100.0]",12
24,1.0,0,51.4198405287,"[-144.0, 0.0]",-1.0,"[-94, 12]",0.751425160095,1,0.300366722979,1.0,1.0,-44.0,13.416407865,64.0,"[-100.0, 0.0]",11
25,1.0,0,46.0434577329,"[32.0, 0.0]",0.0,"[-14, -2]",0.88461896684,1,0.46717429813,1.0,1.0,32.0,14.1421356237,64.0,"[0.0, 0.0]",10
26,1.0,0,50.2891638427,"[-132.0, 0.0]",-5.0,"[-84, 15]",0.801067360444,1,0.35070595541,1.0,1.0,-32.0,21.9317121995,64.0,"[-100.0, 0.0]",9
27,1.0,0,48.2700735446,"[-32.0, 0.0]",-1.0,"[15, 11]",1.13540207618,1,0.667752173729,1.0,1.0,-32.0,18.6010752377,64.0,"[0.0, 0.0]",8
28,1.0,0,61.8465843843,"[-144.0, -100.0]",-5.0,"[-87, -76]",0.734231903683,1,0.267422646051,1.0,1.0,-44.0,27.2946881279,64.0,"[-100.0, -100.0]",7
29,1.0,0,65.9696900099,"[-56.0, 100.0]",-5.0,"[-120, 116]",0.818182501011,1,0.350299753947,1.0,1.0,44.0,25.6124969497,64.0,"[-100.0, 100.0]",6
30,1.0,0,67.052218457,"[144.0, 0.0]",-1.0,"[80, -20]",0.700826343615,1,0.283699846128,1.0,1.0,44.0,28.2842712475,64.0,"[100.0, 0.0]",5
31,1.0,0,49.0102030194,"[44.0, -100.0]",0.0,"[-5, -99]",0.734250531299,1,0.30042350688,1.0,1.0,44.0,5.09901951359,64.0,"[0.0, -100.0]",4
32,1.0,0,38.2099463491,"[32.0, -100.0]",-1.0,"[-6, -104]",0.717615802074,1,0.333506690105,1.0,1.0,32.0,7.21110255093,64.0,"[0.0, -100.0]",3
33,1.0,0,57.4891294072,"[-32.0, 0.0]",-5.0,"[24, 13]",0.683181218104,1,0.299548611743,1.0,1.0,-32.0,27.2946881279,64.0,"[0.0, 0.0]",2
34,1.0,0,45.8039299624,"[68.0, -100.0]",-1.0,"[105, -73]",0.717851050431,1,0.317302197684,1.0,1.0,-32.0,27.4590604355,64.0,"[100.0, -100.0]",1
35,1.0,0,44.3846820423,"[56.0, 100.0]",-5.0,"[97, 83]",0.751180597814,1,0.30048089195,1.0,1.0,-44.0,17.2626765016,64.0,"[100.0, 100.0]",0
36,1.0,1,55.0272659688,"[32.0, 100.0]",0.0,"[-20, 82]",0.88526702649,1,0.334118395811,1.0,1.0,32.0,26.9072480941,64.0,"[0.0, 100.0]",35
37,1.0,1,39.0512483795,"[132.0, 0.0]",-5.0,"[94, 9]",0.684800014831,1,0.284071496222,1.0,1.0,32.0,10.8166538264,64.0,"[100.0, 0.0]",34
38,-2.0,1,64.0780773744,"[-32.0, -100.0]",-5.0,"[27, -75]",0.784347004257,4,0.351225724909,1.0,0.0,-32.0,36.7967389859,64.0,"[0.0, -100.0]",33
