,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
0,,0,,"[132.0, -100.0]",-5.0,,,5,1.0,-7.0,32.0,,64.0,"[100.0, -100.0]",35
1,,0,,"[-32.0, 0.0]",-5.0,,,5,1.0,-7.0,-32.0,,64.0,"[0.0, 0.0]",34
2,1.0,0,50.4479930225,"[-44.0, -100.0]",0.0,"[5, -88]",0.667369106668,1,1.0,1.0,-44.0,13.0,64.0,"[0.0, -100.0]",33
3,,0,,"[-56.0, 0.0]",0.0,,,5,1.0,-7.0,44.0,,64.0,"[-100.0, 0.0]",32
4,1.0,0,33.0151480384,"[68.0, -100.0]",-1.0,"[95, -119]",0.734151985496,1,1.0,1.0,-32.0,19.6468827044,64.0,"[100.0, -100.0]",31
5,1.0,0,53.2353266168,"[56.0, 100.0]",-5.0,"[109, 95]",0.684184403392,1,1.0,1.0,-44.0,10.295630141,64.0,"[100.0, 100.0]",30
6,,0,,"[-68.0, 100.0]",0.0,,,5,1.0,-7.0,32.0,,64.0,"[-100.0, 100.0]",29
7,1.0,0,45.3100430368,"[132.0, 0.0]",-1.0,"[90, -17]",0.699992008158,1,1.0,1.0,32.0,19.7230829233,64.0,"[100.0, 0.0]",28
8,1.0,0,48.7647413609,"[-32.0, 100.0]",0.0,"[15, 113]",0.750731733395,1,1.0,1.0,-32.0,19.8494332413,64.0,"[0.0, 100.0]",27
9,1.0,0,61.3921819127,"[56.0, 100.0]",-1.0,"[116, 113]",0.70047091716,1,1.0,1.0,-44.0,20.6155281281,64.0,"[100.0, 100.0]",26
10,1.0,0,56.7538544947,"[44.0, -100.0]",-5.0,"[-11, -86]",0.717349307379,1,1.0,1.0,44.0,17.8044938148,64.0,"[0.0, -100.0]",25
11,-2.0,0,63.0634601017,"[68.0, 100.0]",0.0,"[129, 116]",0.650479600066,4,1.0,0.0,-32.0,33.1209903234,64.0,"[100.0, 100.0]",24
12,1.0,0,54.918120871,"[-44.0, 0.0]",0.0,"[10, 10]",0.767829448334,1,1.0,1.0,-44.0,14.1421356237,64.0,"[0.0, 0.0]",23
13,1.0,0,56.5154846038,"[132.0, 0.0]",0.0,"[77, -13]",0.733917938895,1,1.0,1.0,32.0,26.4196896272,64.0,"[100.0, 0.0]",22
14,,0,,"[144.0, -100.0]",0.0,,,5,1.0,-7.0,44.0,,64.0,"[100.0, -100.0]",21
15,,0,,"[44.0, 100.0]",-5.0,,,5,1.0,-7.0,44.0,,64.0,"[0.0, 100.0]",20
16,1.0,0,53.8516480713,"[-44.0, 100.0]",-1.0,"[8, 114]",0.717386262026,1,1.0,1.0,-44.0,16.1245154966,64.0,"[0.0, 100.0]",19
17,1.0,0,48.3735464898,"[-68.0, 100.0]",-5.0,"[-116, 106]",0.684206335922,1,1.0,1.0,32.0,17.0880074906,64.0,"[-100.0, 100.0]",18
18,,0,,"[-132.0, -100.0]",-5.0,,,5,1.0,-7.0,-32.0,,64.0,"[-100.0, -100.0]",17
19,1.0,0,39.6232255123,"[-132.0, 100.0]",-1.0,"[-93, 93]",0.785080390051,1,1.0,1.0,-32.0,9.89949493661,64.0,"[-100.0, 100.0]",16
20,-2.0,0,38.2099463491,"[-56.0, -100.0]",-1.0,"[-82, -72]",0.735041302047,4,1.0,0.0,44.0,33.2866339542,64.0,"[-100.0, -100.0]",15
21,1.0,0,57.9741321625,"[32.0, -100.0]",-1.0,"[-24, -85]",0.800496815587,1,1.0,1.0,32.0,28.3019433962,64.0,"[0.0, -100.0]",14
22,1.0,0,54.1479454827,"[-44.0, 100.0]",-5.0,"[10, 104]",0.633964147302,1,1.0,1.0,-44.0,10.7703296143,64.0,"[0.0, 100.0]",13
23,1.0,0,42.0475920833,"[-132.0, -100.0]",0.0,"[-94, -82]",0.701417018077,1,1.0,1.0,-32.0,18.973665961,64.0,"[-100.0, -100.0]",12
24,1.0,0,51.0881590978,"[56.0, 100.0]",0.0,"[107, 103]",0.800385951414,1,1.0,1.0,-44.0,7.61577310586,64.0,"[100.0, 100.0]",11
25,,0,,"[132.0, -100.0]",-5.0,,,5,1.0,-7.0,32.0,,64.0,"[100.0, -100.0]",10
26,1.0,0,60.6712452485,"[-144.0, 0.0]",-1.0,"[-84, -9]",0.750767786754,1,1.0,1.0,-44.0,18.3575597507,64.0,"[-100.0, 0.0]",9
27,,0,,"[32.0, 0.0]",0.0,,,5,1.0,-7.0,32.0,,64.0,"[0.0, 0.0]",8
28,1.0,0,49.4772675074,"[-132.0, 0.0]",-5.0,"[-84, 12]",0.732886812184,1,1.0,1.0,-32.0,20.0,64.0,"[-100.0, 0.0]",7
29,1.0,0,47.2652091924,"[-32.0, 0.0]",-1.0,"[15, 5]",0.767378480639,1,1.0,1.0,-32.0,15.8113883008,64.0,"[0.0, 0.0]",6
30,1.0,0,66.0681466366,"[-144.0, -100.0]",-5.0,"[-78, -97]",0.800333073246,1,1.0,1.0,-44.0,22.2036033112,64.0,"[-100.0, -100.0]",5
31,1.0,0,49.1629942131,"[-56.0, 100.0]",-5.0,"[-105, 104]",0.683931729291,1,1.0,1.0,44.0,6.40312423743,64.0,"[-100.0, 100.0]",4
32,1.0,0,54.8178802947,"[144.0, 0.0]",-1.0,"[91, -14]",0.683188729337,1,1.0,1.0,44.0,16.6433169771,64.0,"[100.0, 0.0]",3
33,1.0,0,46.4865571967,"[44.0, -100.0]",0.0,"[0, -85]",0.684026069008,1,1.0,1.0,44.0,15.0,64.0,"[0.0, -100.0]",2
34,1.0,0,35.4400902933,"[32.0, -100.0]",-1.0,"[-2, -90]",0.666547089582,1,1.0,1.0,32.0,10.1980390272,64.0,"[0.0, -100.0]",1
35,1.0,0,50.6359556047,"[44.0, 0.0]",-1.0,"[-6, -8]",0.66666336183,1,1.0,1.0,44.0,10.0,64.0,"[0.0, 0.0]",0
36,1.0,1,34.5398320783,"[32.0, 100.0]",0.0,"[0, 113]",0.667261547525,1,1.0,1.0,32.0,13.0,64.0,"[0.0, 100.0]",35
37,1.0,1,33.8378486314,"[132.0, 0.0]",-5.0,"[100, -11]",0.785283791251,1,1.0,1.0,32.0,11.0,64.0,"[100.0, 0.0]",34
38,0.0,1,28.1602556807,"[-32.0, -100.0]",-5.0,"[-5, -92]",0.78426468221,3,1.0,-4.0,-32.0,9.43398113206,64.0,"[0.0, -100.0]",33
39,,1,,"[-144.0, 100.0]",-1.0,,,5,1.0,-7.0,-44.0,,64.0,"[-100.0, 100.0]",32
40,1.0,1,48.2597140481,"[-144.0, 0.0]",0.0,"[-96, 5]",0.750635891454,1,1.0,1.0,-44.0,6.40312423743,64.0,"[-100.0, 0.0]",31
41,1.0,1,66.0302960769,"[144.0, 100.0]",-5.0,"[78, 98]",0.75119562028,1,1.0,1.0,44.0,22.0907220344,64.0,"[100.0, 100.0]",30
42,1.0,1,57.3149195236,"[-68.0, 0.0]",-1.0,"[-125, 6]",0.749731252086,1,1.0,1.0,32.0,25.7099202644,64.0,"[-100.0, 0.0]",29
43,1.0,1,59.4138031101,"[-44.0, 0.0]",-5.0,"[15, -7]",0.866824520403,1,1.0,1.0,-44.0,16.5529453572,64.0,"[0.0, 0.0]",28
44,1.0,1,41.4366987102,"[-132.0, 100.0]",0.0,"[-93, 114]",0.849726504995,1,1.0,1.0,-32.0,15.6524758425,64.0,"[-100.0, 100.0]",27
45,1.0,1,40.5215991787,"[144.0, 100.0]",-1.0,"[105, 111]",0.868131154915,1,1.0,1.0,44.0,12.0830459736,64.0,"[100.0, 100.0]",26
46,1.0,1,48.5077313425,"[-144.0, -100.0]",0.0,"[-97, -88]",0.884094390203,1,1.0,1.0,-44.0,12.3693168769,64.0,"[-100.0, -100.0]",25
47,,1,,"[-144.0, -100.0]",-5.0,,,5,1.0,-7.0,-44.0,,64.0,"[-100.0, -100.0]",24
48,1.0,1,46.6904701197,"[-132.0, -100.0]",-1.0,"[-86, -92]",0.750571295852,1,1.0,1.0,-32.0,16.1245154966,64.0,"[-100.0, -100.0]",23
49,,1,,"[-132.0, 100.0]",-5.0,,,5,1.0,-7.0,-32.0,,64.0,"[-100.0, 100.0]",22
50,-2.0,1,65.4599113962,"[132.0, -100.0]",0.0,"[70, -79]",0.666687697871,4,1.0,0.0,32.0,36.6196668472,64.0,"[100.0, -100.0]",21
51,0.0,1,27.0185121722,"[-132.0, -100.0]",0.0,"[-105, -99]",0.78351927863,3,1.0,1.0,-32.0,5.09901951359,64.0,"[-100.0, -100.0]",20
52,,1,,"[-56.0, 0.0]",0.0,,,5,1.0,-7.0,44.0,,64.0,"[-100.0, 0.0]",19
53,1.0,1,57.3061951276,"[44.0, 0.0]",-5.0,"[-6, 28]",0.684006840573,1,1.0,1.0,44.0,28.6356421266,64.0,"[0.0, 0.0]",18
54,1.0,1,55.3172667438,"[-68.0, -100.0]",-1.0,"[-122, -112]",0.700925490237,1,1.0,1.0,32.0,25.0599281723,64.0,"[-100.0, -100.0]",17
55,1.0,1,41.0487515035,"[-44.0, 100.0]",-1.0,"[-3, 98]",0.767540119821,1,1.0,1.0,-44.0,3.60555127546,64.0,"[0.0, 100.0]",16
56,1.0,1,39.3192065027,"[32.0, 100.0]",-5.0,"[-7, 105]",0.683224482229,1,1.0,1.0,32.0,8.60232526704,64.0,"[0.0, 100.0]",15
57,,1,,"[144.0, -100.0]",-1.0,,,5,1.0,-7.0,44.0,,64.0,"[100.0, -100.0]",14
58,,1,,"[132.0, 100.0]",0.0,,,5,1.0,-7.0,32.0,,64.0,"[100.0, 100.0]",13
59,1.0,1,49.0102030194,"[-132.0, 100.0]",-1.0,"[-83, 99]",0.768335998291,1,1.0,1.0,-32.0,17.0293863659,64.0,"[-100.0, 100.0]",12
60,-2.0,1,59.4810894319,"[68.0, 0.0]",0.0,"[121, 27]",0.750843198504,4,1.0,0.0,-32.0,34.205262753,64.0,"[100.0, 0.0]",11
61,1.0,1,48.4664832642,"[32.0, -100.0]",-5.0,"[-13, -82]",0.817068151082,1,1.0,1.0,32.0,22.2036033112,64.0,"[0.0, -100.0]",10
62,1.0,1,46.8187996429,"[44.0, 100.0]",0.0,"[0, 116]",0.766978889005,1,1.0,1.0,44.0,16.0,64.0,"[0.0, 100.0]",9
63,1.0,1,50.1597448159,"[56.0, 0.0]",-1.0,"[106, 4]",0.685144324671,1,1.0,1.0,-44.0,7.21110255093,64.0,"[100.0, 0.0]",8
64,,1,,"[56.0, -100.0]",0.0,,,5,1.0,-7.0,-44.0,,64.0,"[100.0, -100.0]",7
65,,1,,"[144.0, 100.0]",-5.0,,,5,1.0,-7.0,44.0,,64.0,"[100.0, 100.0]",6
66,-2.0,1,80.9506022214,"[56.0, -100.0]",-5.0,"[128, -63]",0.817740546656,4,1.0,0.0,-44.0,46.4004310325,64.0,"[100.0, -100.0]",5
67,1.0,1,49.9799959984,"[68.0, 0.0]",-5.0,"[115, -17]",0.833995213266,1,1.0,1.0,-32.0,22.6715680975,64.0,"[100.0, 0.0]",4
68,,1,,"[144.0, 0.0]",0.0,,,5,1.0,-7.0,44.0,,64.0,"[100.0, 0.0]",3
69,1.0,1,42.0594816896,"[-32.0, 100.0]",-1.0,"[8, 87]",0.917044776608,1,1.0,1.0,-32.0,15.2643375225,64.0,"[0.0, 100.0]",2
70,1.0,1,41.7731971484,"[-68.0, 0.0]",-1.0,"[-109, -8]",0.833399431198,1,1.0,1.0,32.0,12.0415945788,64.0,"[-100.0, 0.0]",1
71,-2.0,1,59.2030404625,"[44.0, -100.0]",-1.0,"[-3, -136]",0.750150973559,4,1.0,0.0,44.0,36.1247837364,64.0,"[0.0, -100.0]",0
72,1.0,2,53.712196008,"[-56.0, 0.0]",-5.0,"[-103, 26]",0.784002694418,1,1.0,1.0,44.0,26.1725046566,64.0,"[-100.0, 0.0]",35
73,1.0,2,54.7083174664,"[-44.0, -100.0]",-5.0,"[8, -83]",0.718512329273,1,1.0,1.0,-44.0,18.7882942281,64.0,"[0.0, -100.0]",34
74,,2,,"[-44.0, 0.0]",0.0,,,5,1.0,-7.0,-44.0,,64.0,"[0.0, 0.0]",33
75,1.0,2,45.3982378513,"[-132.0, 100.0]",0.0,"[-87, 106]",0.850989274681,1,1.0,1.0,-32.0,14.3178210633,64.0,"[-100.0, 100.0]",32
76,,2,,"[-44.0, 100.0]",-1.0,,,5,1.0,-7.0,-44.0,,64.0,"[0.0, 100.0]",31
77,,2,32.0,"[-32.0, 0.0]",-1.0,"[0, 0]",0.784702730947,5,1.0,-7.0,-32.0,0.0,64.0,"[0.0, 0.0]",30
78,,2,,"[-68.0, 100.0]",-1.0,,,5,1.0,-7.0,32.0,,64.0,"[-100.0, 100.0]",29
79,,2,,"[44.0, -100.0]",-1.0,,,5,1.0,-7.0,44.0,,64.0,"[0.0, -100.0]",28
80,1.0,2,41.0487515035,"[44.0, -100.0]",0.0,"[3, -102]",0.784634229494,1,1.0,1.0,44.0,3.60555127546,64.0,"[0.0, -100.0]",27
81,0.0,2,30.0665927567,"[-68.0, 100.0]",-5.0,"[-98, 98]",0.700423146482,3,1.0,-4.0,32.0,2.82842712475,64.0,"[-100.0, 100.0]",26
82,1.0,2,57.0788927713,"[-32.0, 0.0]",-5.0,"[25, 3]",0.784055572702,1,1.0,1.0,-32.0,25.179356624,64.0,"[0.0, 0.0]",25
83,1.0,2,54.2309874518,"[-68.0, 0.0]",0.0,"[-122, -5]",0.901963046519,1,1.0,1.0,32.0,22.5610283454,64.0,"[-100.0, 0.0]",24
84,,2,,"[-56.0, -100.0]",0.0,,,5,1.0,-7.0,44.0,,64.0,"[-100.0, -100.0]",23
85,1.0,2,41.7851648316,"[132.0, -100.0]",-5.0,"[93, -85]",0.683822667925,1,1.0,1.0,32.0,16.5529453572,64.0,"[100.0, -100.0]",22
86,1.0,2,56.8858506133,"[144.0, 0.0]",-1.0,"[88, 10]",0.650885501062,1,1.0,1.0,44.0,15.6204993518,64.0,"[100.0, 0.0]",21
87,1.0,2,41.0,"[-68.0, 0.0]",-1.0,"[-108, -9]",0.716765242629,1,1.0,1.0,32.0,12.0415945788,64.0,"[-100.0, 0.0]",20
88,,2,,"[-44.0, -100.0]",0.0,,,5,1.0,-7.0,-44.0,,64.0,"[0.0, -100.0]",19
89,1.0,2,35.2278299076,"[68.0, -100.0]",-1.0,"[97, -80]",0.734150483157,1,1.0,1.0,-32.0,20.2237484162,64.0,"[100.0, -100.0]",18
90,,2,,"[-132.0, 0.0]",-5.0,,,5,1.0,-7.0,-32.0,,64.0,"[-100.0, 0.0]",17
91,-2.0,2,72.6154253585,"[-144.0, -100.0]",-5.0,"[-77, -72]",0.734048932791,4,1.0,0.0,-44.0,36.235341864,64.0,"[-100.0, -100.0]",16
92,,2,,"[-144.0, -100.0]",-1.0,,,5,1.0,-7.0,-44.0,,64.0,"[-100.0, -100.0]",15
93,1.0,2,35.1710107901,"[132.0, 100.0]",0.0,"[98, 91]",0.866797780851,1,1.0,1.0,32.0,9.21954445729,64.0,"[100.0, 100.0]",14
94,1.0,2,37.0,"[68.0, 0.0]",0.0,"[105, 0]",0.867731563398,1,1.0,1.0,-32.0,5.0,64.0,"[100.0, 0.0]",13
95,1.0,2,60.5309838017,"[144.0, 0.0]",-5.0,"[84, 8]",0.800773825729,1,1.0,1.0,44.0,17.88854382,64.0,"[100.0, 0.0]",12
96,0.0,2,28.6530975638,"[68.0, 100.0]",-5.0,"[93, 86]",0.834917578963,3,1.0,-4.0,-32.0,15.6524758425,64.0,"[100.0, 100.0]",11
97,1.0,2,61.3269924258,"[-44.0, 100.0]",0.0,"[12, 75]",0.701045367867,1,1.0,1.0,-44.0,27.7308492477,64.0,"[0.0, 100.0]",10
98,1.0,2,50.1597448159,"[-56.0, -100.0]",-5.0,"[-102, -80]",0.783929085359,1,1.0,1.0,44.0,20.0997512422,64.0,"[-100.0, -100.0]",9
99,1.0,2,37.1214223865,"[-68.0, 100.0]",0.0,"[-105, 103]",0.834426652058,1,1.0,1.0,32.0,5.83095189485,64.0,"[-100.0, 100.0]",8
100,1.0,2,54.4518135602,"[56.0, 100.0]",-1.0,"[110, 107]",0.834671214223,1,1.0,1.0,-44.0,12.2065556157,64.0,"[100.0, 100.0]",7
101,1.0,2,55.9016994375,"[44.0, 0.0]",-1.0,"[-11, 10]",0.651253245538,1,1.0,1.0,44.0,14.8660687473,64.0,"[0.0, 0.0]",6
102,1.0,2,53.600373133,"[-44.0, 100.0]",-5.0,"[8, 87]",0.801120839431,1,1.0,1.0,-44.0,15.2643375225,64.0,"[0.0, 100.0]",5
103,1.0,2,54.7448627727,"[132.0, -100.0]",-5.0,"[78, -91]",0.833218563464,1,1.0,1.0,32.0,23.769728648,64.0,"[100.0, -100.0]",4
104,1.0,2,46.872166581,"[68.0, 100.0]",-1.0,"[114, 91]",0.834146337118,1,1.0,1.0,-32.0,16.6433169771,64.0,"[100.0, 100.0]",3
105,1.0,2,53.3666562565,"[44.0, 0.0]",0.0,"[-8, 12]",0.801169511629,1,1.0,1.0,44.0,14.4222051019,64.0,"[0.0, 0.0]",2
106,1.0,2,49.040799341,"[32.0, -100.0]",-1.0,"[-14, -83]",0.850993781351,1,1.0,1.0,32.0,22.0227155455,64.0,"[0.0, -100.0]",1
107,,2,,"[68.0, -100.0]",0.0,,,5,1.0,-7.0,-32.0,,64.0,"[100.0, -100.0]",0
108,1.0,3,54.0370243444,"[-56.0, 100.0]",-5.0,"[-110, 98]",0.752085537883,1,1.0,1.0,44.0,10.1980390272,64.0,"[-100.0, 100.0]",35
109,1.0,3,47.0106370942,"[-144.0, 100.0]",0.0,"[-97, 101]",0.717268187203,1,1.0,1.0,-44.0,3.16227766017,64.0,"[-100.0, 100.0]",34
110,,3,,"[32.0, 0.0]",-5.0,,,5,1.0,-7.0,32.0,,64.0,"[0.0, 0.0]",33
111,,3,,"[68.0, 100.0]",-5.0,,,5,1.0,-7.0,-32.0,,64.0,"[100.0, 100.0]",32
112,1.0,3,35.8468966579,"[-68.0, 100.0]",-1.0,"[-101, 114]",0.650926061091,1,1.0,1.0,32.0,14.0356688476,64.0,"[-100.0, 100.0]",31
113,-2.0,3,56.0802995712,"[-132.0, 0.0]",-1.0,"[-84, 29]",0.667869046913,4,1.0,0.0,-32.0,33.1209903234,64.0,"[-100.0, 0.0]",30
114,1.0,3,46.0977222865,"[132.0, -100.0]",0.0,"[87, -110]",0.733597063809,1,1.0,1.0,32.0,16.4012194669,64.0,"[100.0, -100.0]",29
115,1.0,3,51.0392006207,"[-32.0, -100.0]",0.0,"[19, -102]",0.68394224497,1,1.0,1.0,-32.0,19.1049731745,64.0,"[0.0, -100.0]",28
116,1.0,3,55.2268050859,"[-144.0, 0.0]",-5.0,"[-97, -29]",0.584461954422,1,1.0,1.0,-44.0,29.1547594742,64.0,"[-100.0, 0.0]",27
117,-2.0,3,47.3814309619,"[-44.0, 100.0]",-1.0,"[-11, 66]",0.734451528988,4,1.0,0.0,-44.0,35.7351367704,64.0,"[0.0, 100.0]",26
118,1.0,3,64.0312423743,"[144.0, -100.0]",-1.0,"[80, -102]",0.702087610844,1,1.0,1.0,44.0,20.0997512422,64.0,"[100.0, -100.0]",25
119,1.0,3,56.2227711875,"[-144.0, -100.0]",-1.0,"[-88, -95]",0.617192114587,1,1.0,1.0,-44.0,13.0,64.0,"[-100.0, -100.0]",24
120,1.0,3,57.9827560573,"[-56.0, -100.0]",0.0,"[-105, -131]",0.683792623342,1,1.0,1.0,44.0,31.4006369362,64.0,"[-100.0, -100.0]",23
121,1.0,3,32.5576411922,"[68.0, 0.0]",-1.0,"[100, 6]",0.600816669175,1,1.0,1.0,-32.0,6.0,64.0,"[100.0, 0.0]",22
122,1.0,3,66.0302960769,"[44.0, 0.0]",-5.0,"[-22, 2]",0.666881484678,1,1.0,1.0,44.0,22.0907220344,64.0,"[0.0, 0.0]",21
123,1.0,3,38.0788655293,"[132.0, 100.0]",0.0,"[95, 91]",0.750177412643,1,1.0,1.0,32.0,10.295630141,64.0,"[100.0, 100.0]",20
124,,3,,"[-132.0, 100.0]",-5.0,,,5,1.0,-7.0,-32.0,,64.0,"[-100.0, 100.0]",19
125,1.0,3,34.885527085,"[32.0, 0.0]",-1.0,"[1, 16]",0.80059686373,1,1.0,1.0,32.0,16.0312195419,64.0,"[0.0, 0.0]",18
126,,3,,"[-44.0, 100.0]",0.0,,,5,1.0,-7.0,-44.0,,64.0,"[0.0, 100.0]",17
127,1.0,3,55.3263047745,"[56.0, -100.0]",-5.0,"[111, -106]",0.685326093808,1,1.0,1.0,-44.0,12.5299640861,64.0,"[100.0, -100.0]",16
128,1.0,3,42.0594816896,"[32.0, -100.0]",-5.0,"[-8, -113]",0.533696090453,1,1.0,1.0,32.0,15.2643375225,64.0,"[0.0, -100.0]",15
129,-2.0,3,66.1211010193,"[-32.0, -100.0]",0.0,"[34, -104]",0.68385541637,4,1.0,0.0,-32.0,34.2344855372,64.0,"[0.0, -100.0]",14
130,-2.0,3,72.124891681,"[-132.0, -100.0]",-1.0,"[-63, -79]",0.667547571007,4,1.0,0.0,-32.0,42.5440947724,64.0,"[-100.0, -100.0]",13
131,1.0,3,58.1893461039,"[-68.0, 100.0]",-1.0,"[-123, 119]",0.717569833854,1,1.0,1.0,32.0,29.8328677804,64.0,"[-100.0, 100.0]",12
132,1.0,3,57.008771255,"[-44.0, 100.0]",-1.0,"[13, 101]",0.717579147662,1,1.0,1.0,-44.0,13.0384048104,64.0,"[0.0, 100.0]",11
133,,3,,"[-56.0, 0.0]",-5.0,,,5,1.0,-7.0,44.0,,64.0,"[-100.0, 0.0]",10
