,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
226,1.0,6,72.5672102261,"[-144.0, -100.0]",-1.0,"[-73, -85]",0.733558306427,1,1.0,1.0,-44.0,30.886890423,64.0,"[-100.0, -100.0]",25
227,1.0,6,54.918120871,"[144.0, 0.0]",0.0,"[90, 10]",0.817602342027,1,1.0,1.0,44.0,14.1421356237,64.0,"[100.0, 0.0]",24
228,1.0,6,42.7551166529,"[-132.0, 100.0]",0.0,"[-90, 92]",0.767851981644,1,1.0,1.0,-32.0,12.8062484749,64.0,"[-100.0, 100.0]",23
229,1.0,6,48.5077313425,"[-44.0, 100.0]",-5.0,"[4, 107]",0.783656581934,1,1.0,1.0,-44.0,8.0622577483,64.0,"[0.0, 100.0]",22
230,1.0,6,44.9221548904,"[44.0, 100.0]",-15.0,"[1, 87]",0.80165442955,1,3.0,3.0,44.0,13.0384048104,64.0,"[0.0, 100.0]",21
231,1.0,6,43.5660418216,"[32.0, 0.0]",-3.0,"[-11, 7]",0.83468683733,1,3.0,3.0,32.0,13.0384048104,64.0,"[0.0, 0.0]",20
232,1.0,6,46.1735855225,"[132.0, -100.0]",-5.0,"[86, -96]",0.750843799331,1,1.0,1.0,32.0,14.5602197786,64.0,"[100.0, -100.0]",19
233,1.0,6,69.2314957227,"[144.0, 100.0]",-5.0,"[76, 113]",0.867611986308,1,1.0,1.0,44.0,27.2946881279,64.0,"[100.0, 100.0]",18
234,1.0,6,49.040799341,"[-32.0, 100.0]",-1.0,"[15, 86]",0.801110023498,1,1.0,1.0,-32.0,20.5182845287,64.0,"[0.0, 100.0]",17
235,1.0,6,32.9848450049,"[-144.0, -100.0]",-1.0,"[-112, -92]",0.750553269168,1,1.0,1.0,-44.0,14.4222051019,64.0,"[-100.0, -100.0]",16
236,1.0,6,44.9444101085,"[-132.0, 100.0]",-5.0,"[-90, 84]",0.75140142495,1,1.0,1.0,-32.0,18.8679622641,64.0,"[-100.0, 100.0]",15
237,1.0,6,38.6005181312,"[-68.0, 0.0]",-3.0,"[-105, 11]",0.784785653639,1,3.0,3.0,32.0,12.0830459736,64.0,"[-100.0, 0.0]",14
238,1.0,6,65.306967469,"[56.0, -100.0]",0.0,"[120, -87]",0.734373413274,1,1.0,1.0,-44.0,23.8537208838,64.0,"[100.0, -100.0]",13
239,1.0,6,48.3735464898,"[-56.0, -100.0]",-15.0,"[-104, -94]",0.800479690231,1,3.0,3.0,44.0,7.21110255093,64.0,"[-100.0, -100.0]",12
240,-2.0,6,65.0,"[32.0, 100.0]",-3.0,"[-33, 100]",0.801029203842,4,3.0,0.0,32.0,33.0,64.0,"[0.0, 100.0]",11
241,1.0,6,55.1089829338,"[-144.0, -100.0]",-5.0,"[-90, -89]",0.783818521704,1,1.0,1.0,-44.0,14.8660687473,64.0,"[-100.0, -100.0]",10
242,1.0,6,53.600373133,"[32.0, -100.0]",-5.0,"[-21, -92]",0.835302148364,1,1.0,1.0,32.0,22.4722050542,64.0,"[0.0, -100.0]",9
243,,6,,"[44.0, 0.0]",-5.0,,,5,1.0,-7.0,44.0,,64.0,"[0.0, 0.0]",8
244,1.0,6,44.3846820423,"[-56.0, 0.0]",-1.0,"[-99, -11]",0.751438980555,1,1.0,1.0,44.0,11.0453610172,64.0,"[-100.0, 0.0]",7
245,-2.0,6,57.697486947,"[68.0, 0.0]",-1.0,"[120, 25]",0.81650211303,4,1.0,0.0,-32.0,32.0156211872,64.0,"[100.0, 0.0]",6
