,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,releaseTime,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
0,1,0,47.0106370942,"[132.0, -100.0]",-5.0,"[85, -99]",1.1007953377,1,0.384027090622,1.0,1.0,32.0,15.0332963784,64.0,"[100.0, -100.0]",35
1,1,0,49.2544414241,"[-32.0, 0.0]",-5.0,"[17, -5]",0.950958088506,1,0.333910788177,1.0,1.0,-32.0,17.7200451467,64.0,"[0.0, 0.0]",34
2,1,0,62.1771662268,"[-56.0, 0.0]",0.0,"[-111, 29]",1.08402721072,1,0.467634880217,1.0,1.0,44.0,31.0161248385,64.0,"[-100.0, 0.0]",33
3,1,0,50.6951674225,"[56.0, 100.0]",-5.0,"[105, 113]",4.78750497987,1,0.400948143797,1.0,1.0,-44.0,13.9283882772,64.0,"[100.0, 100.0]",32
4,1,0,52.1536192416,"[-68.0, 100.0]",0.0,"[-120, 104]",0.901254297001,1,0.367295617936,1.0,1.0,32.0,20.3960780544,64.0,"[-100.0, 100.0]",31
5,1,0,47.1699056603,"[44.0, 0.0]",-1.0,"[-3, -4]",0.950372822117,1,0.467174598714,1.0,1.0,44.0,5.0,64.0,"[0.0, 0.0]",30
6,1,0,56.0802995712,"[132.0, 0.0]",-1.0,"[76, -3]",0.918590865564,1,0.40029227268,1.0,1.0,32.0,24.1867732449,64.0,"[100.0, 0.0]",29
7,-2,0,64.0078120232,"[-32.0, 100.0]",0.0,"[24, 131]",2.00183061045,4,0.417148730485,1.0,0.0,-32.0,39.2045915678,64.0,"[0.0, 100.0]",28
8,1,0,55.3263047745,"[56.0, 100.0]",-1.0,"[111, 94]",0.884036704665,1,0.384981303243,1.0,1.0,-44.0,12.5299640861,64.0,"[100.0, 100.0]",27
9,1,0,60.415229868,"[44.0, -100.0]",-5.0,"[-15, -87]",0.967147558695,1,0.451063544722,1.0,1.0,44.0,19.8494332413,64.0,"[0.0, -100.0]",26
10,1,0,49.2544414241,"[68.0, 100.0]",0.0,"[117, 105]",0.817131244577,1,0.316717231646,1.0,1.0,-32.0,17.7200451467,64.0,"[100.0, 100.0]",25
11,1,0,51.1566222497,"[-44.0, 0.0]",0.0,"[7, 4]",0.917365651578,1,0.367116853362,1.0,1.0,-44.0,8.0622577483,64.0,"[0.0, 0.0]",24
12,1,0,56.7186036499,"[132.0, 0.0]",0.0,"[76, 9]",0.951145866653,1,0.400362576824,1.0,1.0,32.0,25.632011236,64.0,"[100.0, 0.0]",23
13,1,0,54.1479454827,"[144.0, -100.0]",0.0,"[90, -104]",0.917012929218,1,0.399704001611,1.0,1.0,44.0,10.7703296143,64.0,"[100.0, -100.0]",22
14,1,0,64.0780773744,"[44.0, 100.0]",-5.0,"[-15, 125]",0.933685815195,1,0.433098745998,1.0,1.0,44.0,29.1547594742,64.0,"[0.0, 100.0]",21
15,1,0,61.0327780787,"[-44.0, 100.0]",-1.0,"[17, 102]",1.91796624078,1,0.367546188878,1.0,1.0,-44.0,17.1172427686,64.0,"[0.0, 100.0]",20
16,1,0,43.1740662898,"[-68.0, 100.0]",-5.0,"[-110, 110]",0.917859883513,1,0.40037549613,1.0,1.0,32.0,14.1421356237,64.0,"[-100.0, 100.0]",19
17,1,0,36.4005494464,"[-132.0, -100.0]",-5.0,"[-97, -90]",0.900684353197,1,0.400612547062,1.0,1.0,-32.0,10.4403065089,64.0,"[-100.0, -100.0]",18
18,1,0,43.382023927,"[-132.0, 100.0]",-1.0,"[-93, 119]",0.968009534758,1,0.483546739211,1.0,1.0,-32.0,20.2484567313,64.0,"[-100.0, 100.0]",17
19,1,0,54.1202365109,"[-56.0, -100.0]",-1.0,"[-104, -75]",0.901152145816,1,0.40032261773,1.0,1.0,44.0,25.3179778023,64.0,"[-100.0, -100.0]",16
20,1,0,46.0108682813,"[32.0, -100.0]",-1.0,"[-14, -101]",0.967300485121,1,0.416422855575,1.0,1.0,32.0,14.0356688476,64.0,"[0.0, -100.0]",15
21,1,0,45.8802789878,"[-44.0, 100.0]",-5.0,"[0, 113]",0.85109172645,1,0.36801999039,1.0,1.0,-44.0,13.0,64.0,"[0.0, 100.0]",14
22,1,0,45.0,"[-132.0, -100.0]",0.0,"[-87, -100]",0.934231723426,1,0.416986189783,1.0,1.0,-32.0,13.0,64.0,"[-100.0, -100.0]",13
23,1,0,55.0090901579,"[56.0, 100.0]",0.0,"[111, 99]",0.800777431112,1,0.300189160043,1.0,1.0,-44.0,11.0453610172,64.0,"[100.0, 100.0]",12
24,1,0,59.6824932455,"[132.0, -100.0]",-5.0,"[73, -91]",0.850416627014,1,0.332634198247,1.0,1.0,32.0,28.4604989415,64.0,"[100.0, -100.0]",11
25,1,0,57.2712842531,"[-144.0, 0.0]",-1.0,"[-88, 12]",0.884545057314,1,0.317074160092,1.0,1.0,-44.0,16.9705627485,64.0,"[-100.0, 0.0]",10
26,1,0,50.0,"[32.0, 0.0]",0.0,"[-18, 0]",0.851366633317,1,0.350501352223,1.0,1.0,32.0,18.0,64.0,"[0.0, 0.0]",9
27,1,0,39.4081209905,"[-132.0, 0.0]",-5.0,"[-100, 23]",0.850437958492,1,0.316434813431,1.0,1.0,-32.0,23.0,64.0,"[-100.0, 0.0]",8
28,1,0,38.0788655293,"[-32.0, 0.0]",-1.0,"[5, 9]",0.885255309055,1,0.350843559019,1.0,1.0,-32.0,10.295630141,64.0,"[0.0, 0.0]",7
29,1,0,62.0322496771,"[-144.0, -100.0]",-5.0,"[-82, -98]",0.918244452681,1,0.383640718414,1.0,1.0,-44.0,18.1107702763,64.0,"[-100.0, -100.0]",6
