,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial
0,"[0.0, 0.0]",,,,0.667527441168,1
1,"[100.0, -100.0]",13.0384048104,"[111.0, -107.0]",0.984813114279,0.450552487979,2
2,"[100.0, 0.0]",39.2937654088,"[90.0, 38.0]",0.750101700658,0.350210521719,3
3,"[-100.0, 0.0]",31.304951685,"[-114.0, 28.0]",0.749583132798,0.299266794464,4
4,"[-100.0, 100.0]",28.1602556807,"[-128.0, 97.0]",0.950309127686,0.366209509782,5
5,"[0.0, 100.0]",,,,0.298879821436,6
6,"[100.0, 0.0]",,,,0.31699243898,7
7,"[100.0, -100.0]",,,,0.315539187286,8
8,"[0.0, 0.0]",19.7230829233,"[17.0, 10.0]",0.766698573949,0.43389041815,9
9,"[100.0, 0.0]",26.0768096208,"[86.0, -22.0]",0.650222118828,0.299203100032,10
10,"[100.0, 0.0]",24.7588368063,"[83.0, -18.0]",0.717510646326,0.299729779945,11
11,"[-100.0, -100.0]",8.0622577483,"[-93.0, -104.0]",0.833278051578,0.36661450949,12
12,"[-100.0, -100.0]",22.0907220344,"[-122.0, -102.0]",0.766647798708,0.332438007696,13
13,"[0.0, -100.0]",29.4108823397,"[-9.0, -128.0]",0.767321396037,0.316955784685,14
14,"[-100.0, 100.0]",14.7648230602,"[-107.0, 87.0]",0.916545136715,0.282748036785,15
15,"[100.0, -100.0]",6.7082039325,"[94.0, -97.0]",0.850124293938,0.232949905563,16
16,"[0.0, 0.0]",13.6014705087,"[4.0, 13.0]",0.766425769893,0.182787935715,17
17,"[0.0, -100.0]",,,,0.166072086315,18
18,"[0.0, 100.0]",12.0415945788,"[9.0, 92.0]",0.85082403,0.316256048623,19
19,"[-100.0, -100.0]",4.12310562562,"[-99.0, -96.0]",0.666383948061,0.115770409699,20
20,"[0.0, 0.0]",6.7082039325,"[6.0, 3.0]",0.63317908498,0.115895695169,21
21,"[-100.0, 100.0]",12.1655250606,"[-98.0, 112.0]",0.633215739159,0.149402505253,22
22,"[0.0, -100.0]",5.0,"[0.0, -95.0]",0.800716741243,0.182491096319,23
23,"[100.0, 100.0]",9.8488578018,"[96.0, 91.0]",0.834200417157,0.266885751043,24
24,"[0.0, -100.0]",12.8062484749,"[8.0, -90.0]",0.783919471083,0.199990806286,25
25,"[100.0, -100.0]",33.5410196625,"[115.0, -70.0]",0.80084773514,0.232950806967,26
26,"[0.0, 100.0]",13.6014705087,"[-13.0, 104.0]",0.817753465846,0.250172004686,27
27,"[100.0, 100.0]",10.1980390272,"[90.0, 102.0]",0.816574520315,0.266023474396,28
28,"[-100.0, -100.0]",4.12310562562,"[-104.0, -101.0]",0.834770360962,0.28443203005,29
29,"[0.0, 100.0]",17.0,"[0.0, 117.0]",0.800180447171,0.249869456748,30
30,"[-100.0, 100.0]",4.472135955,"[-98.0, 96.0]",0.850159746595,0.282696360257,31
31,"[-100.0, 0.0]",,,,0.250604945701,32
32,"[0.0, 0.0]",19.4164878389,"[-4.0, -19.0]",0.700326703722,0.232848355314,33
33,"[100.0, 0.0]",6.40312423743,"[95.0, 4.0]",0.733120858669,0.182216790156,34
34,"[0.0, -100.0]",5.83095189485,"[-3.0, -105.0]",0.717353814049,0.200528903166,35
35,"[-100.0, 100.0]",26.4764045897,"[-105.0, 74.0]",0.733816388645,0.133173376555,36
36,"[100.0, 100.0]",,,,0.200095361215,37
37,"[0.0, 100.0]",2.82842712475,"[-2.0, 102.0]",0.683382516145,0.150192374829,38
38,"[-100.0, 0.0]",40.8533964316,"[-85.0, 38.0]",0.683128039353,0.165332991979,39
39,"[100.0, -100.0]",23.769728648,"[77.0, -106.0]",0.817138455226,0.183320023702,40
40,"[100.0, 0.0]",12.0415945788,"[91.0, -8.0]",0.81714236096,0.249401363661,41
41,"[100.0, 100.0]",,,,0.2497531845,42
42,"[100.0, 100.0]",0.0,"[100.0, 100.0]",0.850133307395,0.249943966977,43
43,"[-100.0, 100.0]",13.152946438,"[-98.0, 113.0]",0.800031726947,0.232789468137,44
44,"[0.0, 0.0]",22.1359436212,"[-7.0, -21.0]",0.750819763751,0.283503354993,45
45,"[0.0, 0.0]",5.0,"[0.0, 5.0]",0.73361929669,0.216556133004,46
46,"[100.0, -100.0]",30.4138126515,"[70.0, -95.0]",0.851238343515,0.367142991978,47
47,"[0.0, 0.0]",,,,0.282620948623,48
48,"[100.0, 100.0]",8.0,"[92.0, 100.0]",0.849597013323,0.349183300859,49
49,"[100.0, 100.0]",5.09901951359,"[105.0, 99.0]",0.682579427143,0.149021841702,50
50,"[-100.0, 100.0]",14.1421356237,"[-90.0, 110.0]",0.767118896241,0.216518276953,51
51,"[-100.0, 100.0]",,,,0.166522753541,52
52,"[-100.0, 0.0]",7.81024967591,"[-105.0, 6.0]",0.799179965863,0.265731742489,53
53,"[100.0, 0.0]",11.6619037897,"[90.0, -6.0]",0.767566559021,0.249678073335,54
54,"[100.0, -100.0]",7.21110255093,"[94.0, -96.0]",0.667272663908,0.182919831132,55
55,"[0.0, 100.0]",14.5602197786,"[-4.0, 114.0]",0.716810309328,0.183448613971,56
56,"[100.0, -100.0]",,,,0.265761786955,57
57,"[-100.0, -100.0]",25.9615099715,"[-107.0, -125.0]",0.750174107845,0.315951998578,58
58,"[0.0, 100.0]",4.472135955,"[-4.0, 98.0]",0.733999960357,0.433532888768,59
