,aimDotPos,pokeDist,pokePos,pokeTime,trial
74,"[-48.0, 13.0]",12.0,"[-60.0, 13.0]",0.731109059183,3
75,"[-30.0, -52.0]",15.5241746963,"[-34.0, -37.0]",0.765001716034,4
76,"[75.0, -160.0]",20.591260282,"[85.0, -142.0]",0.747963624293,5
77,"[-113.0, 76.0]",36.0555127546,"[-111.0, 112.0]",0.698159089196,6
78,"[-126.0, -102.0]",54.4058820349,"[-94.0, -58.0]",0.681743116467,7
79,"[99.0, -39.0]",49.2036584006,"[60.0, -69.0]",0.731267833864,8
80,"[100.0, -78.0]",28.6356421266,"[106.0, -50.0]",0.664741850793,9
81,"[81.0, -94.0]",6.0827625303,"[82.0, -88.0]",0.714562082256,10
82,"[-62.0, -85.0]",6.32455532034,"[-56.0, -83.0]",0.631397660822,11
83,"[-75.0, -142.0]",18.4390889146,"[-71.0, -160.0]",0.697856632512,12
84,"[-102.0, -97.0]",27.1661554144,"[-75.0, -100.0]",0.531813342561,13
85,"[124.0, 85.0]",21.400934559,"[137.0, 68.0]",0.731454982699,14
86,"[-96.0, -149.0]",14.1421356237,"[-94.0, -135.0]",0.63109097819,15
87,"[-43.0, -2.0]",3.16227766017,"[-40.0, -3.0]",0.731637000048,16
88,"[-108.0, -93.0]",31.0161248385,"[-97.0, -64.0]",0.714762814488,17
89,"[22.0, -154.0]",20.2484567313,"[15.0, -135.0]",0.731322167398,18
90,"[-109.0, -32.0]",23.1948270095,"[-132.0, -29.0]",0.781448175927,19
91,"[-108.0, 76.0]",10.7703296143,"[-98.0, 72.0]",0.697680954079,20
92,"[-66.0, -148.0]",9.89949493661,"[-59.0, -141.0]",0.731086420215,21
93,"[9.0, 79.0]",16.6433169771,"[23.0, 70.0]",0.681323540819,22
94,"[-34.0, 106.0]",22.2036033112,"[-47.0, 124.0]",0.71430762019,23
95,"[105.0, -21.0]",16.1554944214,"[120.0, -27.0]",0.714656864104,24
96,"[-31.0, 115.0]",4.472135955,"[-29.0, 119.0]",0.731221650349,25
97,"[77.0, 149.0]",39.9249295554,"[62.0, 186.0]",0.61477944658,26
98,"[-37.0, -113.0]",27.3130005675,"[-48.0, -88.0]",0.531040598929,27
99,"[-153.0, 6.0]",30.5286750449,"[-169.0, -20.0]",0.714417192823,28
100,"[87.0, -143.0]",45.0444225182,"[132.0, -145.0]",0.632576396732,29
101,"[78.0, -67.0]",22.825424421,"[58.0, -56.0]",0.697811354563,30
102,"[-156.0, 112.0]",15.2315462117,"[-162.0, 126.0]",0.697815580512,31
103,"[-137.0, -135.0]",4.472135955,"[-135.0, -139.0]",0.664743963775,32
104,"[53.0, -32.0]",21.0237960416,"[62.0, -51.0]",0.615087034777,33
105,"[28.0, 148.0]",26.3058928759,"[2.0, 152.0]",0.697693933747,34
106,"[47.0, 2.0]",7.07106781187,"[48.0, 9.0]",0.647896643117,35
107,"[-42.0, 5.0]",5.09901951359,"[-41.0, 0.0]",0.681740097949,36
