,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,releaseTime,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
0,1.0,0,55.0090901579,"[132.0, -100.0]",-5.0,"[77, -101]",0.948159413878,1,0.265273967292,1.0,1.0,32.0,23.0217288664,64.0,"[100.0, -100.0]",35
1,1.0,0,55.0,"[-32.0, 0.0]",-5.0,"[23, 0]",0.897961728275,1,0.265658252407,1.0,1.0,-32.0,23.0,64.0,"[0.0, 0.0]",34
2,-2.0,0,68.6002915446,"[-44.0, -100.0]",0.0,"[15, -135]",2.14460764965,4,0.282166873571,1.0,-5.0,-44.0,38.0788655293,64.0,"[0.0, -100.0]",33
3,1.0,0,73.5459040328,"[-56.0, 0.0]",0.0,"[-128, 15]",1.89490697952,1,0.232135340106,1.0,-5.0,44.0,31.7647603485,64.0,"[-100.0, 0.0]",32
4,1.0,0,35.5105618091,"[68.0, -100.0]",-1.0,"[103, -106]",0.998999477364,1,0.282317402307,1.0,1.0,-32.0,6.7082039325,64.0,"[100.0, -100.0]",31
5,1.0,0,54.083269132,"[56.0, 100.0]",-5.0,"[107, 82]",2.19463647809,1,0.28209896991,1.0,-5.0,-44.0,19.3132079158,64.0,"[100.0, 100.0]",30
6,1.0,0,53.3666562565,"[-68.0, 100.0]",0.0,"[-120, 112]",3.19079122692,1,0.264116005506,1.0,-5.0,32.0,23.3238075794,64.0,"[-100.0, 100.0]",29
7,1.0,0,57.5673518585,"[44.0, 0.0]",-1.0,"[-11, 17]",0.965504808817,1,0.215956921689,1.0,1.0,44.0,20.2484567313,64.0,"[0.0, 0.0]",28
8,1.0,0,51.0881590978,"[132.0, 0.0]",-1.0,"[81, 3]",0.997138144914,1,0.249378879555,1.0,1.0,32.0,19.2353840617,64.0,"[100.0, 0.0]",27
9,1.0,0,57.2800139665,"[-32.0, 100.0]",0.0,"[23, 116]",1.06457937043,1,0.24901953293,1.0,-5.0,-32.0,28.0178514522,64.0,"[0.0, 100.0]",26
10,1.0,0,51.8652099196,"[56.0, 100.0]",-1.0,"[105, 83]",0.980940797366,1,0.265263751615,1.0,1.0,-44.0,17.7200451467,64.0,"[100.0, 100.0]",25
11,1.0,0,63.7887137353,"[44.0, -100.0]",-5.0,"[-18, -115]",0.964411745314,1,0.249148429371,1.0,1.0,44.0,23.4307490277,64.0,"[0.0, -100.0]",24
12,1.0,0,45.7055795281,"[68.0, 100.0]",0.0,"[113, 92]",2.36033111578,1,0.29804543592,1.0,-5.0,-32.0,15.2643375225,64.0,"[100.0, 100.0]",23
13,1.0,0,55.9016994375,"[-44.0, 0.0]",0.0,"[11, -10]",0.998818001244,1,0.21602782933,1.0,1.0,-44.0,14.8660687473,64.0,"[0.0, 0.0]",22
14,1.0,0,55.3263047745,"[132.0, 0.0]",0.0,"[77, -6]",1.04745330987,1,0.265604770742,1.0,-5.0,32.0,23.769728648,64.0,"[100.0, 0.0]",21
15,1.0,0,69.1230786351,"[144.0, -100.0]",0.0,"[77, -117]",3.29163578199,1,0.265298604965,1.0,-5.0,44.0,28.6006992922,64.0,"[100.0, -100.0]",20
16,1.0,0,74.0067564483,"[44.0, 100.0]",-5.0,"[-30, 101]",0.980232920498,1,0.181708104908,1.0,1.0,44.0,30.0166620396,64.0,"[0.0, 100.0]",19
17,1.0,0,52.8393792545,"[-44.0, 100.0]",-1.0,"[2, 74]",1.01368101826,1,0.247775640339,1.0,-5.0,-44.0,26.0768096208,64.0,"[0.0, 100.0]",18
18,-2.0,0,35.4682957019,"[-68.0, 100.0]",-5.0,"[-41, 77]",2.52659271611,4,0.232689683791,1.0,-5.0,32.0,63.324560796,64.0,"[-100.0, 100.0]",17
19,1.0,0,58.0517010948,"[-56.0, -100.0]",-1.0,"[-113, -111]",1.03100477997,1,0.348544480279,1.0,-5.0,44.0,17.0293863659,64.0,"[-100.0, -100.0]",16
20,-2.0,0,175.422347493,"[32.0, -100.0]",-1.0,"[-71, -242]",2.31200437713,4,0.282669538166,1.0,-5.0,32.0,158.760826402,64.0,"[0.0, -100.0]",15
21,-2.0,0,214.373505826,"[-44.0, 100.0]",-5.0,"[140, -10]",2.32835946465,4,0.282509995624,1.0,-5.0,-44.0,178.044938148,64.0,"[0.0, 100.0]",14
22,-2.0,0,99.7647232242,"[-132.0, -100.0]",0.0,"[-64, -173]",2.17738512671,4,0.315403148998,1.0,-5.0,-32.0,81.3941029805,64.0,"[-100.0, -100.0]",13
23,1.0,0,51.8652099196,"[56.0, 100.0]",0.0,"[105, 83]",1.01473532291,1,0.298669185024,1.0,-5.0,-44.0,17.7200451467,64.0,"[100.0, 100.0]",12
24,1.0,0,50.3587132481,"[132.0, -100.0]",-5.0,"[82, -94]",1.03142752312,1,0.249177272897,1.0,-5.0,32.0,18.973665961,64.0,"[100.0, -100.0]",11
25,1.0,0,49.3659801888,"[-144.0, 0.0]",-1.0,"[-95, -6]",1.03079956817,1,0.248954634648,1.0,-5.0,-44.0,7.81024967591,64.0,"[-100.0, 0.0]",10
26,1.0,0,49.3659801888,"[32.0, 0.0]",0.0,"[-17, 6]",0.948551210109,1,0.28209175868,1.0,1.0,32.0,18.0277563773,64.0,"[0.0, 0.0]",9
27,1.0,0,40.2616442784,"[-132.0, 0.0]",-5.0,"[-93, -10]",0.931296553928,1,0.282318303827,1.0,1.0,-32.0,12.2065556157,64.0,"[-100.0, 0.0]",8
28,1.0,0,35.3411940941,"[-32.0, 0.0]",-1.0,"[0, -15]",0.964506689925,1,0.282789420802,1.0,1.0,-32.0,15.0,64.0,"[0.0, 0.0]",7
29,1.0,0,46.270941205,"[-144.0, -100.0]",-5.0,"[-98, -105]",0.998107420281,1,0.266314450651,1.0,1.0,-44.0,5.38516480713,64.0,"[-100.0, -100.0]",6
30,1.0,0,62.2012861603,"[-56.0, 100.0]",-5.0,"[-118, 105]",0.91541468678,1,0.199334427249,1.0,1.0,44.0,18.6815416923,64.0,"[-100.0, 100.0]",5
31,1.0,0,66.7083203206,"[144.0, 0.0]",-1.0,"[79, -15]",1.03209363716,1,0.282223359216,1.0,-5.0,44.0,25.8069758011,64.0,"[100.0, 0.0]",4
32,1.0,0,66.0,"[44.0, -100.0]",0.0,"[-22, -100]",1.03191456432,1,0.315995650832,1.0,-5.0,44.0,22.0,64.0,"[0.0, -100.0]",3
33,1.0,0,60.440052945,"[32.0, -100.0]",-1.0,"[-26, -83]",1.08064481709,1,0.398486476857,1.0,-5.0,32.0,31.064449134,64.0,"[0.0, -100.0]",2
34,1.0,0,54.3415126768,"[-132.0, -100.0]",-5.0,"[-79, -88]",0.948694528546,1,0.283822993748,1.0,1.0,-32.0,24.1867732449,64.0,"[-100.0, -100.0]",1
35,1.0,0,35.0142828,"[-132.0, 100.0]",-1.0,"[-97, 99]",1.06444536662,1,0.400214105844,1.0,-5.0,-32.0,3.16227766017,64.0,"[-100.0, 100.0]",0
36,1.0,1,39.0128184063,"[32.0, 100.0]",0.0,"[-7, 101]",0.914942968637,1,0.265367710032,1.0,1.0,32.0,7.07106781187,64.0,"[0.0, 100.0]",35
37,-2.0,1,64.0312423743,"[132.0, 0.0]",-5.0,"[68, -2]",0.980751208961,4,0.332462808583,1.0,0.0,32.0,32.0624390838,64.0,"[100.0, 0.0]",34
38,1.0,1,41.1096095822,"[-32.0, -100.0]",-5.0,"[7, -113]",1.06477016117,1,0.382173453458,1.0,-5.0,-32.0,14.7648230602,64.0,"[0.0, -100.0]",33
39,1.0,1,54.2309874518,"[-144.0, 0.0]",0.0,"[-90, 5]",0.981416721828,1,0.299671510234,1.0,1.0,-44.0,11.1803398875,64.0,"[-100.0, 0.0]",32
40,1.0,1,64.5368112011,"[144.0, 100.0]",-5.0,"[81, 86]",1.09778319672,1,0.399065758102,1.0,-5.0,44.0,23.6008474424,64.0,"[100.0, 100.0]",31
