,aimDotPos,pokeDist,pokePos,pokeTime,trial
0,"[-61.0, 93.0]",18.0277563773,"[-60.0, 111.0]",0.7490071301,1
1,"[37.0, -135.0]",20.6155281281,"[57.0, -140.0]",0.782352829352,1
2,"[-56.0, -125.0]",,,,1
