	aimDotPos	pokeDist	pokePos	pokeTime	trial
96	[-81.  14.]	16.1245154966	[-73.  28.]	2.28362438502	4
97	[ 19. -89.]	5.38516480713	[ 14. -91.]	3.11688743695	5
98	[ 150.  -97.]	15.2315462117	[ 156.  -83.]	1.93414111214	6
99	[-159.  146.]	11.0453610172	[-158.  135.]	4.0998629285	7
100	[ 11.  73.]	8.60232526704	[  4.  68.]	2.13396899553	8
101	[ 35. -12.]	9.21954445729	[ 28. -18.]	2.26701220777	9
102	[-138. -142.]	3.16227766017	[-139. -139.]	2.13471125194	10
103	[ 23.   3.]	9.21954445729	[ 14.   5.]	1.8841150169	11
104	[-144.   65.]	9.21954445729	[-151.   71.]	2.0839863671	12
105	[  15. -151.]	13.0384048104	[   2. -152.]	2.23349777283	13
106	[ 74.  37.]	9.43398113206	[ 69.  45.]	2.35145497671	14
107	[-1.  1.]	11.1803398875	[ -6.  11.]	2.26628655323	15
108	[-49. -30.]	9.43398113206	[-57. -35.]	2.26724644576	16
109	[ 116.  127.]				17
110	[ 131. -136.]	16.0	[ 147. -136.]	2.15064124146	18
111	[ -51.  114.]	11.313708499	[ -43.  106.]	2.86704734352	19
112	[-18.   7.]				20
113	[ 146.   86.]	12.0830459736	[ 151.   97.]	1.93400407082	21
114	[-154.  142.]	20.2237484162	[-151.  162.]	2.25056031463	22
115	[-45. -70.]	7.21110255093	[-41. -76.]	2.00038878666	23
116	[ 145.  -22.]	3.0	[ 145.  -25.]	2.53479051858	24
117	[-134.   72.]	3.60555127546	[-132.   75.]	2.15060139669	25
118	[-91. -68.]	10.295630141	[-100.  -73.]	2.11705828563	26
119	[ 130.  -86.]	5.38516480713	[ 135.  -84.]	1.96736003307	27
120	[ 115. -125.]	10.4403065089	[ 105. -128.]	2.08381944243	28
121	[ -16.  153.]	28.0713376952	[ -14.  181.]	1.90069127351	29
122	[ 118.  106.]	24.8394846967	[ 102.  125.]	2.03415074118	0
123	[-63. -64.]	12.6491106407	[-67. -76.]	2.13393458421	1
124	[  51. -103.]	7.81024967591	[  46. -109.]	2.21732992318	2
125	[-34.  85.]	11.401754251	[-25.  78.]	2.40045537543	3
126	[ 25.  88.]	8.60232526704	[ 20.  95.]	2.25058567035	4
127	[ -79. -111.]	14.4222051019	[ -91. -103.]	2.16725009819	5
128	[ -67. -125.]	10.0498756211	[ -66. -135.]	2.16743785073	6
129	[-17. -58.]	7.07106781187	[-24. -59.]	2.21723393386	7
130	[ 34. -27.]	7.21110255093	[ 30. -21.]	2.38383142592	8
