,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,releaseTime,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
0,1,0,59.3043000127,"[132.0, -100.0]",-5.0,"[73, -94]",1.20254060603,1,0.567758357851,1.0,1.0,32.0,27.6586333719,64.0,"[100.0, -100.0]",35
1,1,0,50.0399840128,"[-32.0, 0.0]",-5.0,"[18, 2]",0.800751203205,1,0.367248842726,1.0,1.0,-32.0,18.1107702763,64.0,"[0.0, 0.0]",34
2,1,0,75.3259583411,"[-44.0, -100.0]",0.0,"[31, -93]",0.885354243452,1,0.468078675214,1.0,1.0,-44.0,31.7804971641,64.0,"[0.0, -100.0]",33
3,-2,0,86.2844134244,"[-56.0, 0.0]",0.0,"[-142, -7]",0.884668299695,4,0.36735971109,1.0,0.0,44.0,42.5793377121,64.0,"[-100.0, 0.0]",32
4,-2,0,54.6443043693,"[68.0, -100.0]",-1.0,"[113, -69]",5.77101585502,4,0.350918693002,1.0,0.0,-32.0,33.6154726279,64.0,"[100.0, -100.0]",31
5,1,0,52.6117857519,"[56.0, 100.0]",-5.0,"[108, 108]",0.800695618615,1,0.333914918359,1.0,1.0,-44.0,11.313708499,64.0,"[100.0, 100.0]",30
6,0,0,19.2353840617,"[-68.0, 100.0]",0.0,"[-85, 91]",0.750843458576,3,0.316698720446,1.0,1.0,32.0,17.4928556845,64.0,"[-100.0, 100.0]",29
7,0,0,24.4131112315,"[132.0, 0.0]",-1.0,"[112, 14]",0.767940074438,3,0.333805251634,1.0,0.0,32.0,18.4390889146,64.0,"[100.0, 0.0]",28
8,1,0,47.0106370942,"[-32.0, 100.0]",0.0,"[9, 123]",0.83501384058,1,0.334594552638,1.0,1.0,-32.0,24.6981780705,64.0,"[0.0, 100.0]",27
9,1,0,58.8557558782,"[56.0, 100.0]",-1.0,"[114, 110]",0.767355685122,1,0.333234983729,1.0,1.0,-44.0,17.2046505341,64.0,"[100.0, 100.0]",26
10,-2,0,69.8569967863,"[44.0, -100.0]",-5.0,"[-20, -128]",0.851121051004,4,0.433815136552,1.0,0.0,44.0,34.4093010682,64.0,"[0.0, -100.0]",25
11,-2,0,61.0327780787,"[68.0, 100.0]",0.0,"[118, 135]",2.1180962068,4,0.333086858271,1.0,0.0,-32.0,39.3573373083,64.0,"[100.0, 100.0]",24
12,0,0,30.886890423,"[-44.0, 0.0]",0.0,"[-17, 15]",0.784610942472,3,0.35043736035,1.0,1.0,-44.0,22.6715680975,64.0,"[0.0, 0.0]",23
13,-2,0,78.0,"[132.0, 0.0]",0.0,"[60, 30]",0.868476059986,4,0.333673951682,1.0,0.0,32.0,50.0,64.0,"[100.0, 0.0]",22
14,1,0,54.5710545986,"[144.0, -100.0]",0.0,"[91, -87]",3.77010607044,1,0.433989401674,1.0,1.0,44.0,15.8113883008,64.0,"[100.0, -100.0]",21
15,1,0,56.3205113613,"[44.0, 100.0]",-5.0,"[-12, 106]",2.25181348459,1,0.367018091492,1.0,1.0,44.0,13.416407865,64.0,"[0.0, 100.0]",20
16,1,0,49.4974746831,"[-68.0, 100.0]",-5.0,"[-117, 107]",0.902389866766,1,0.384725236334,1.0,1.0,32.0,18.3847763109,64.0,"[-100.0, 100.0]",19
17,1,0,45.1774279923,"[-132.0, -100.0]",-5.0,"[-87, -96]",0.967502849177,1,0.46740024304,1.0,1.0,-32.0,13.6014705087,64.0,"[-100.0, -100.0]",18
18,1,0,42.4264068712,"[-132.0, 100.0]",-1.0,"[-90, 106]",0.917684039799,1,0.399910944514,1.0,1.0,-32.0,11.6619037897,64.0,"[-100.0, 100.0]",17
19,-2,0,73.7631344236,"[-56.0, -100.0]",-1.0,"[-127, -80]",0.883979952428,4,0.38296245411,1.0,0.0,44.0,33.6005952328,64.0,"[-100.0, -100.0]",16
20,-2,0,62.3618473107,"[32.0, -100.0]",-1.0,"[-28, -83]",1.01682229852,4,0.534417823656,1.0,0.0,32.0,32.7566787083,64.0,"[0.0, -100.0]",15
21,1,0,53.8516480713,"[-44.0, 100.0]",-5.0,"[8, 114]",0.850999666145,1,0.40006628097,1.0,1.0,-44.0,16.1245154966,64.0,"[0.0, 100.0]",14
22,1,0,53.2353266168,"[-132.0, -100.0]",0.0,"[-85, -75]",0.901351185981,1,0.349711756222,1.0,1.0,-32.0,29.1547594742,64.0,"[-100.0, -100.0]",13
23,1,0,45.1774279923,"[132.0, -100.0]",-5.0,"[87, -104]",0.818047322566,1,0.318155937828,1.0,1.0,32.0,13.6014705087,64.0,"[100.0, -100.0]",12
24,1,0,59.3043000127,"[-144.0, 0.0]",-1.0,"[-85, -6]",0.867615550524,1,0.300880549941,1.0,1.0,-44.0,16.1554944214,64.0,"[-100.0, 0.0]",11
25,1,0,45.8802789878,"[32.0, 0.0]",0.0,"[-11, 16]",0.917002602946,1,0.316351993009,1.0,1.0,32.0,19.4164878389,64.0,"[0.0, 0.0]",10
26,-2,0,65.9696900099,"[-132.0, 0.0]",-5.0,"[-68, -16]",0.934663177002,4,0.38427755516,1.0,0.0,-32.0,35.77708764,64.0,"[-100.0, 0.0]",9
27,1,0,33.2866339542,"[-32.0, 0.0]",-1.0,"[-4, 18]",0.917496554554,1,0.483619824285,1.0,1.0,-32.0,18.4390889146,64.0,"[0.0, 0.0]",8
28,1,0,67.082039325,"[-144.0, -100.0]",-5.0,"[-78, -88]",0.800917356042,1,0.316347786458,1.0,1.0,-44.0,25.0599281723,64.0,"[-100.0, -100.0]",7
29,1,0,74.4311762637,"[-56.0, 100.0]",-5.0,"[-130, 108]",0.883318045177,1,0.383051990299,1.0,1.0,44.0,31.0483493925,64.0,"[-100.0, 100.0]",6
30,1,0,63.324560796,"[144.0, 0.0]",-1.0,"[83, 17]",0.984862365061,1,0.467463639332,1.0,1.0,44.0,24.0416305603,64.0,"[100.0, 0.0]",5
31,1,0,60.4069532422,"[44.0, -100.0]",0.0,"[-13, -80]",0.968378381338,1,0.467542659724,1.0,1.0,44.0,23.8537208838,64.0,"[0.0, -100.0]",4
32,1,0,47.4236228055,"[32.0, -100.0]",-1.0,"[-11, -80]",0.867454505526,1,0.400304843672,1.0,1.0,32.0,22.825424421,64.0,"[0.0, -100.0]",3
33,1,0,54.2033209315,"[44.0, 0.0]",-1.0,"[-3, 27]",0.968130804598,1,0.433771570213,1.0,1.0,44.0,27.1661554144,64.0,"[0.0, 0.0]",2
34,1,0,36.0555127546,"[-44.0, 100.0]",-1.0,"[-10, 88]",0.867772088852,1,0.351522912504,1.0,1.0,-44.0,15.6204993518,64.0,"[0.0, 100.0]",1
35,1,0,62.6418390535,"[56.0, 100.0]",0.0,"[116, 82]",0.917709879111,1,0.367394263856,1.0,1.0,-44.0,24.0831891576,64.0,"[100.0, 100.0]",0
36,1,1,62.2896460096,"[32.0, 100.0]",0.0,"[-30, 106]",1.30031899549,1,0.718421722529,1.0,1.0,32.0,30.5941170816,64.0,"[0.0, 100.0]",35
37,1,1,63.1268564083,"[132.0, 0.0]",-5.0,"[69, 4]",1.08425451024,1,0.550332741346,1.0,1.0,32.0,31.2569992162,64.0,"[100.0, 0.0]",34
38,1,1,34.5253530033,"[-32.0, -100.0]",-5.0,"[2, -94]",0.868305400247,1,0.350386883598,1.0,1.0,-32.0,6.32455532034,64.0,"[0.0, -100.0]",33
39,1,1,44.4072066223,"[-144.0, 100.0]",-1.0,"[-100, 106]",0.883964628913,1,0.317709758878,1.0,1.0,-44.0,6.0,64.0,"[-100.0, 100.0]",32
40,1,1,47.2969343615,"[-144.0, 0.0]",0.0,"[-98, -11]",0.917659402359,1,0.367641840596,1.0,1.0,-44.0,11.1803398875,64.0,"[-100.0, 0.0]",31
41,-2,1,74.6324326282,"[144.0, 100.0]",-5.0,"[73, 123]",0.799995252863,4,0.300162156811,1.0,0.0,44.0,35.4682957019,64.0,"[100.0, 100.0]",30
