"block","pen_side","pen_val","pen_x","points","poke_x","poke_y","release_time","targ_val","targ_x","targ_y","time_limit","too_slow","too_soon","trial_time"
"1","left","0","36","100","68","161","763","100","68","154","i","0","0","3286"
"1","right","0","125","100","77","-146","801","100","93","-142","i","0","0","2808"
"1","right","0","-118","100","-175","22","876","100","-150","27","i","0","0","2908"
"1","left","0","-22","100","17","138","738","100","10","138","i","0","0","2467"
"1","right","0","-122","100","-163","-106","864","100","-154","-114","i","0","0","2402"
"1","right","0","-38","100","-100","-87","799","100","-70","-96","i","0","0","2546"
"1","right","0","-53","100","-101","-9","884","100","-85","-2","i","0","0","2780"
"1","left","0","-117","100","-75","40","760","100","-85","32","i","0","0","2536"
"1","left","0","-177","100","-120","-169","685","100","-145","-159","i","0","0","2537"
"1","left","0","-167","100","-122","29","728","100","-135","30","i","0","0","2629"
"1","left","0","-121","100","-81","4","776","100","-89","-6","i","0","0","2634"
"1","right","0","-37","100","-94","139","766","100","-69","145","i","0","0","2573"
"1","right","0","40","100","-13","-147","742","100","8","-149","i","0","0","2411"
"1","right","0","118","100","65","-81","731","100","86","-60","i","0","0","2277"
"1","left","0","120","100","173","143","793","100","152","127","i","0","0","2564"
"1","left","0","-100","100","-54","-30","788","100","-68","-49","i","0","0","2553"
"1","right","0","-70","100","-117","100","741","100","-102","106","i","0","0","2411"
"1","left","0","-23","100","30","163","734","100","9","157","i","0","0","2348"
"1","left","0","-14","100","26","33","798","100","18","24","i","0","0","2800"
"1","right","0","12","100","-34","-101","753","100","-20","-96","i","0","0","2664"
"1","right","0","-7","100","-67","97","834","100","-39","91","i","0","0","2760"
"1","left","0","-189","100","-146","-38","769","100","-157","-51","i","0","0","2698"
"1","right","0","-11","100","-65","130","800","100","-43","130","i","0","0","2737"
"1","right","0","30","100","-24","-164","746","100","-2","-158","i","0","0","2420"
"1","right","0","38","100","-15","-25","731","100","6","-15","i","0","0","2556"
"1","left","0","97","100","128","-71","708","100","129","-64","i","0","0","2375"
"1","right","0","73","100","24","8","882","100","41","4","i","0","0","2744"
"1","left","0","121","100","170","-142","877","100","153","-140","i","0","0","2916"
"1","left","0","-76","100","-32","-132","807","100","-44","-133","i","0","0","2556"
