"block","pen_side","pen_val","pen_x","points","poke_x","poke_y","release_time","targ_val","targ_x","targ_y","time_limit","too_slow","too_soon","trial_time"
"1","right","0","-84","100","-129","-103","915","100","-116","-103","i","0","0","915"
"1","left","0","123","100","181","-27","800","100","155","-31","i","0","0","800"
"1","right","0","-71","100","-125","-46","804","100","-103","-28","i","0","0","804"
"1","left","0","-39","100","3","-150","751","100","-7","-144","i","0","0","751"
"1","left","0","-2","0","54","-60","1286","100","30","-31","i","0","0","1286"
"1","right","0","-38","100","-88","115","764","100","-70","108","i","0","0","764"
"1","right","0","-17","100","-58","-118","807","100","-49","-115","i","0","0","807"
"1","left","0","-113","100","-66","15","875","100","-81","25","i","0","0","875"
"1","right","0","188","100","133","-77","738","100","156","-83","i","0","0","738"
"1","left","0","47","0","112","-37","631","100","79","-23","i","0","0","631"
"1","right","0","156","100","113","-70","771","100","124","-94","i","0","0","771"
"1","left","0","73","100","127","31","733","100","105","32","i","0","0","733"
"1","right","0","-48","100","-100","74","659","100","-80","75","i","0","0","659"
"1","right","0","22","0","-30","14","826","100","-10","40","i","0","0","826"
"1","right","0","-49","100","-89","96","737","100","-81","102","i","0","0","737"
"1","right","0","178","100","140","-17","662","100","146","-11","i","0","0","662"
"1","left","0","-172","100","-117","45","629","100","-140","26","i","0","0","629"
"1","right","0","80","100","27","-100","617","100","48","-77","i","0","0","617"
"1","right","0","123","100","91","133","659","100","91","146","i","0","0","659"
"1","left","0","-135","100","-94","128","689","100","-103","138","i","0","0","689"
"1","left","0","-162","100","-125","-67","727","100","-130","-68","i","0","0","727"
"1","left","0","-18","100","27","49","617","100","14","34","i","0","0","617"
"1","right","0","-98","100","-129","39","628","100","-130","66","i","0","0","628"
"1","left","0","-130","0","-67","-62","619","100","-98","-53","i","0","0","619"
"1","left","0","53","100","90","-56","655","100","85","-49","i","0","0","655"
"1","right","0","-48","100","-80","-91","607","100","-80","-89","i","0","0","607"
"1","left","0","-3","100","42","-106","584","100","29","-98","i","0","0","584"
"1","left","0","-71","100","-29","120","649","100","-39","131","i","0","0","649"
"1","right","0","142","100","93","92","775","100","110","104","i","0","0","776"
"1","left","0","-109","100","-68","-146","635","100","-77","-143","i","0","0","635"
"2","left","0","-123","100","-90","-105","545","100","-91","-100","850","0","0","545"
"2","right","0","-42","100","-96","90","709","100","-74","94","850","0","0","709"
"2","right","0","-40","100","-62","0","580","100","-72","22","850","0","0","580"
"2","left","0","-40","100","0","80","707","100","-8","76","850","0","0","707"
"2","right","0","40","100","-14","121","651","100","8","140","850","0","0","651"
"2","right","0","-10","100","-49","28","598","100","-42","28","850","0","0","598"
"2","right","0","88","100","41","-152","625","100","56","-142","850","0","0","625"
"2","left","0","61","100","110","-82","594","100","93","-81","850","0","0","594"
"2","left","0","-87","100","-30","-151","637","100","-55","-148","850","0","0","637"
"2","right","0","-93","100","-146","-151","639","100","-125","-144","850","0","0","639"
"2","left","0","52","100","94","91","558","100","84","97","850","0","0","558"
"2","right","0","-42","100","-95","-28","596","100","-74","-11","850","0","0","596"
"2","left","0","94","100","137","-97","527","100","126","-102","850","0","0","527"
"2","left","0","124","100","175","46","594","100","156","27","850","0","0","594"
"2","left","0","-101","100","-52","82","585","100","-69","99","850","0","0","586"
"2","right","0","-116","100","-170","133","572","100","-148","132","850","0","0","573"
"2","left","0","70","-25","129","40","550","100","102","66","850","0","1","551"
"2","right","0","64","100","23","68","653","100","32","55","850","0","0","653"
"2","right","0","2","100","-27","-31","538","100","-30","-40","850","0","0","538"
"2","left","0","-116","100","-77","51","588","100","-84","53","850","0","0","588"
"2","right","0","172","100","124","152","534","100","140","153","850","0","0","534"
"2","right","0","-6","100","-51","140","655","100","-38","127","850","0","0","655"
"2","right","0","-106","100","-147","-109","587","100","-138","-96","850","0","0","588"
"2","right","0","56","100","15","-29","563","100","24","-9","850","0","0","563"
"2","left","0","69","100","114","144","545","100","101","155","850","0","0","545"
"2","left","0","-82","100","-39","134","578","100","-50","140","850","0","0","578"
"2","left","0","18","100","68","-25","538","100","50","-28","850","0","0","538"
"2","left","0","-141","100","-105","-103","565","100","-109","-88","850","0","0","565"
"2","right","0","-112","100","-148","-148","651","100","-144","-148","850","0","0","651"
"2","left","0","-182","100","-150","-138","605","100","-150","-120","850","0","0","605"
"3","left","0","-131","0","-67","3","682","100","-99","24","850","0","0","682"
"3","right","0","-20","100","-55","-81","587","100","-52","-92","850","0","0","587"
"3","left","0","-77","100","-38","55","614","100","-45","50","850","0","0","614"
"3","left","0","42","100","63","53","573","100","74","56","850","0","0","573"
"3","right","0","165","100","123","129","606","100","133","148","850","0","0","606"
"3","left","0","-119","100","-67","-111","617","100","-87","-104","850","0","0","617"
"3","left","0","40","100","91","104","530","100","72","118","850","0","0","530"
"3","left","0","33","100","61","-19","712","100","65","-13","850","0","0","712"
"3","left","0","92","100","145","-113","669","100","124","-132","850","0","0","669"
"3","right","0","85","100","30","78","591","100","53","95","850","0","0","591"
"3","left","0","73","100","121","-91","517","100","105","-82","850","0","0","517"
"3","right","0","66","-25","20","-79","530","100","34","-72","850","0","1","530"
"3","left","0","-36","100","23","99","699","100","-4","108","850","0","0","699"
"3","left","0","-169","100","-133","152","547","100","-137","156","850","0","0","547"
"3","right","0","75","100","33","31","766","100","43","40","850","0","0","766"
"3","right","0","117","100","68","-56","638","100","85","-57","850","0","0","638"
"3","right","0","93","100","63","68","523","100","61","85","850","0","0","523"
"3","left","0","-57","100","-19","-51","548","100","-25","-50","850","0","0","548"
"3","right","0","126","100","90","23","574","100","94","32","850","0","0","574"
"3","right","0","62","100","26","169","660","100","30","160","850","0","0","661"
"3","left","0","96","100","130","6","551","100","128","-8","850","0","0","551"
"3","right","0","32","100","-6","143","551","100","0","153","850","0","0","551"
"3","right","0","-117","100","-161","-13","618","100","-149","-8","850","0","0","618"
"3","left","0","21","100","61","-110","648","100","53","-107","850","0","0","648"
"3","left","0","-183","100","-138","74","642","100","-151","99","850","0","0","642"
"3","left","0","-135","100","-83","124","589","100","-103","129","850","0","0","589"
"3","right","0","136","100","93","-16","548","100","104","-12","850","0","0","548"
"3","right","0","-14","100","-58","115","577","100","-46","139","850","0","0","577"
"3","right","0","-38","100","-92","146","565","100","-70","150","850","0","0","565"
"3","right","0","88","100","36","-117","743","100","56","-127","850","0","0","743"
"4","left","0","117","100","158","146","635","100","149","137","850","0","0","635"
"4","left","0","-176","100","-128","-41","669","100","-144","-29","850","0","0","669"
"4","right","0","-59","100","-93","134","719","100","-91","129","850","0","0","719"
"4","left","0","-102","100","-81","15","612","100","-70","17","850","0","0","612"
"4","left","0","-60","100","-27","115","557","100","-28","103","850","0","0","557"
"4","left","0","-115","100","-68","-32","537","100","-83","-37","850","0","0","537"
"4","right","0","23","100","-22","-144","622","100","-9","-145","850","0","0","622"
"4","right","0","-91","100","-122","4","559","100","-123","19","850","0","0","559"
"4","right","0","17","100","-32","-134","645","100","-15","-151","850","0","0","645"
"4","left","0","-133","100","-85","118","632","100","-101","137","850","0","0","632"
"4","left","0","6","100","40","-103","606","100","38","-107","850","0","0","606"
"4","right","0","140","100","92","-151","676","100","108","-137","850","0","0","676"
"4","left","0","-15","100","20","72","640","100","17","87","850","0","0","640"
"4","right","0","156","100","109","7","737","100","124","16","850","0","0","737"
"4","right","0","42","100","-15","10","545","100","10","19","850","0","0","545"
"4","left","0","72","100","106","1","584","100","104","12","850","0","0","584"
"4","right","0","146","100","95","-91","660","100","114","-80","850","0","0","660"
"4","right","0","-11","100","-54","37","620","100","-43","50","850","0","0","620"
"4","right","0","-101","100","-139","-66","651","100","-133","-59","850","0","0","651"
"4","right","0","54","100","22","-9","614","100","22","16","850","0","0","614"
"4","right","0","158","0","95","-25","651","100","126","-33","850","0","0","651"
"4","left","0","-164","100","-110","43","652","100","-132","46","850","0","0","652"
"4","left","0","-185","100","-126","127","609","100","-153","141","850","0","0","609"
"4","right","0","129","100","92","-31","616","100","97","-20","850","0","0","616"
"4","right","0","149","100","107","21","608","100","117","38","850","0","0","608"
"4","right","0","90","100","42","-89","642","100","58","-87","850","0","0","642"
"4","left","0","-53","100","-8","78","746","100","-21","66","850","0","0","746"
"4","left","0","-192","100","-148","-140","636","100","-160","-145","850","0","0","636"
"4","left","0","-117","100","-86","-152","627","100","-85","-150","850","0","0","627"
"4","left","0","72","100","118","-13","595","100","104","-5","850","0","0","595"
"5","left","0","85","-25","121","59","527","100","117","78","700","0","1","527"
"5","left","0","-157","100","-126","147","670","100","-125","149","700","0","0","670"
"5","right","0","159","100","120","-100","689","100","127","-103","700","0","0","689"
"5","left","0","-172","100","-137","-142","691","100","-140","-152","700","0","0","691"
"5","left","0","39","-700","86","151","704","100","71","159","700","1","0","704"
"5","right","0","139","100","96","-10","565","100","107","19","700","0","0","565"
"5","right","0","134","100","97","-93","564","100","102","-115","700","0","0","564"
"5","right","0","184","100","137","-82","505","100","152","-96","700","0","0","505"
"5","right","0","171","100","127","98","548","100","139","89","700","0","0","548"
"5","left","0","-78","100","-25","94","534","100","-46","98","700","0","0","534"
"5","left","0","-53","100","-3","-42","571","100","-21","-38","700","0","0","571"
"5","right","0","-30","100","-52","102","589","100","-62","118","700","0","0","589"
"5","right","0","3","100","-28","-142","601","100","-29","-141","700","0","0","602"
"5","left","0","23","100","70","-54","561","100","55","-46","700","0","0","561"
"5","right","0","-42","100","-90","110","585","100","-74","101","700","0","0","585"
"5","right","0","-115","100","-170","-20","596","100","-147","-12","700","0","0","596"
"5","right","0","109","100","56","-59","559","100","77","-54","700","0","0","559"
"5","right","0","68","100","41","-165","564","100","36","-141","700","0","0","564"
"5","left","0","79","100","126","-28","589","100","111","-51","700","0","0","589"
"5","left","0","53","100","101","160","581","100","85","156","700","0","0","581"
"5","left","0","-105","100","-57","-54","618","100","-73","-65","700","0","0","618"
"5","left","0","-47","100","5","-49","546","100","-15","-57","700","0","0","546"
"5","right","0","-128","100","-164","-127","592","100","-160","-134","700","0","0","592"
"5","right","0","151","100","95","-54","552","100","119","-43","700","0","0","553"
"5","right","0","168","100","132","156","549","100","136","157","700","0","0","549"
"5","left","0","-44","100","4","-4","565","100","-12","14","700","0","0","565"
"5","left","0","-107","100","-60","-27","665","100","-75","-21","700","0","0","665"
"5","right","0","7","100","-30","-8","585","100","-25","2","700","0","0","585"
"5","left","0","66","100","109","116","643","100","98","112","700","0","0","643"
"5","left","0","57","100","98","80","573","100","89","61","700","0","0","573"
"6","right","0","-27","0","-55","41","645","100","-59","75","700","0","0","645"
"6","left","0","-4","100","10","-44","606","100","28","-65","700","0","0","606"
"6","right","0","-6","100","-45","48","610","100","-38","69","700","0","0","610"
"6","right","0","69","100","27","134","568","100","37","145","700","0","0","568"
"6","right","0","-35","100","-69","-70","644","100","-67","-62","700","0","0","644"
"6","left","0","1","100","32","-136","542","100","33","-139","700","0","0","542"
"6","left","0","93","100","142","24","624","100","125","19","700","0","0","624"
"6","right","0","52","100","0","-65","592","100","20","-72","700","0","0","592"
"6","right","0","-12","100","-48","130","591","100","-44","130","700","0","0","591"
"6","left","0","-160","100","-105","-70","576","100","-128","-73","700","0","0","576"
"6","left","0","-130","100","-95","8","601","100","-98","20","700","0","0","601"
"6","left","0","114","0","135","-101","552","100","146","-132","700","0","0","553"
"6","right","0","-60","100","-108","74","608","100","-92","87","700","0","0","609"
"6","left","0","-120","100","-77","-69","593","100","-88","-57","700","0","0","593"
"6","right","0","-25","100","-74","139","579","100","-57","143","700","0","0","579"
"6","left","0","-179","100","-123","-98","629","100","-147","-103","700","0","0","629"
"6","left","0","23","100","71","-46","572","100","55","-46","700","0","0","572"
"6","right","0","141","100","100","7","605","100","109","-3","700","0","0","605"
"6","left","0","-134","100","-90","-143","573","100","-102","-139","700","0","0","573"
"6","left","0","-46","100","4","105","698","100","-14","109","700","0","0","698"
"6","left","0","119","100","150","-73","598","100","151","-82","700","0","0","598"
"6","right","0","-91","100","-130","-77","579","100","-123","-72","700","0","0","579"
"6","right","0","45","100","1","70","591","100","13","89","700","0","0","591"
"6","left","0","83","100","141","128","505","100","115","111","700","0","0","505"
"6","left","0","111","100","144","54","683","100","143","52","700","0","0","683"
"6","right","0","33","100","-2","-58","615","100","1","-52","700","0","0","615"
"6","right","0","124","100","80","-99","654","100","92","-90","700","0","0","654"
"6","right","0","81","100","28","87","635","100","49","75","700","0","0","635"
"6","left","0","-153","100","-103","87","605","100","-121","102","700","0","0","605"
"6","right","0","124","100","75","106","584","100","92","113","700","0","0","584"
"7","left","0","-134","100","-75","-131","672","100","-102","-121","700","0","0","672"
"7","right","0","47","100","3","-152","609","100","15","-153","700","0","0","609"
"7","left","0","-84","100","-39","-58","631","100","-52","-62","700","0","0","631"
"7","left","0","-107","100","-62","-44","542","100","-75","-38","700","0","0","542"
"7","right","0","57","100","12","84","609","100","25","72","700","0","0","610"
"7","left","0","75","100","109","-66","591","100","107","-71","700","0","0","591"
"7","right","0","-66","100","-90","-65","582","100","-98","-69","700","0","0","582"
"7","left","0","-86","100","-34","-32","630","100","-54","-12","700","0","0","631"
"7","left","0","-89","100","-47","-113","600","100","-57","-114","700","0","0","600"
"7","left","0","-154","100","-120","54","596","100","-122","48","700","0","0","596"
"7","right","0","-93","100","-127","-55","591","100","-125","-81","700","0","0","591"
"7","right","0","177","100","145","-158","641","100","145","-157","700","0","0","641"
"7","right","0","172","100","135","-128","655","100","140","-115","700","0","0","655"
"7","right","0","-5","0","-62","14","530","100","-37","43","700","0","0","530"
"7","right","0","-3","100","-36","-133","576","100","-35","-138","700","0","0","576"
"7","left","0","-48","100","0","127","571","100","-16","132","700","0","0","571"
