"block","pen_x","points","poke_x","poke_y","targ_x","targ_y","time_limit","trial_time"
"1","111","0","135","-203","143","14","i","587"
"1","96","0","135","-203","128","-56","i","702"
"1","-126","0","135","-203","-94","138","i","492"
"1","-18","0","139","-229","14","139","i","488"
"1","88","0","242","-237","120","-60","i","920"
"1","4","0","254","-23","-28","145","i","1757"
"1","-42","0","86","-3","-10","76","i","1152"
"1","98","0","-72","-300","66","-158","i","1157"
"1","82","0","10","-136","50","39","i","1042"
