"block","pen_x","points","poke_x","poke_y","targ_x","targ_y","time_limit","trial_time"
"1","29","100","-25","-126","-3","-134","i","836"
"1","-41","100","11","-54","-9","-56","i","749"
"1","35","100","78","144","67","155","i","707"
"1","-67","100","-116","57","-99","67","i","726"
"1","-90","100","-35","-30","-58","-27","i","2355"
"1","-41","100","-3","91","-9","105","i","662"
"1","-119","100","-77","25","-87","35","i","584"
"1","123","100","66","87","91","91","i","540"
"1","-93","100","-50","47","-61","65","i","579"
"1","32","100","-14","82","0","104","i","472"
"1","-186","100","-151","100","-154","105","i","542"
"1","-112","100","-64","-25","-80","-31","i","509"
"1","-189","100","-138","-57","-157","-48","i","546"
"1","84","100","31","147","52","154","i","531"
"1","-120","100","-161","-82","-152","-83","i","581"
"1","137","100","92","-98","105","-96","i","591"
"1","18","100","-32","-31","-14","-15","i","531"
"1","-91","100","-153","164","-123","158","i","578"
"1","-91","100","-146","-62","-123","-69","i","642"
"1","41","100","-7","-57","9","-64","i","518"
"1","12","100","66","135","44","156","i","554"
"1","136","100","75","94","104","95","i","539"
"1","-35","100","16","-80","-3","-70","i","617"
"1","-44","100","-1","-128","-12","-127","i","558"
"1","61","100","5","4","29","15","i","498"
"1","190","100","141","123","158","133","i","880"
"1","-42","100","-74","-136","-74","-153","i","672"
"1","-123","100","-79","-138","-91","-129","i","620"
"1","-188","100","-133","-119","-156","-116","i","566"
"1","-173","100","-138","131","-141","141","i","546"
"2","77","100","28","100","45","105","850","596"
"2","86","100","35","-91","54","-110","850","541"
"2","190","0","121","-88","158","-84","850","624"
"2","88","100","127","-10","120","-10","850","589"
"2","-44","100","-11","79","-12","90","850","494"
"2","-109","100","-161","46","-141","47","850","590"
"2","34","100","68","125","66","146","850","526"
"2","98","100","47","104","66","114","850","520"
"2","-10","100","25","24","22","29","850","519"
"2","22","100","-22","-2","-10","-10","850","525"
"2","-21","100","28","-82","11","-73","850","564"
"2","-146","100","-95","73","-114","75","850","648"
"2","-16","100","13","88","16","94","850","502"
"2","-16","100","29","-112","16","-98","850","612"
"2","22","100","41","152","54","155","850","633"
"2","44","100","89","107","76","119","850","478"
"2","100","100","126","-69","132","-75","850","612"
"2","-71","100","-110","-22","-103","-18","850","637"
"2","141","100","92","-116","109","-115","850","567"
"2","23","100","-37","-113","-9","-105","850","547"
"2","-91","100","-41","-105","-59","-102","850","604"
"2","-50","100","-99","116","-82","122","850","555"
"2","-97","100","-148","-57","-129","-61","850","546"
"2","186","100","146","-18","154","-2","850","516"
"2","-74","100","-122","-125","-106","-123","850","582"
"2","54","100","106","24","86","23","850","518"
"2","-76","100","-40","-54","-44","-51","850","506"
"2","44","100","7","138","12","138","850","519"
"2","2","100","47","34","34","45","850","479"
"2","60","100","15","-75","28","-61","850","507"
"3","22","100","-25","-138","-10","-130","850","530"
"3","73","100","104","77","105","82","850","534"
"3","174","100","145","103","142","114","850","570"
"3","-91","0","-35","-177","-59","-153","850","583"
"3","34","100","-8","-117","2","-141","850","601"
"3","-187","100","-152","102","-155","95","850","526"
"3","-159","100","-113","-135","-127","-131","850","560"
"3","-58","100","-102","-78","-90","-70","850","523"
"3","55","100","15","-112","23","-106","850","533"
"3","14","100","-41","129","-18","136","850","647"
"3","-109","100","-62","-49","-77","-44","850","466"
"3","-97","100","-131","-76","-129","-68","850","552"
"3","-17","100","17","39","15","32","850","538"
"3","-42","100","-5","-34","-10","-26","850","464"
"3","114","-700","149","137","146","141","850","1309"
"3","85","100","34","-35","53","-23","850","558"
"3","-49","100","-11","9","-17","16","850","495"
"3","-124","100","-92","-46","-92","-35","850","551"
"3","73","100","100","38","105","39","850","502"
"3","111","100","145","-152","143","-152","850","683"
"3","-85","100","-125","-120","-117","-132","850","544"
"3","-102","100","-61","-117","-70","-107","850","542"
"3","68","100","23","-49","36","-38","850","458"
"3","175","100","121","-109","143","-111","850","479"
"3","108","100","57","83","76","86","850","584"
"3","-19","100","-52","116","-51","122","850","582"
"3","18","100","-34","78","-14","81","850","464"
"3","-36","100","-5","-24","-4","-10","850","479"
"3","6","100","-38","-48","-26","-47","850","488"
"3","-181","100","-134","112","-149","118","850","514"
"4","65","100","25","27","33","45","850","562"
"4","15","100","-35","132","-17","134","850","454"
"4","-66","100","-20","-151","-34","-139","850","548"
"4","124","100","80","-29","92","-45","850","510"
"4","-76","100","-46","121","-44","132","850","464"
"4","80","100","30","-76","48","-85","850","474"
"4","-69","100","-31","-106","-37","-101","850","514"
"4","192","100","156","-119","160","-117","850","488"
"4","86","100","132","97","118","86","850","513"
"4","-174","100","-139","-90","-142","-84","850","521"
"4","-85","100","-50","101","-53","91","850","463"
"4","92","100","118","-103","124","-99","850","453"
"4","180","100","138","-122","148","-123","850","497"
"4","155","100","123","118","123","144","850","537"
"4","-121","100","-90","5","-89","22","850","462"
"4","-99","100","-148","112","-131","109","850","488"
"4","-108","100","-166","-139","-140","-128","850","570"
"4","-35","100","-80","-68","-67","-48","850","442"
"4","-175","100","-125","95","-143","78","850","466"
"4","-14","100","11","89","18","83","850","453"
"4","99","100","126","105","131","113","850","448"
"4","151","100","115","-137","119","-142","850","482"
"4","-83","100","-125","117","-115","111","850","489"
"4","-45","100","-3","-28","-13","-21","850","481"
"4","-130","100","-88","-12","-98","-17","850","476"
"4","7","100","37","140","39","131","850","520"
"4","23","100","-8","-137","-9","-126","850","563"
"4","-97","100","-143","-74","-129","-89","850","517"
"4","58","100","20","-130","26","-138","850","513"
"4","-92","100","-61","119","-60","131","850","464"
"5","-175","100","-140","122","-143","128","700","523"
"5","-31","100","3","-31","1","-15","700","489"
"5","-63","100","-113","-136","-95","-136","700","564"
"5","92","100","126","-104","124","-101","700","486"
"5","66","100","96","-76","98","-80","700","491"
"5","23","100","-17","79","-9","67","700","460"
"5","-95","100","-154","47","-127","33","700","508"
"5","-24","100","13","124","8","103","700","555"
"5","-99","100","-134","-96","-131","-93","700","600"
"5","-86","100","-116","-154","-118","-159","700","527"
"5","-112","100","-148","-80","-144","-83","700","586"
"5","115","100","96","132","83","157","700","557"
"5","135","100","103","-1","103","22","700","465"
"5","180","100","145","94","148","111","700","486"
"5","-144","100","-100","-1","-112","4","700","517"
