"block","pen_side","pen_val","pen_x","points","poke_x","poke_y","release_time","targ_val","targ_x","targ_y","time_limit","too_slow","too_soon","trial_time"
"3","right","0","123","100","78","-124","614","100","91","-125","850","0","0","614"
"3","left","0","-144","100","-93","99","801","100","-112","104","850","0","0","801"
"3","right","0","64","100","14","149","756","100","32","147","850","0","0","756"
"4","left","0","31","100","75","-171","762","100","63","-156","850","0","0","762"
"4","left","0","19","100","48","-144","759","100","51","-151","850","0","0","759"
"4","right","0","-18","100","-66","104","691","100","-50","105","850","0","0","691"
"4","left","0","37","100","86","41","761","100","69","29","850","0","0","761"
"4","left","0","-20","100","28","54","784","100","12","37","850","0","0","784"
"4","left","0","-178","100","-127","-95","727","100","-146","-103","850","0","0","727"
"4","left","0","27","100","63","-55","760","100","59","-57","850","0","0","760"
"4","left","0","1","100","38","-132","782","100","33","-135","850","0","0","782"
"4","left","0","-24","100","23","-81","770","100","8","-83","850","0","0","770"
"4","left","0","68","-700","114","40","882","100","100","41","850","1","0","882"
"4","left","0","9","100","54","148","745","100","41","149","850","0","0","745"
"4","right","0","-126","100","-168","-42","727","100","-158","-53","850","0","0","727"
"4","right","0","34","100","-16","-61","764","100","2","-65","850","0","0","764"
"4","left","0","-148","100","-108","13","832","100","-116","14","850","0","0","832"
"4","right","0","171","0","109","-95","715","100","139","-124","850","0","0","715"
"4","right","0","-71","100","-124","108","788","100","-103","103","850","0","0","788"
"4","right","0","105","-700","46","-64","883","100","73","-56","850","1","0","883"
"4","left","0","-141","100","-99","-157","799","100","-109","-153","850","0","0","799"
"4","right","0","118","100","65","139","849","100","86","148","850","0","0","849"
"4","right","0","-14","100","-52","144","659","100","-46","147","850","0","0","659"
"4","right","0","140","100","83","61","812","100","108","62","850","0","0","812"
"4","left","0","-13","100","39","-78","827","100","19","-76","850","0","0","827"
"4","right","0","158","100","106","33","796","100","126","33","850","0","0","797"
"4","right","0","-82","100","-135","-31","805","100","-114","-35","850","0","0","805"
"4","right","0","-120","100","-162","130","699","100","-152","133","850","0","0","699"
"4","right","0","33","100","-2","-87","745","100","1","-99","850","0","0","745"
"4","left","0","-25","100","21","-25","742","100","7","-1","850","0","0","742"
"4","right","0","53","100","-7","45","757","100","21","39","850","0","0","757"
"4","right","0","12","100","-34","-52","667","100","-20","-55","850","0","0","667"
"4","left","0","-2","100","46","-156","744","100","30","-148","850","0","0","744"
"5","left","0","-74","-700","-37","-91","791","100","-42","-87","700","1","0","792"
"5","left","0","-59","100","-2","-66","672","100","-27","-85","700","0","0","672"
"5","left","0","-35","-700","-1","-127","742","100","-3","-113","700","1","0","742"
"5","left","0","19","100","55","-67","579","100","51","-54","700","0","0","579"
"5","right","0","-28","-700","-69","-122","701","100","-60","-135","700","1","0","701"
"5","right","0","122","100","65","-91","595","100","90","-73","700","0","0","595"
"5","left","0","-1","100","38","-136","693","100","31","-129","700","0","0","694"
"5","right","0","123","-700","58","-65","749","100","91","-46","700","1","0","749"
"5","left","0","86","-700","116","91","712","100","118","105","700","1","0","712"
"5","left","0","82","100","119","44","690","100","114","41","700","0","0","690"
"5","left","0","-125","-700","-76","-135","702","100","-93","-155","700","1","0","702"
"5","right","0","13","100","-34","-92","648","100","-19","-95","700","0","0","648"
"5","left","0","-144","100","-104","-106","613","100","-112","-107","700","0","0","613"
"5","right","0","18","100","-36","103","597","100","-14","123","700","0","0","597"
"5","right","0","-12","100","-52","-112","685","100","-44","-108","700","0","0","685"
"5","right","0","122","100","72","49","665","100","90","71","700","0","0","665"
"5","left","0","60","100","99","7","589","100","92","-2","700","0","0","589"
"5","right","0","94","100","45","137","605","100","62","120","700","0","0","605"
"5","left","0","-76","100","-46","60","639","100","-44","64","700","0","0","639"
"5","right","0","-3","-700","-33","27","794","100","-35","34","700","1","0","794"
"5","right","0","-127","-700","-153","-22","716","100","-159","-14","700","1","0","716"
"5","right","0","144","100","100","2","591","100","112","19","700","0","0","591"
"5","right","0","23","100","-35","121","646","100","-9","123","700","0","0","646"
"5","right","0","-127","-700","-149","-99","702","100","-159","-130","700","1","0","702"
"5","left","0","86","100","104","101","684","100","118","99","700","0","0","684"
"5","left","0","-43","0","-45","-25","687","100","-11","-34","700","0","0","687"
"5","left","0","12","100","27","110","639","100","44","101","700","0","0","639"
"5","right","0","123","-700","100","-138","721","100","91","-130","700","1","0","721"
"5","right","0","-34","-700","-77","-105","767","100","-66","-107","700","1","0","767"
"5","left","0","2","100","24","30","637","100","34","21","700","0","0","637"
"6","left","0","-155","100","-122","115","624","100","-123","123","700","0","0","624"
"6","left","0","75","100","83","112","668","100","107","123","700","0","0","668"
"6","left","0","-166","-700","-149","-88","715","100","-134","-100","700","1","0","715"
"6","left","0","56","-700","71","120","703","100","88","111","700","1","0","703"
"6","left","0","104","100","123","42","625","100","136","48","700","0","0","625"
"6","right","0","-50","100","-70","-83","606","100","-82","-86","700","0","0","606"
"6","left","0","-31","-25","-14","-84","882","100","1","-59","700","0","1","882"
"6","right","0","166","100","151","95","614","100","134","96","700","0","0","614"
"6","left","0","-2","100","29","-41","618","100","30","-68","700","0","0","618"
"6","left","0","-87","100","-61","-37","568","100","-55","-51","700","0","0","568"
"6","right","0","117","100","100","170","533","100","85","150","700","0","0","533"
"6","left","0","45","0","64","174","547","100","77","138","700","0","0","547"
"6","right","0","91","100","85","-92","635","100","59","-105","700","0","0","635"
"6","right","0","44","100","17","72","541","100","12","57","700","0","0","542"
