"block","pen_side","pen_val","pen_x","points","poke_x","poke_y","release_time","targ_val","targ_x","targ_y","time_limit","too_slow","too_soon","trial_time"
"1","left","0","-76","100","-29","-122","1357","100","-44","-117","i","0","0","1357"
"1","left","0","-106","100","-67","-81","1236","100","-74","-81","i","0","0","1236"
"1","right","0","154","100","103","106","1276","100","122","110","i","0","0","1276"
"1","left","0","-136","100","-102","42","1157","100","-104","34","i","0","0","1157"
"1","left","0","-114","100","-79","-103","1146","100","-82","-105","i","0","0","1146"
"1","right","0","-51","100","-95","156","1199","100","-83","155","i","0","0","1199"
"1","right","0","-122","100","-172","106","1147","100","-154","102","i","0","0","1147"
"1","left","0","-96","100","-56","-122","1188","100","-64","-115","i","0","0","1188"
"1","left","0","13","100","43","123","1112","100","45","120","i","0","0","1112"
"1","right","0","71","100","11","105","1095","100","39","115","i","0","0","1096"
"1","right","0","153","100","101","132","1472","100","121","129","i","0","0","1472"
"1","right","0","166","100","123","118","1157","100","134","118","i","0","0","1157"
"1","right","0","-125","100","-170","-63","1247","100","-157","-62","i","0","0","1247"
"1","right","0","68","100","13","-38","1594","100","36","-32","i","0","0","1594"
"1","left","0","-10","100","22","105","1092","100","22","90","i","0","0","1092"
"1","left","0","37","100","86","-54","1117","100","69","-53","i","0","0","1117"
"1","right","0","54","100","10","-36","1119","100","22","-33","i","0","0","1119"
"1","left","0","-3","100","36","-25","1107","100","29","-15","i","0","0","1107"
"1","left","0","62","100","102","-14","1062","100","94","-7","i","0","0","1062"
"1","right","0","68","100","11","139","1238","100","36","151","i","0","0","1238"
"1","right","0","-88","100","-140","37","1088","100","-120","43","i","0","0","1088"
"1","right","0","-2","100","-50","-3","1144","100","-34","-13","i","0","0","1144"
"1","left","0","-179","100","-127","-83","1165","100","-147","-95","i","0","0","1165"
"1","left","0","128","100","172","-102","1121","100","160","-94","i","0","0","1121"
"1","right","0","55","100","10","-82","1155","100","23","-96","i","0","0","1155"
"1","right","0","43","100","-1","-160","1167","100","11","-157","i","0","0","1167"
