"block","pen_side","pen_val","pen_x","points","poke_x","poke_y","release_time","targ_val","targ_x","targ_y","time_limit","too_slow","too_soon","trial_time"
"1","left","0","101","100","152","90","986","100","133","92","i","0","0","986"
"1","left","0","61","100","97","-81","1186","100","93","-83","i","0","0","1186"
"1","right","0","-105","0","-170","-25","1098","100","-137","-35","i","0","0","1098"
"1","right","0","-116","100","-163","-70","980","100","-148","-59","i","0","0","980"
"1","left","0","-78","100","-43","145","1015","100","-46","135","i","0","0","1016"
"1","right","0","-73","100","-127","11","1171","100","-105","11","i","0","0","1171"
"1","left","0","-185","100","-138","-75","1101","100","-153","-62","i","0","0","1101"
"1","right","0","-61","100","-108","-78","871","100","-93","-73","i","0","0","871"
"1","right","0","-88","100","-138","-106","960","100","-120","-112","i","0","0","960"
"1","left","0","-131","100","-88","19","913","100","-99","11","i","0","0","913"
"1","left","0","-137","100","-92","105","872","100","-105","114","i","0","0","872"
"1","left","0","-18","100","34","-63","854","100","14","-62","i","0","0","854"
"1","left","0","-55","100","-10","12","801","100","-23","7","i","0","0","801"
"1","right","0","-116","100","-164","142","885","100","-148","133","i","0","0","885"
"1","left","0","-140","100","-97","150","829","100","-108","145","i","0","0","829"
"1","right","0","-90","100","-139","110","925","100","-122","106","i","0","0","925"
"1","right","0","104","100","54","-16","895","100","72","-21","i","0","0","895"
"1","left","0","-36","100","7","-51","931","100","-4","-60","i","0","0","931"
"1","left","0","-164","100","-113","-118","850","100","-132","-115","i","0","0","850"
"1","right","0","155","100","101","127","962","100","123","115","i","0","0","962"
"1","left","0","-87","100","-44","98","961","100","-55","91","i","0","0","961"
"1","left","0","4","100","45","-155","822","100","36","-152","i","0","0","822"
"1","right","0","186","100","134","83","791","100","154","73","i","0","0","791"
"1","right","0","154","100","97","148","917","100","122","150","i","0","0","917"
"1","right","0","183","100","140","136","1090","100","151","131","i","0","0","1090"
"1","right","0","24","100","-23","-73","821","100","-8","-79","i","0","0","821"
"1","right","0","182","100","132","36","1061","100","150","28","i","0","0","1061"
"1","left","0","-23","100","35","-93","1006","100","9","-97","i","0","0","1006"
"1","left","0","80","100","119","-104","916","100","112","-112","i","0","0","916"
"1","right","0","63","100","10","-33","924","100","31","-22","i","0","0","924"
"2","left","0","108","-700","158","122","1027","100","140","106","850","1","0","1027"
"2","right","0","91","100","39","73","550","100","59","85","850","0","0","550"
"2","left","0","-10","0","50","53","624","100","22","23","850","0","0","624"
"2","left","0","-71","-25","-28","-52","602","100","-39","-46","850","0","1","602"
"2","right","0","146","-700","100","-53","918","100","114","-55","850","1","0","918"
"2","right","0","-101","100","-146","-70","583","100","-133","-77","850","0","0","583"
"2","right","0","169","100","112","-37","600","100","137","-44","850","0","0","600"
"2","right","0","133","100","83","73","725","100","101","60","850","0","0","725"
"2","left","0","-153","100","-109","-6","673","100","-121","-3","850","0","0","673"
