,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial,standardPokePosX,standardPokePosY,absolutePokePosX,absolutePokePosY
0,"[0.0, 0.0]",23.8537208838,"[-20.0, -13.0]",0.799571909942,0.29910184606,1,-20.0,-13.0,20.0,-13.0
1,"[100.0, -100.0]",5.09901951359,"[99.0, -105.0]",0.816787154647,0.28338587808,2,-1.0,-5.0,1.0,-5.0
2,"[100.0, 0.0]",27.0,"[100.0, 27.0]",0.683139083325,0.248955989489,3,,,0.0,27.0
3,"[-100.0, 0.0]",12.1655250606,"[-112.0, -2.0]",0.816426607082,0.299590387964,4,-12.0,-2.0,12.0,-2.0
4,"[-100.0, 100.0]",8.54400374532,"[-97.0, 108.0]",0.816545587848,0.266215401352,5,3.0,8.0,3.0,8.0
5,"[0.0, 100.0]",15.8113883008,"[9.0, 113.0]",0.766457719263,0.249272670364,6,9.0,13.0,9.0,13.0
6,"[100.0, 0.0]",13.9283882772,"[87.0, -5.0]",0.816458155052,0.366096090176,7,-13.0,-5.0,13.0,-5.0
7,"[100.0, -100.0]",16.1554944214,"[94.0, -85.0]",0.58253549668,0.199086853187,8,-6.0,15.0,6.0,15.0
8,"[0.0, 0.0]",14.7648230602,"[-13.0, 7.0]",0.79948387621,0.299089827691,9,-13.0,7.0,13.0,7.0
9,"[100.0, 0.0]",14.4222051019,"[88.0, 8.0]",0.967115658568,0.483007543604,10,-12.0,8.0,12.0,8.0
10,"[100.0, 0.0]",20.591260282,"[90.0, -18.0]",0.782752666506,0.299222629401,11,-10.0,-18.0,10.0,-18.0
11,"[-100.0, -100.0]",9.48683298051,"[-97.0, -91.0]",0.849664585548,0.315618830267,12,3.0,9.0,3.0,9.0
12,"[-100.0, -100.0]",2.2360679775,"[-101.0, -98.0]",0.766223062994,0.282901843078,13,-1.0,2.0,1.0,2.0
13,"[0.0, -100.0]",3.60555127546,"[-2.0, -97.0]",0.849814513233,0.282528375858,14,-2.0,3.0,2.0,3.0
14,"[-100.0, 100.0]",14.7648230602,"[-107.0, 87.0]",0.800433017663,0.199622266344,15,-7.0,-13.0,7.0,-13.0
15,"[100.0, -100.0]",2.82842712475,"[102.0, -102.0]",2.26710114651,0.315664499649,16,2.0,-2.0,2.0,-2.0
16,"[0.0, 0.0]",4.0,"[-4.0, 0.0]",0.715901739895,0.148819612339,17,-4.0,0.0,4.0,0.0
17,"[0.0, -100.0]",6.40312423743,"[4.0, -95.0]",0.699155807961,0.165109752212,18,4.0,5.0,4.0,5.0
18,"[0.0, 100.0]",6.0,"[0.0, 94.0]",0.749476530007,0.21564980736,19,0.0,-6.0,0.0,-6.0
19,"[-100.0, -100.0]",13.6014705087,"[-108.0, -89.0]",0.783361691399,0.249601670075,20,-8.0,11.0,8.0,11.0
20,"[0.0, 0.0]",9.21954445729,"[-9.0, 2.0]",0.799893999007,0.282264575246,21,-9.0,2.0,9.0,2.0
21,"[-100.0, 100.0]",13.0384048104,"[-113.0, 101.0]",0.800293305423,0.299372256733,22,-13.0,1.0,13.0,1.0
22,"[0.0, -100.0]",13.6014705087,"[11.0, -92.0]",0.732572557987,0.265293000499,23,11.0,8.0,11.0,8.0
23,"[100.0, 100.0]",6.40312423743,"[95.0, 96.0]",0.716685029562,0.249396458385,24,-5.0,-4.0,5.0,-4.0
24,"[0.0, -100.0]",21.3775583264,"[4.0, -79.0]",0.632365874015,0.16547871253,25,4.0,21.0,4.0,21.0
25,"[100.0, -100.0]",16.7630546142,"[84.0, -105.0]",0.78353535512,0.266611703206,26,-16.0,-5.0,16.0,-5.0
26,"[0.0, 100.0]",4.472135955,"[2.0, 96.0]",0.716566950316,0.215546149993,27,2.0,-4.0,2.0,-4.0
27,"[100.0, 100.0]",5.38516480713,"[105.0, 98.0]",0.832878993358,0.282443947624,28,5.0,-2.0,5.0,-2.0
28,"[-100.0, -100.0]",7.07106781187,"[-105.0, -95.0]",0.750639295904,0.283101345995,29,-5.0,5.0,5.0,5.0
29,"[0.0, 100.0]",16.4012194669,"[-10.0, 87.0]",0.749329306418,0.165597993648,30,-10.0,-13.0,10.0,-13.0
30,"[-100.0, 100.0]",2.2360679775,"[-101.0, 98.0]",0.783693996142,0.265807982651,31,-1.0,-2.0,1.0,-2.0
31,"[-100.0, 0.0]",13.8924439894,"[-112.0, 7.0]",0.849291418795,0.282360120327,32,-12.0,7.0,12.0,7.0
32,"[0.0, 0.0]",4.472135955,"[-4.0, -2.0]",0.816532668192,0.31541061413,33,-4.0,-2.0,4.0,-2.0
33,"[100.0, 0.0]",16.4012194669,"[87.0, -10.0]",0.75001164258,0.249726359383,34,-13.0,-10.0,13.0,-10.0
34,"[0.0, -100.0]",15.8113883008,"[-5.0, -85.0]",0.799426188576,0.315887137782,35,-5.0,15.0,5.0,15.0
35,"[-100.0, 100.0]",7.61577310586,"[-103.0, 93.0]",0.833067379426,0.266049549449,36,-3.0,-7.0,3.0,-7.0
36,"[100.0, 100.0]",26.9258240357,"[75.0, 90.0]",0.683062166441,0.216141954763,37,,,25.0,-10.0
37,"[0.0, 100.0]",23.4307490277,"[-15.0, 118.0]",0.798997437349,0.282030820148,38,-15.0,18.0,15.0,18.0
38,"[-100.0, 0.0]",11.1803398875,"[-102.0, 11.0]",0.782732535969,0.28221259627,39,-2.0,11.0,2.0,11.0
39,"[100.0, -100.0]",12.3693168769,"[88.0, -97.0]",0.89912480081,0.24823339202,40,-12.0,3.0,12.0,3.0
40,"[100.0, 0.0]",5.0,"[105.0, 0.0]",0.899978697649,0.248717126669,41,5.0,0.0,5.0,0.0
41,"[100.0, 100.0]",18.1107702763,"[102.0, 82.0]",0.883011629805,0.315951735945,42,2.0,-18.0,2.0,-18.0
42,"[100.0, 100.0]",20.6155281281,"[87.0, 84.0]",0.549809195218,0.132621412165,43,-13.0,-16.0,13.0,-16.0
43,"[-100.0, 100.0]",7.07106781187,"[-93.0, 99.0]",0.64946303959,0.249166008434,44,7.0,-1.0,7.0,-1.0
44,"[0.0, 0.0]",28.319604517,"[21.0, 19.0]",0.699228818878,0.248845121125,45,,,21.0,19.0
45,"[0.0, 0.0]",17.0293863659,"[17.0, -1.0]",0.799708617502,0.232052017353,46,17.0,-1.0,17.0,-1.0
46,"[100.0, -100.0]",10.7703296143,"[90.0, -104.0]",0.750974004273,0.24980477849,47,-10.0,-4.0,10.0,-4.0
47,"[0.0, 0.0]",18.3847763109,"[13.0, 13.0]",0.782923926599,0.265647839406,48,13.0,13.0,13.0,13.0
48,"[100.0, 100.0]",11.1803398875,"[90.0, 105.0]",0.732700552326,0.132206782466,49,-10.0,5.0,10.0,5.0
49,"[100.0, 100.0]",2.0,"[98.0, 100.0]",0.749501167447,0.215651910519,50,-2.0,0.0,2.0,0.0
50,"[-100.0, 100.0]",16.4012194669,"[-113.0, 90.0]",0.716089825612,0.115249629598,51,-13.0,-10.0,13.0,-10.0
51,"[-100.0, 100.0]",11.1803398875,"[-95.0, 110.0]",0.833015701035,0.299253275967,52,5.0,10.0,5.0,10.0
52,"[-100.0, 0.0]",11.1803398875,"[-105.0, 10.0]",0.899348039879,0.398949785042,53,-5.0,10.0,5.0,10.0
53,"[100.0, 0.0]",13.416407865,"[94.0, -12.0]",0.833060469013,0.249371520593,54,-6.0,-12.0,6.0,-12.0
54,"[100.0, -100.0]",4.24264068712,"[97.0, -97.0]",0.816597566707,0.283106453717,55,-3.0,3.0,3.0,3.0
55,"[0.0, 100.0]",7.28010988928,"[-2.0, 93.0]",0.799554483383,0.249132056837,56,-2.0,-7.0,2.0,-7.0
56,"[100.0, -100.0]",10.6301458127,"[92.0, -93.0]",0.899774086894,0.299040853395,57,-8.0,7.0,8.0,7.0
57,"[-100.0, -100.0]",12.6491106407,"[-112.0, -96.0]",0.867213637335,0.282999491319,58,-12.0,4.0,12.0,4.0
58,"[0.0, 100.0]",11.401754251,"[-7.0, 91.0]",0.899949252955,0.282238134998,59,-7.0,-9.0,7.0,-9.0
59,"[-100.0, 100.0]",13.0384048104,"[-99.0, 113.0]",0.849503240548,0.299020422273,60,1.0,13.0,1.0,13.0
60,"[-100.0, 100.0]",3.16227766017,"[-99.0, 103.0]",0.783133945544,0.165798097616,61,1.0,3.0,1.0,3.0
61,"[-100.0, -100.0]",17.0293863659,"[-87.0, -89.0]",0.865792178665,0.282010088791,62,13.0,11.0,13.0,11.0
62,"[0.0, 100.0]",5.0,"[-3.0, 104.0]",0.766510299174,0.249231808353,63,-3.0,4.0,3.0,4.0
63,"[100.0, 0.0]",13.4536240471,"[91.0, -10.0]",0.783525740611,0.265600367333,64,-9.0,-10.0,9.0,-10.0
64,"[100.0, -100.0]",10.0498756211,"[90.0, -99.0]",0.783600554103,0.249426804483,65,-10.0,1.0,10.0,1.0
65,"[0.0, 100.0]",6.32455532034,"[2.0, 94.0]",0.850078013493,0.232502401457,66,2.0,-6.0,2.0,-6.0
66,"[-100.0, -100.0]",15.0332963784,"[-115.0, -99.0]",0.815555884619,0.198224243126,67,-15.0,1.0,15.0,1.0
67,"[100.0, 100.0]",3.16227766017,"[97.0, 101.0]",0.899892466725,0.265658956254,68,-3.0,1.0,3.0,1.0
68,"[-100.0, -100.0]",17.8044938148,"[-111.0, -86.0]",0.800551097025,0.200044707977,69,-11.0,14.0,11.0,14.0
69,"[-100.0, 0.0]",16.1554944214,"[-115.0, 6.0]",0.783150170115,0.199118100572,70,-15.0,6.0,15.0,6.0
70,"[100.0, 0.0]",11.0,"[100.0, -11.0]",0.866159937112,0.282320460188,71,0.0,-11.0,0.0,-11.0
71,"[-100.0, 0.0]",15.2643375225,"[-92.0, -13.0]",0.833548710449,0.299486430013,72,8.0,-13.0,8.0,-13.0
72,"[0.0, -100.0]",16.2788205961,"[-12.0, -89.0]",0.833240742679,0.266814511153,73,-12.0,11.0,12.0,11.0
73,"[0.0, -100.0]",16.9705627485,"[-12.0, -88.0]",0.983579762513,0.299842470675,74,-12.0,12.0,12.0,12.0
74,"[-100.0, 0.0]",5.38516480713,"[-95.0, -2.0]",0.933008760447,0.315669607488,75,5.0,-2.0,5.0,-2.0
75,"[-100.0, 100.0]",16.7630546142,"[-105.0, 84.0]",0.86735455133,0.132501830463,76,-5.0,-16.0,5.0,-16.0
76,"[-100.0, 0.0]",1.0,"[-101.0, 0.0]",0.96697865054,0.316571577336,77,-1.0,0.0,1.0,0.0
77,"[0.0, -100.0]",7.07106781187,"[7.0, -101.0]",0.782534835627,0.198476325953,78,7.0,-1.0,7.0,-1.0
78,"[0.0, -100.0]",8.0622577483,"[-7.0, -104.0]",0.832513939007,0.23187264509,79,-7.0,-4.0,7.0,-4.0
79,"[0.0, 100.0]",20.2237484162,"[-3.0, 80.0]",0.883871535771,0.26627789624,80,-3.0,-20.0,3.0,-20.0
80,"[100.0, 100.0]",10.1980390272,"[90.0, 98.0]",0.850991701125,0.283013312379,81,-10.0,-2.0,10.0,-2.0
81,"[-100.0, 100.0]",5.0,"[-104.0, 97.0]",0.84991756978,0.249021188472,82,-4.0,-3.0,4.0,-3.0
82,"[-100.0, -100.0]",8.24621125124,"[-102.0, -108.0]",0.866325789015,0.298860579613,83,-2.0,-8.0,2.0,-8.0
83,"[0.0, 0.0]",4.472135955,"[2.0, 4.0]",0.817063874914,0.265535769169,84,2.0,4.0,2.0,4.0
84,"[100.0, -100.0]",4.12310562562,"[99.0, -96.0]",0.816046529799,0.198970576515,85,-1.0,4.0,1.0,4.0
85,"[0.0, 0.0]",11.7046999107,"[11.0, -4.0]",0.851269623148,0.300237270305,86,11.0,-4.0,11.0,-4.0
86,"[0.0, -100.0]",2.2360679775,"[-2.0, -99.0]",0.816058548051,0.248673560563,87,-2.0,1.0,2.0,1.0
87,"[-100.0, 0.0]",5.65685424949,"[-104.0, 4.0]",0.833362126956,0.249400063884,88,-4.0,4.0,4.0,4.0
88,"[0.0, 100.0]",13.3416640641,"[3.0, 87.0]",0.900674854871,0.249382036505,89,3.0,-13.0,3.0,-13.0
89,"[-100.0, -100.0]",6.0827625303,"[-94.0, -99.0]",0.850219528424,0.265822404413,90,6.0,1.0,6.0,1.0
90,"[100.0, 100.0]",12.6491106407,"[96.0, 88.0]",0.78346084198,0.232440507389,91,-4.0,-12.0,4.0,-12.0
91,"[100.0, 0.0]",7.21110255093,"[94.0, 4.0]",0.783232495189,0.282861581887,92,-6.0,4.0,6.0,4.0
92,"[0.0, 100.0]",9.48683298051,"[-3.0, 91.0]",0.71670996747,0.232645118143,93,-3.0,-9.0,3.0,-9.0
93,"[0.0, -100.0]",7.0,"[-7.0, -100.0]",0.783882983029,0.249600768671,94,-7.0,0.0,7.0,0.0
94,"[100.0, 100.0]",10.295630141,"[91.0, 95.0]",0.900377703598,0.232845822931,95,-9.0,-5.0,9.0,-5.0
95,"[100.0, -100.0]",8.94427191,"[92.0, -96.0]",1.00022323907,0.299429343431,96,-8.0,4.0,8.0,4.0
96,"[100.0, 0.0]",4.24264068712,"[97.0, 3.0]",0.899934230139,0.265844638227,97,-3.0,3.0,3.0,3.0
97,"[0.0, 0.0]",4.472135955,"[-4.0, 2.0]",0.782600936014,0.198982594884,98,-4.0,2.0,4.0,2.0
98,"[0.0, 0.0]",13.416407865,"[12.0, -6.0]",0.699587563635,0.148851761129,99,12.0,-6.0,12.0,-6.0
99,"[100.0, 0.0]",4.12310562562,"[101.0, 4.0]",0.867125904071,0.266061567701,100,1.0,4.0,1.0,4.0
100,"[0.0, 100.0]",15.2970585408,"[-3.0, 115.0]",0.817463181331,0.23264902411,101,-3.0,15.0,3.0,15.0
101,"[100.0, 100.0]",7.07106781187,"[99.0, 93.0]",0.86719861452,0.216263038688,102,-1.0,-7.0,1.0,-7.0
102,"[100.0, 0.0]",5.0,"[97.0, 4.0]",0.883412138093,0.299199794768,103,-3.0,4.0,3.0,4.0
103,"[100.0, 100.0]",9.05538513814,"[101.0, 109.0]",0.983273597551,0.299167345394,104,1.0,9.0,1.0,9.0
104,"[0.0, 0.0]",16.0,"[0.0, 16.0]",0.883128206828,0.199237682275,105,0.0,16.0,0.0,16.0
105,"[100.0, 0.0]",9.8488578018,"[91.0, -4.0]",0.932391623151,0.365268333117,106,-9.0,-4.0,9.0,-4.0
106,"[-100.0, -100.0]",16.9705627485,"[-112.0, -112.0]",0.949558494496,0.332480137586,107,-12.0,-12.0,12.0,-12.0
107,"[-100.0, 100.0]",4.472135955,"[-98.0, 96.0]",1.01693161402,0.316318893456,108,2.0,-4.0,2.0,-4.0
108,"[0.0, -100.0]",14.3178210633,"[-3.0, -114.0]",0.900138239958,0.316372675123,109,-3.0,-14.0,3.0,-14.0
109,"[-100.0, 0.0]",15.1327459504,"[-102.0, -15.0]",0.967313659261,0.249809585861,110,-2.0,-15.0,2.0,-15.0
110,"[-100.0, 0.0]",4.24264068712,"[-97.0, -3.0]",0.933438713429,0.332547740312,111,3.0,-3.0,3.0,-3.0
111,"[100.0, -100.0]",9.43398113206,"[95.0, -108.0]",0.699401581194,0.148194663227,112,-5.0,-8.0,5.0,-8.0
112,"[0.0, 100.0]",7.61577310586,"[7.0, 97.0]",0.699534082436,0.149440955953,113,7.0,-3.0,7.0,-3.0
113,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.833237738116,0.249114029459,114,0.0,0.0,0.0,0.0
114,"[-100.0, 0.0]",9.0,"[-100.0, 9.0]",0.882654988091,0.332656805869,115,0.0,9.0,0.0,9.0
115,"[-100.0, -100.0]",9.43398113206,"[-105.0, -108.0]",0.900170388864,0.299697350361,116,-5.0,-8.0,5.0,-8.0
116,"[-100.0, 0.0]",8.0622577483,"[-101.0, 8.0]",0.866494645481,0.299139102572,117,-1.0,8.0,1.0,8.0
117,"[100.0, -100.0]",6.32455532034,"[94.0, -102.0]",0.866443868261,0.232686881558,118,-6.0,-2.0,6.0,-2.0
118,"[-100.0, -100.0]",4.472135955,"[-98.0, -96.0]",0.966358508682,0.332399615319,119,2.0,4.0,2.0,4.0
119,"[-100.0, 100.0]",5.0,"[-100.0, 95.0]",0.899683950003,0.1991820978,120,0.0,-5.0,0.0,-5.0
120,"[0.0, 0.0]",12.2065556157,"[10.0, -7.0]",0.817389869946,0.216146461549,121,10.0,-7.0,10.0,-7.0
121,"[100.0, 100.0]",9.89949493661,"[93.0, 93.0]",0.883199414937,0.199317904073,122,-7.0,-7.0,7.0,-7.0
122,"[0.0, -100.0]",6.40312423743,"[-5.0, -96.0]",0.916525727604,0.266060966766,123,-5.0,4.0,5.0,4.0
123,"[100.0, -100.0]",9.43398113206,"[95.0, -108.0]",0.816573830671,0.216009753989,124,-5.0,-8.0,5.0,-8.0
124,"[0.0, 100.0]",2.82842712475,"[2.0, 102.0]",0.866616931162,0.249370018253,125,2.0,2.0,2.0,2.0
125,"[0.0, -100.0]",6.0827625303,"[1.0, -94.0]",0.782962084515,0.14896653546,126,1.0,6.0,1.0,6.0
126,"[100.0, -100.0]",8.0622577483,"[101.0, -108.0]",0.865855574841,0.131695706164,127,1.0,-8.0,1.0,-8.0
127,"[0.0, -100.0]",4.472135955,"[-4.0, -102.0]",0.933088681777,0.316036164179,128,-4.0,-2.0,4.0,-2.0
128,"[100.0, 0.0]",5.38516480713,"[102.0, 5.0]",0.949851138983,0.265645435778,129,2.0,5.0,2.0,5.0
129,"[100.0, 100.0]",12.2065556157,"[107.0, 90.0]",1.05010108848,0.298838045332,130,7.0,-10.0,7.0,-10.0
130,"[100.0, -100.0]",12.3693168769,"[88.0, -97.0]",0.900249408674,0.299346417305,131,-12.0,3.0,12.0,3.0
131,"[0.0, -100.0]",10.4403065089,"[-10.0, -103.0]",0.832845041761,0.282133876812,132,-10.0,-3.0,10.0,-3.0
132,"[0.0, 100.0]",10.4403065089,"[10.0, 97.0]",0.816065759049,0.282308742288,133,10.0,-3.0,10.0,-3.0
133,"[100.0, -100.0]",10.0,"[108.0, -106.0]",0.816786854295,0.149716774933,134,8.0,-6.0,8.0,-6.0
134,"[100.0, 0.0]",10.1980390272,"[102.0, 10.0]",0.90050810168,0.282762731775,135,2.0,10.0,2.0,10.0
135,"[0.0, 100.0]",5.0,"[-5.0, 100.0]",0.94976671075,0.283073703991,136,-5.0,0.0,5.0,0.0
136,"[0.0, -100.0]",8.94427191,"[4.0, -92.0]",0.95003622002,0.316097156727,137,4.0,8.0,4.0,8.0
137,"[-100.0, 100.0]",2.2360679775,"[-98.0, 101.0]",0.933425493306,0.283247367712,138,2.0,1.0,2.0,1.0
138,"[100.0, 0.0]",3.0,"[97.0, 0.0]",0.83281018876,0.165557131637,139,-3.0,0.0,3.0,0.0
139,"[100.0, 0.0]",12.0,"[88.0, 0.0]",0.816541681765,0.215343942866,140,-12.0,0.0,12.0,0.0
140,"[-100.0, 0.0]",4.24264068712,"[-103.0, -3.0]",0.817347205244,0.216188826016,141,-3.0,-3.0,3.0,-3.0
141,"[0.0, -100.0]",7.07106781187,"[1.0, -93.0]",0.815896902583,0.215555464034,142,1.0,7.0,1.0,7.0
142,"[0.0, 0.0]",10.0,"[-10.0, 0.0]",0.866112464922,0.299012610456,143,-10.0,0.0,10.0,0.0
143,"[100.0, 100.0]",15.8113883008,"[109.0, 113.0]",0.750179898227,0.149187370786,144,9.0,13.0,9.0,13.0
144,"[-100.0, 0.0]",14.8660687473,"[-89.0, -10.0]",0.866232347093,0.265610883245,145,11.0,-10.0,11.0,-10.0
145,"[0.0, 0.0]",5.09901951359,"[1.0, 5.0]",0.916879965574,0.299168547266,146,1.0,5.0,1.0,5.0
146,"[-100.0, -100.0]",3.60555127546,"[-97.0, -102.0]",0.816886906163,0.183379899128,147,3.0,-2.0,3.0,-2.0
147,"[0.0, 0.0]",2.2360679775,"[-2.0, -1.0]",0.833229325362,0.215764882043,148,-2.0,-1.0,2.0,-1.0
148,"[100.0, 100.0]",10.6301458127,"[92.0, 93.0]",0.782657121308,0.132095913985,149,-8.0,-7.0,8.0,-7.0
149,"[-100.0, 100.0]",16.1554944214,"[-115.0, 106.0]",0.799969113083,0.199404435465,150,-15.0,6.0,15.0,6.0
150,"[100.0, 100.0]",8.94427191,"[92.0, 96.0]",0.783192834933,0.132247644477,151,-8.0,-4.0,8.0,-4.0
151,"[-100.0, 0.0]",7.61577310586,"[-93.0, -3.0]",0.933072757558,0.282572542899,152,7.0,-3.0,7.0,-3.0
152,"[0.0, 100.0]",14.0,"[0.0, 114.0]",0.866010610363,0.281973132631,153,0.0,14.0,0.0,14.0
153,"[0.0, 0.0]",12.2065556157,"[10.0, 7.0]",0.867081436561,0.282882613828,154,10.0,7.0,10.0,7.0
154,"[-100.0, -100.0]",4.472135955,"[-104.0, -102.0]",0.866911678691,0.24959265627,155,-4.0,-2.0,4.0,-2.0
155,"[-100.0, -100.0]",9.8488578018,"[-96.0, -91.0]",0.866514175083,0.316222747439,156,4.0,9.0,4.0,9.0
156,"[-100.0, 0.0]",7.28010988928,"[-102.0, -7.0]",2.20172996726,0.332744839601,157,-2.0,-7.0,2.0,-7.0
157,"[100.0, -100.0]",6.32455532034,"[94.0, -102.0]",0.850227039773,0.232170397183,158,-6.0,-2.0,6.0,-2.0
158,"[0.0, -100.0]",19.2353840617,"[-19.0, -103.0]",0.999382862705,0.281972231227,159,-19.0,-3.0,19.0,-3.0
159,"[-100.0, 100.0]",5.83095189485,"[-105.0, 103.0]",0.849727080553,0.198941732757,160,-5.0,3.0,5.0,3.0
160,"[0.0, 0.0]",12.0415945788,"[8.0, 9.0]",0.983026322094,0.299086222192,161,8.0,9.0,8.0,9.0
161,"[-100.0, 100.0]",3.16227766017,"[-103.0, 101.0]",0.950257956749,0.28242531931,162,-3.0,1.0,3.0,1.0
162,"[-100.0, 0.0]",14.1421356237,"[-110.0, 10.0]",0.883196710842,0.249262154452,163,-10.0,10.0,10.0,10.0
163,"[-100.0, 100.0]",11.1803398875,"[-105.0, 90.0]",0.967535696458,0.232996051083,164,-5.0,-10.0,5.0,-10.0
164,"[-100.0, -100.0]",9.21954445729,"[-98.0, -91.0]",0.933929959428,0.299586782465,165,2.0,9.0,2.0,9.0
165,"[-100.0, -100.0]",11.6619037897,"[-94.0, -90.0]",0.933476871345,0.316995521076,166,6.0,10.0,6.0,10.0
166,"[100.0, 100.0]",8.60232526704,"[105.0, 93.0]",1.05026814213,0.349208943546,167,5.0,-7.0,5.0,-7.0
167,"[0.0, -100.0]",8.48528137424,"[-6.0, -94.0]",0.766512101865,0.199469634448,168,-6.0,6.0,6.0,6.0
168,"[0.0, 0.0]",5.38516480713,"[2.0, -5.0]",0.682787849917,0.149010101683,169,2.0,-5.0,2.0,-5.0
169,"[-100.0, -100.0]",11.1803398875,"[-102.0, -89.0]",0.733811038779,0.149127880461,170,-2.0,11.0,2.0,11.0
170,"[100.0, -100.0]",12.8062484749,"[90.0, -108.0]",0.883137821453,0.299153524451,171,-10.0,-8.0,10.0,-8.0
171,"[-100.0, -100.0]",11.1803398875,"[-102.0, -89.0]",0.849271588726,0.182415734744,172,-2.0,11.0,2.0,11.0
172,"[100.0, -100.0]",2.82842712475,"[102.0, -102.0]",0.900282158516,0.249543381506,173,2.0,-2.0,2.0,-2.0
173,"[-100.0, 100.0]",18.6815416923,"[-105.0, 82.0]",0.782804345014,0.182404017076,174,-5.0,-18.0,5.0,-18.0
174,"[0.0, -100.0]",5.65685424949,"[-4.0, -104.0]",0.932899995241,0.299456083914,175,-4.0,-4.0,4.0,-4.0
175,"[100.0, -100.0]",9.21954445729,"[93.0, -106.0]",0.932806252851,0.265713639325,176,-7.0,-6.0,7.0,-6.0
176,"[100.0, 0.0]",2.2360679775,"[101.0, -2.0]",0.966416196199,0.282470688224,177,1.0,-2.0,1.0,-2.0
177,"[100.0, 0.0]",4.24264068712,"[103.0, 3.0]",1.01701363863,0.265737375361,178,3.0,3.0,3.0,3.0
178,"[0.0, 100.0]",14.3178210633,"[-6.0, 113.0]",0.865913262358,0.299197090557,179,-6.0,13.0,6.0,13.0
179,"[-100.0, 0.0]",4.472135955,"[-96.0, -2.0]",0.916080150986,0.265610883245,180,4.0,-2.0,4.0,-2.0
180,"[0.0, 0.0]",4.472135955,"[-4.0, -2.0]",0.866681529325,0.266226818669,181,-4.0,-2.0,4.0,-2.0
181,"[100.0, 100.0]",12.0415945788,"[91.0, 92.0]",0.883173575625,0.282796983724,182,-9.0,-8.0,9.0,-8.0
182,"[0.0, 100.0]",10.1980390272,"[-2.0, 110.0]",0.765926212189,0.148461468518,183,-2.0,10.0,2.0,10.0
183,"[0.0, -100.0]",11.0,"[-11.0, -100.0]",0.834125285968,0.182412429713,184,-11.0,0.0,11.0,0.0
184,"[100.0, 100.0]",4.24264068712,"[97.0, 103.0]",0.933010863606,0.265896617202,185,-3.0,3.0,3.0,3.0
185,"[-100.0, 100.0]",12.3693168769,"[-88.0, 97.0]",0.899988612742,0.282540995046,186,12.0,-3.0,12.0,-3.0
186,"[0.0, 100.0]",9.05538513814,"[-9.0, 99.0]",0.883717101184,0.282886519795,187,-9.0,-1.0,9.0,-1.0
187,"[-100.0, 100.0]",13.9283882772,"[-95.0, 113.0]",0.883168768487,0.266226217849,188,5.0,13.0,5.0,13.0
