,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial,standardPokePosX,standardPokePosY,absolutePokePosX,absolutePokePosY
0,"[0.0, 0.0]",19.6977156036,"[8.0, 18.0]",1.13457989041,0.46780706197,1,8.0,18.0,8.0,18.0
1,"[100.0, -100.0]",18.2482875909,"[82.0, -97.0]",1.86789617781,0.45042561274,2,-18.0,3.0,18.0,3.0
2,"[100.0, 0.0]",7.81024967591,"[105.0, 6.0]",1.06744302809,0.366837216076,3,5.0,6.0,5.0,6.0
3,"[-100.0, 0.0]",5.65685424949,"[-96.0, -4.0]",1.4338448816,0.416864542756,4,4.0,-4.0,4.0,-4.0
4,"[-100.0, 100.0]",5.0,"[-96.0, 103.0]",1.05026649032,0.366635008249,5,4.0,3.0,4.0,3.0
5,"[0.0, 100.0]",10.6301458127,"[7.0, 108.0]",2.68528039102,0.300440379884,6,7.0,8.0,7.0,8.0
6,"[100.0, 0.0]",3.0,"[100.0, 3.0]",1.10094641009,0.333124415483,7,0.0,3.0,0.0,3.0
7,"[100.0, -100.0]",5.0,"[96.0, -97.0]",1.05078748334,0.316237218212,8,-4.0,3.0,4.0,3.0
8,"[0.0, 0.0]",8.0622577483,"[7.0, 4.0]",0.950104874559,0.316174122039,9,7.0,4.0,7.0,4.0
9,"[100.0, 0.0]",3.0,"[97.0, 0.0]",1.00124659669,0.266248950735,10,-3.0,0.0,3.0,0.0
10,"[100.0, 0.0]",11.1803398875,"[90.0, -5.0]",0.967800001614,0.300099962391,11,-10.0,-5.0,10.0,-5.0
11,"[-100.0, -100.0]",13.0,"[-105.0, -112.0]",1.53422943689,0.315912724473,12,-5.0,-12.0,5.0,-12.0
12,"[-100.0, -100.0]",8.60232526704,"[-93.0, -95.0]",1.13353459956,0.315766702406,13,7.0,5.0,7.0,5.0
13,"[0.0, -100.0]",15.5241746963,"[-15.0, -104.0]",1.01718915673,0.299791993573,14,-15.0,-4.0,15.0,-4.0
14,"[-100.0, 100.0]",10.4403065089,"[-110.0, 103.0]",1.08322814805,0.298911353108,15,-10.0,3.0,10.0,3.0
15,"[100.0, -100.0]",5.09901951359,"[99.0, -95.0]",1.08375124447,0.283167095389,16,-1.0,5.0,1.0,5.0
16,"[0.0, 0.0]",22.5610283454,"[5.0, 22.0]",1.05015742453,0.316214683931,17,5.0,22.0,5.0,22.0
17,"[0.0, -100.0]",8.60232526704,"[5.0, -93.0]",1.66763754422,0.265677181073,18,5.0,7.0,5.0,7.0
18,"[0.0, 100.0]",8.24621125124,"[2.0, 92.0]",1.09982810821,0.315733050928,19,2.0,-8.0,2.0,-8.0
19,"[-100.0, -100.0]",13.9283882772,"[-105.0, -87.0]",1.00047291955,0.317082103807,20,-5.0,13.0,5.0,13.0
20,"[0.0, 0.0]",2.2360679775,"[-2.0, -1.0]",1.00051288027,0.299819335341,21,-2.0,-1.0,2.0,-1.0
21,"[-100.0, 100.0]",13.3416640641,"[-103.0, 87.0]",0.867352350149,0.283125932794,22,-3.0,-13.0,3.0,-13.0
22,"[0.0, -100.0]",15.6524758425,"[7.0, -86.0]",1.25053323666,0.315858942457,23,7.0,14.0,7.0,14.0
23,"[100.0, 100.0]",28.1602556807,"[92.0, 73.0]",0.866669110488,0.316314135678,24,,,8.0,-27.0
24,"[0.0, -100.0]",16.9705627485,"[-12.0, -112.0]",0.950006324798,0.266277494375,25,-12.0,-12.0,12.0,-12.0
25,"[100.0, -100.0]",18.8679622641,"[90.0, -116.0]",1.0003963029,0.282030766364,26,-10.0,-16.0,10.0,-16.0
26,"[0.0, 100.0]",7.07106781187,"[5.0, 105.0]",1.05062944302,0.366429495625,27,5.0,5.0,5.0,5.0
27,"[100.0, 100.0]",12.3693168769,"[88.0, 97.0]",0.966987264343,0.21574089257,28,-12.0,-3.0,12.0,-3.0
28,"[-100.0, -100.0]",8.94427191,"[-104.0, -92.0]",0.9348085979,0.283252124675,29,-4.0,8.0,4.0,8.0
29,"[0.0, 100.0]",6.0827625303,"[-6.0, 101.0]",1.00021362538,0.299770060461,30,-6.0,1.0,6.0,1.0
30,"[-100.0, 100.0]",10.0498756211,"[-101.0, 90.0]",1.00021182233,0.216483923607,31,-1.0,-10.0,1.0,-10.0
31,"[-100.0, 0.0]",5.38516480713,"[-102.0, 5.0]",1.36750753643,0.366711624898,32,-2.0,5.0,2.0,5.0
32,"[0.0, 0.0]",2.0,"[-2.0, 0.0]",0.867327712942,0.500738674309,33,-2.0,0.0,2.0,0.0
33,"[100.0, 0.0]",13.8924439894,"[93.0, 12.0]",1.0169740296,0.266449055634,34,-7.0,12.0,7.0,12.0
34,"[0.0, -100.0]",7.81024967591,"[-5.0, -106.0]",0.917809030041,0.317271391861,35,-5.0,-6.0,5.0,-6.0
35,"[-100.0, 100.0]",11.401754251,"[-97.0, 89.0]",0.933771720622,0.29947591247,36,3.0,-11.0,3.0,-11.0
36,"[100.0, 100.0]",19.1049731745,"[87.0, 114.0]",0.799444815144,0.23269569315,37,-13.0,14.0,13.0,14.0
37,"[0.0, 100.0]",12.6491106407,"[-4.0, 112.0]",1.01737574069,0.132665376645,38,-4.0,12.0,4.0,12.0
38,"[-100.0, 0.0]",5.0,"[-96.0, -3.0]",0.950821765233,0.300098760054,39,4.0,-3.0,4.0,-3.0
39,"[100.0, -100.0]",10.0498756211,"[90.0, -101.0]",0.966271274723,0.299144808669,40,-10.0,-1.0,10.0,-1.0
40,"[100.0, 0.0]",7.81024967591,"[94.0, 5.0]",1.25068646949,0.316486898344,41,-6.0,5.0,6.0,5.0
41,"[100.0, 100.0]",16.4012194669,"[87.0, 90.0]",1.14995608851,0.282735038083,42,-13.0,-10.0,13.0,-10.0
42,"[100.0, 100.0]",18.2482875909,"[82.0, 97.0]",0.850129541941,0.284021595493,43,-18.0,-3.0,18.0,-3.0
43,"[-100.0, 100.0]",5.0,"[-96.0, 103.0]",1.13423466496,0.283518029377,44,4.0,3.0,4.0,3.0
44,"[0.0, 0.0]",13.0,"[0.0, 13.0]",0.8506817827,0.31730955001,45,0.0,13.0,0.0,13.0
45,"[0.0, 0.0]",9.21954445729,"[-6.0, -7.0]",1.18372297101,0.300030856859,46,-6.0,-7.0,6.0,-7.0
46,"[100.0, -100.0]",21.5870331449,"[105.0, -121.0]",0.90028967103,0.300011627842,47,5.0,-21.0,5.0,-21.0
47,"[0.0, 0.0]",8.94427191,"[-4.0, 8.0]",0.882982434239,0.316544886213,48,-4.0,8.0,4.0,8.0
48,"[100.0, 100.0]",2.2360679775,"[99.0, 102.0]",1.16727564344,0.266773849726,49,-1.0,2.0,1.0,2.0
49,"[100.0, 100.0]",13.3416640641,"[113.0, 103.0]",0.951015560422,0.283995155245,50,13.0,3.0,13.0,3.0
50,"[-100.0, 100.0]",9.43398113206,"[-92.0, 95.0]",0.916312152054,0.299307956826,51,8.0,-5.0,8.0,-5.0
51,"[-100.0, 100.0]",24.0416305603,"[-107.0, 123.0]",0.900798044167,0.282823672518,52,-7.0,23.0,7.0,23.0
52,"[-100.0, 0.0]",3.16227766017,"[-101.0, 3.0]",0.833791280165,0.116338232066,53,-1.0,3.0,1.0,3.0
53,"[100.0, 0.0]",6.0,"[94.0, 0.0]",1.03284538072,0.249132204335,54,-6.0,0.0,6.0,0.0
54,"[100.0, -100.0]",17.2046505341,"[86.0, -110.0]",1.86834956752,0.300114083569,55,-14.0,-10.0,14.0,-10.0
55,"[0.0, 100.0]",14.5602197786,"[-4.0, 86.0]",1.33295886312,0.549432571512,56,-4.0,-14.0,4.0,-14.0
56,"[100.0, -100.0]",13.0384048104,"[93.0, -111.0]",0.76675537182,0.265737272333,57,-7.0,-11.0,7.0,-11.0
57,"[-100.0, -100.0]",14.7648230602,"[-93.0, -113.0]",0.883802081924,0.299303149804,58,7.0,-13.0,7.0,-13.0
58,"[0.0, 100.0]",22.2036033112,"[-13.0, 82.0]",0.983683671337,0.31578533072,59,-13.0,-18.0,13.0,-18.0
59,"[-100.0, 100.0]",8.54400374532,"[-97.0, 92.0]",0.967363737524,0.299994802102,60,3.0,-8.0,3.0,-8.0
60,"[-100.0, 100.0]",4.24264068712,"[-97.0, 97.0]",0.884241950698,0.266712856945,61,3.0,-3.0,3.0,-3.0
61,"[-100.0, -100.0]",10.295630141,"[-95.0, -109.0]",1.14978032093,0.199297771789,62,5.0,-9.0,5.0,-9.0
62,"[0.0, 100.0]",16.0,"[0.0, 116.0]",1.00065740012,0.232449618168,63,0.0,16.0,0.0,16.0
63,"[100.0, 0.0]",20.2237484162,"[103.0, -20.0]",0.783539812546,0.282725122757,64,3.0,-20.0,3.0,-20.0
