,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial,standardPokePosX,standardPokePosY,absolutePokePosX,absolutePokePosY
0,"[0.0, 0.0]",2.0,"[-2.0, 0.0]",0.983656630295,0.332660809954,1,-2.0,0.0,2.0,0.0
1,"[100.0, -100.0]",17.0293863659,"[99.0, -83.0]",0.933471563678,0.349630632933,2,-1.0,17.0,1.0,17.0
2,"[100.0, 0.0]",6.0827625303,"[94.0, -1.0]",1.13332157544,0.365695178352,3,-6.0,-1.0,6.0,-1.0
3,"[-100.0, 0.0]",13.152946438,"[-87.0, 2.0]",1.01692205028,0.382487130666,4,13.0,2.0,13.0,2.0
4,"[-100.0, 100.0]",20.1246117975,"[-109.0, 82.0]",0.933443020245,0.383261108429,5,-9.0,-18.0,9.0,-18.0
5,"[0.0, 100.0]",12.5299640861,"[6.0, 89.0]",0.966796774652,0.365948463777,6,6.0,-11.0,6.0,-11.0
6,"[100.0, 0.0]",13.152946438,"[87.0, -2.0]",0.999962142392,0.366133845873,7,-13.0,-2.0,13.0,-2.0
7,"[100.0, -100.0]",12.0415945788,"[92.0, -109.0]",0.999935101243,0.349598484014,8,-8.0,-9.0,8.0,-9.0
8,"[0.0, 0.0]",1.0,"[0.0, -1.0]",1.05054050749,0.349855675382,9,0.0,-1.0,0.0,-1.0
9,"[100.0, 0.0]",1.0,"[99.0, 0.0]",5.25393200834,0.349149000032,10,-1.0,0.0,1.0,0.0
10,"[100.0, 0.0]",16.1245154966,"[86.0, 8.0]",1.23453058519,0.333119007193,11,-14.0,8.0,14.0,8.0
11,"[-100.0, -100.0]",7.28010988928,"[-102.0, -93.0]",1.03285048859,0.365696079725,12,-2.0,7.0,2.0,7.0
12,"[-100.0, -100.0]",10.4403065089,"[-103.0, -90.0]",0.849479052275,0.349299529094,13,-3.0,10.0,3.0,10.0
13,"[0.0, -100.0]",16.6433169771,"[-9.0, -114.0]",0.949891249513,0.332994617909,14,-9.0,-14.0,9.0,-14.0
14,"[-100.0, 100.0]",5.38516480713,"[-105.0, 102.0]",0.933049120847,0.366298195966,15,-5.0,2.0,5.0,2.0
15,"[100.0, -100.0]",7.61577310586,"[93.0, -97.0]",0.950311589146,0.33299251471,16,-7.0,3.0,7.0,3.0
16,"[0.0, 0.0]",11.401754251,"[-7.0, 9.0]",0.85010099869,0.333093468331,17,-7.0,9.0,7.0,9.0
17,"[0.0, -100.0]",13.8924439894,"[-12.0, -93.0]",0.93318012019,0.3323979099,18,-12.0,7.0,12.0,7.0
18,"[0.0, 100.0]",4.12310562562,"[1.0, 104.0]",1.03366022076,0.399442231243,19,1.0,4.0,1.0,4.0
19,"[-100.0, -100.0]",6.0827625303,"[-101.0, -94.0]",0.950216644667,0.315978524521,20,-1.0,6.0,1.0,6.0
20,"[0.0, 0.0]",2.82842712475,"[-2.0, -2.0]",0.93368548921,0.332980496421,21,-2.0,-2.0,2.0,-2.0
21,"[-100.0, 100.0]",10.6301458127,"[-93.0, 108.0]",0.933663255377,0.332420444191,22,7.0,8.0,7.0,8.0
22,"[0.0, -100.0]",13.0384048104,"[-13.0, -99.0]",0.966748100585,0.332595310285,23,-13.0,1.0,13.0,1.0
23,"[100.0, 100.0]",5.09901951359,"[101.0, 105.0]",0.883149188119,0.283081465064,24,1.0,5.0,1.0,5.0
24,"[0.0, -100.0]",5.83095189485,"[-5.0, -97.0]",0.999379255412,0.332360052291,25,-5.0,3.0,5.0,3.0
25,"[100.0, -100.0]",3.16227766017,"[97.0, -99.0]",1.03307643241,0.315484572875,26,-3.0,1.0,3.0,1.0
26,"[0.0, 100.0]",12.7279220614,"[-9.0, 109.0]",0.800832927465,0.299909472244,27,-9.0,9.0,9.0,9.0
27,"[100.0, 100.0]",3.60555127546,"[97.0, 98.0]",0.966346990213,0.315970712632,28,-3.0,-2.0,3.0,-2.0
28,"[-100.0, -100.0]",6.0827625303,"[-99.0, -94.0]",0.983583919651,0.332940235157,29,1.0,6.0,1.0,6.0
29,"[0.0, 100.0]",10.0,"[6.0, 92.0]",1.01721169103,0.333026165916,30,6.0,-8.0,6.0,-8.0
30,"[-100.0, 100.0]",14.0356688476,"[-99.0, 114.0]",0.900262930101,0.315607459872,31,1.0,14.0,1.0,14.0
31,"[-100.0, 0.0]",7.07106781187,"[-105.0, -5.0]",1.06671381842,0.29965077859,32,-5.0,-5.0,5.0,-5.0
32,"[0.0, 0.0]",10.0,"[-10.0, 0.0]",0.933826103181,0.299641163958,33,-10.0,0.0,10.0,0.0
33,"[100.0, 0.0]",17.7200451467,"[83.0, 5.0]",0.983758485287,0.28305412346,34,-17.0,5.0,17.0,5.0
34,"[0.0, -100.0]",8.0,"[-8.0, -100.0]",1.05064416523,0.299349119554,35,-8.0,0.0,8.0,0.0
35,"[-100.0, 100.0]",8.0622577483,"[-96.0, 107.0]",0.799336350125,0.132342685865,36,4.0,7.0,4.0,7.0
36,"[100.0, 100.0]",9.0,"[100.0, 109.0]",1.03321404181,0.349757125419,37,0.0,9.0,0.0,9.0
37,"[0.0, 100.0]",2.0,"[0.0, 98.0]",0.967058773334,0.33282786416,38,0.0,-2.0,0.0,-2.0
38,"[-100.0, 0.0]",4.472135955,"[-104.0, 2.0]",0.933333954277,0.282947160695,39,-4.0,2.0,4.0,2.0
39,"[100.0, -100.0]",19.6468827044,"[105.0, -119.0]",0.966925069879,0.433090133256,40,,,5.0,-19.0
40,"[100.0, 0.0]",8.94427191,"[92.0, -4.0]",0.933854346158,0.349796184853,41,-8.0,-4.0,8.0,-4.0
41,"[100.0, 100.0]",4.472135955,"[96.0, 98.0]",0.932964692372,0.298835337733,42,-4.0,-2.0,4.0,-2.0
42,"[100.0, 100.0]",21.0950231097,"[98.0, 79.0]",0.949942627696,0.449238506235,43,,,2.0,-21.0
43,"[-100.0, 100.0]",6.32455532034,"[-102.0, 106.0]",0.96696683343,0.333048099292,44,-2.0,6.0,2.0,6.0
44,"[0.0, 0.0]",5.0,"[0.0, 5.0]",0.933489591112,0.332873834113,45,0.0,5.0,0.0,5.0
45,"[0.0, 0.0]",7.28010988928,"[2.0, -7.0]",0.900284863477,0.332812841301,46,2.0,-7.0,2.0,-7.0
46,"[100.0, -100.0]",8.24621125124,"[92.0, -98.0]",0.950334123436,0.349679307001,47,-8.0,2.0,8.0,2.0
47,"[0.0, 0.0]",3.60555127546,"[-2.0, 3.0]",0.96693137948,0.349450058153,48,-2.0,3.0,2.0,3.0
