,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial,standardPokePosX,standardPokePosY,absolutePokePosX,absolutePokePosY
0,"[0.0, 0.0]",13.3416640641,"[3.0, 13.0]",3.56985383702,0.367173526436,1,3.0,13.0,3.0,13.0
1,"[100.0, -100.0]",16.1554944214,"[94.0, -85.0]",1.13465910678,0.383704031294,2,-6.0,15.0,6.0,15.0
2,"[100.0, 0.0]",6.7082039325,"[97.0, 6.0]",1.06774538488,0.333486666204,3,-3.0,6.0,3.0,6.0
3,"[-100.0, 0.0]",22.360679775,"[-90.0, 20.0]",0.933856047166,0.249701121065,4,10.0,20.0,10.0,20.0
4,"[-100.0, 100.0]",16.7630546142,"[-105.0, 116.0]",0.983624230139,0.266345799377,5,-5.0,16.0,5.0,16.0
5,"[0.0, 100.0]",6.0,"[0.0, 94.0]",0.834736714663,0.250298127823,6,0.0,-6.0,0.0,-6.0
6,"[100.0, 0.0]",15.2643375225,"[87.0, -8.0]",0.89991980826,0.283308660903,7,-13.0,-8.0,13.0,-8.0
7,"[100.0, -100.0]",16.1554944214,"[94.0, -85.0]",0.933946484525,0.400246253994,8,-6.0,15.0,6.0,15.0
8,"[0.0, 0.0]",9.48683298051,"[3.0, 9.0]",0.917683986656,0.34982427815,9,3.0,9.0,3.0,9.0
9,"[100.0, 0.0]",10.0,"[100.0, 10.0]",0.86664577492,0.266245146515,10,0.0,10.0,0.0,10.0
10,"[100.0, 0.0]",5.0,"[100.0, 5.0]",1.04991240194,0.499817172356,11,0.0,5.0,0.0,5.0
11,"[-100.0, -100.0]",9.89949493661,"[-107.0, -107.0]",0.900560381066,0.299213014776,12,-7.0,-7.0,7.0,-7.0
12,"[-100.0, -100.0]",11.0453610172,"[-101.0, -89.0]",0.782868342125,0.165939312021,13,-1.0,11.0,1.0,11.0
13,"[0.0, -100.0]",8.60232526704,"[-7.0, -95.0]",0.834381274879,0.266643852054,14,-7.0,5.0,7.0,5.0
14,"[-100.0, 100.0]",5.65685424949,"[-104.0, 104.0]",0.934022800473,0.266473192838,15,-4.0,4.0,4.0,4.0
15,"[100.0, -100.0]",14.8660687473,"[105.0, -86.0]",0.883680145023,0.316446286975,16,5.0,14.0,5.0,14.0
16,"[0.0, 0.0]",5.0,"[-5.0, 0.0]",0.916628784151,0.332710888004,17,-5.0,0.0,5.0,0.0
17,"[0.0, -100.0]",20.0,"[0.0, -80.0]",0.766744955559,0.265994866437,18,0.0,20.0,0.0,20.0
18,"[0.0, 100.0]",21.3775583264,"[-4.0, 121.0]",0.916746563045,0.300555453578,19,-4.0,21.0,4.0,21.0
19,"[-100.0, -100.0]",1.41421356237,"[-101.0, -99.0]",1.01662034134,0.366521836724,20,-1.0,1.0,1.0,1.0
20,"[0.0, 0.0]",13.3416640641,"[-3.0, 13.0]",0.983248058823,0.466398919991,21,-3.0,13.0,3.0,13.0
21,"[-100.0, 100.0]",12.1655250606,"[-98.0, 112.0]",1.11665065732,0.115874278243,22,2.0,12.0,2.0,12.0
22,"[0.0, -100.0]",8.24621125124,"[-8.0, -102.0]",1.01746252034,0.433432854479,23,-8.0,-2.0,8.0,-2.0
23,"[100.0, 100.0]",35.3553390593,"[69.0, 83.0]",0.816012878728,0.265606376401,24,,,31.0,-17.0
24,"[0.0, -100.0]",9.43398113206,"[5.0, -92.0]",0.833276497026,0.249482989835,25,5.0,8.0,5.0,8.0
25,"[100.0, -100.0]",5.09901951359,"[105.0, -101.0]",0.901139961265,0.333782014728,26,5.0,-1.0,5.0,-1.0
26,"[0.0, 100.0]",19.1049731745,"[2.0, 119.0]",0.917123335239,0.383769831271,27,2.0,19.0,2.0,19.0
27,"[100.0, 100.0]",5.38516480713,"[102.0, 95.0]",1.03388275777,0.417843078321,28,2.0,-5.0,2.0,-5.0
28,"[-100.0, -100.0]",17.0293863659,"[-89.0, -87.0]",0.866666506394,0.299308259448,29,11.0,13.0,11.0,13.0
29,"[0.0, 100.0]",2.82842712475,"[2.0, 98.0]",0.850303656189,0.283284023462,30,2.0,-2.0,2.0,-2.0
30,"[-100.0, 100.0]",12.6491106407,"[-104.0, 88.0]",0.917312021775,0.299848780327,31,-4.0,-12.0,4.0,-12.0
31,"[-100.0, 0.0]",6.0,"[-100.0, 6.0]",0.916479457344,0.332811240398,32,0.0,6.0,0.0,6.0
32,"[0.0, 0.0]",7.28010988928,"[2.0, -7.0]",0.934173028625,0.316900276463,33,2.0,-7.0,2.0,-7.0
33,"[100.0, 0.0]",8.24621125124,"[102.0, 8.0]",1.03284377989,0.466060906707,34,2.0,8.0,2.0,8.0
34,"[0.0, -100.0]",28.8617393793,"[-28.0, -93.0]",1.01776988711,0.433855896932,35,,,28.0,7.0
35,"[-100.0, 100.0]",17.7200451467,"[-83.0, 95.0]",1.01688354107,0.400282609218,36,17.0,-5.0,17.0,-5.0
36,"[100.0, 100.0]",11.6619037897,"[90.0, 106.0]",0.949967415479,0.333306091954,37,-10.0,6.0,10.0,6.0
37,"[0.0, 100.0]",25.2388589282,"[-21.0, 86.0]",0.899971787177,0.299659793323,38,-21.0,-14.0,21.0,-14.0
38,"[-100.0, 0.0]",14.7648230602,"[-113.0, 7.0]",0.884425276658,0.23310121079,39,-13.0,7.0,13.0,7.0
39,"[100.0, -100.0]",13.4536240471,"[110.0, -91.0]",0.98343283945,0.383174927789,40,10.0,9.0,10.0,9.0
40,"[100.0, 0.0]",5.65685424949,"[96.0, 4.0]",0.867297464691,0.265804377093,41,-4.0,4.0,4.0,4.0
41,"[100.0, 100.0]",5.83095189485,"[105.0, 103.0]",0.93319804786,0.282680106291,42,5.0,3.0,5.0,3.0
42,"[100.0, 100.0]",16.4924225025,"[84.0, 104.0]",0.93419376004,0.383825115219,43,-16.0,4.0,16.0,4.0
43,"[-100.0, 100.0]",13.0384048104,"[-99.0, 87.0]",0.917309918616,0.299949433247,44,1.0,-13.0,1.0,-13.0
44,"[0.0, 0.0]",12.5299640861,"[11.0, 6.0]",1.10038725811,0.450218747195,45,11.0,6.0,11.0,6.0
45,"[0.0, 0.0]",14.3178210633,"[3.0, 14.0]",0.867565471679,0.283443265304,46,3.0,14.0,3.0,14.0
46,"[100.0, -100.0]",16.0312195419,"[116.0, -99.0]",1.04989046865,0.432864691596,47,16.0,1.0,16.0,1.0
47,"[0.0, 0.0]",19.4164878389,"[16.0, 11.0]",0.883559662034,0.29902973643,48,16.0,11.0,16.0,11.0
48,"[100.0, 100.0]",5.0,"[96.0, 103.0]",0.983929193229,0.316687853832,49,-4.0,3.0,4.0,3.0
49,"[100.0, 100.0]",13.8924439894,"[93.0, 112.0]",0.984174966521,0.33308525657,50,-7.0,12.0,7.0,12.0
50,"[-100.0, 100.0]",5.83095189485,"[-103.0, 105.0]",0.933628601721,0.282883214706,51,-3.0,5.0,3.0,5.0
51,"[-100.0, 100.0]",5.83095189485,"[-95.0, 103.0]",1.00038728816,0.31562363758,52,5.0,3.0,5.0,3.0
52,"[-100.0, 0.0]",18.1107702763,"[-118.0, 2.0]",1.01731649862,0.315744421096,53,-18.0,2.0,18.0,2.0
53,"[100.0, 0.0]",17.2046505341,"[110.0, 14.0]",0.934178136347,0.300532618887,54,10.0,14.0,10.0,14.0
54,"[100.0, -100.0]",10.1980390272,"[98.0, -90.0]",1.05024981441,0.383086894057,55,-2.0,10.0,2.0,10.0
