,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial,standardPokePosX,standardPokePosY,absolutePokePosX,absolutePokePosY
123,"[100.0, -100.0]",9.21954445729,"[94.0, -107.0]",0.947096697055,0.248939611018,124,-6.0,-7.0,6.0,-7.0
124,"[0.0, 100.0]",12.8062484749,"[-10.0, 92.0]",0.997001136653,0.282855520956,125,-10.0,-8.0,10.0,-8.0
125,"[0.0, -100.0]",7.28010988928,"[7.0, -102.0]",0.980662273709,0.249152334873,126,7.0,-2.0,7.0,-2.0
126,"[100.0, -100.0]",2.0,"[100.0, -102.0]",0.981476813555,0.232300892472,127,0.0,-2.0,0.0,-2.0
127,"[0.0, -100.0]",3.60555127546,"[-3.0, -98.0]",0.963429851457,0.215189553797,128,-3.0,2.0,3.0,2.0
128,"[100.0, 0.0]",2.0,"[98.0, 0.0]",0.997529941145,0.216594191268,129,-2.0,0.0,2.0,0.0
129,"[100.0, 100.0]",11.6619037897,"[90.0, 94.0]",0.979115820955,0.197536190972,130,-10.0,-6.0,10.0,-6.0
130,"[100.0, -100.0]",5.09901951359,"[99.0, -105.0]",1.01333879773,0.24867971614,131,-1.0,-5.0,1.0,-5.0
131,"[0.0, -100.0]",10.1980390272,"[2.0, -110.0]",1.03009379376,0.232525334228,132,2.0,-10.0,2.0,-10.0
132,"[0.0, 100.0]",12.7279220614,"[-9.0, 91.0]",0.946555273142,0.215559116099,133,-9.0,-9.0,9.0,-9.0
133,"[100.0, -100.0]",5.09901951359,"[101.0, -105.0]",2.22661864525,0.264684170019,134,1.0,-5.0,1.0,-5.0
134,"[100.0, 0.0]",9.48683298051,"[91.0, -3.0]",2.19466742547,0.215732479934,135,-9.0,-3.0,9.0,-3.0
135,"[0.0, 100.0]",15.2643375225,"[13.0, 92.0]",3.95585202007,0.16592178354,136,13.0,-8.0,13.0,-8.0
136,"[0.0, -100.0]",6.32455532034,"[2.0, -106.0]",0.980234723072,0.199071526993,137,2.0,-6.0,2.0,-6.0
137,"[-100.0, 100.0]",5.0,"[-96.0, 103.0]",1.01342532923,0.264862942044,138,4.0,3.0,4.0,3.0
138,"[100.0, 0.0]",10.6301458127,"[108.0, -7.0]",0.963579779491,0.132395866793,139,8.0,-7.0,8.0,-7.0
139,"[100.0, 0.0]",20.8806130178,"[94.0, -20.0]",0.897063962184,0.231491160113,140,-6.0,-20.0,6.0,-20.0
140,"[-100.0, 0.0]",9.43398113206,"[-92.0, -5.0]",0.914231185336,0.115821145009,141,8.0,-5.0,8.0,-5.0
141,"[0.0, -100.0]",11.401754251,"[-3.0, -111.0]",0.912931106985,0.197446354199,142,-3.0,-11.0,3.0,-11.0
142,"[0.0, 0.0]",20.0997512422,"[-2.0, -20.0]",0.980642443523,0.21537944302,143,-2.0,-20.0,2.0,-20.0
143,"[100.0, 100.0]",15.6524758425,"[86.0, 93.0]",0.997412462719,0.264947670978,144,-14.0,-7.0,14.0,-7.0
144,"[-100.0, 0.0]",22.0,"[-100.0, 22.0]",0.996496067848,0.215101219248,145,0.0,22.0,0.0,22.0
145,"[0.0, 0.0]",34.9857113691,"[30.0, -18.0]",3.62292800937,0.23167564068,146,,,30.0,-18.0
146,"[-100.0, -100.0]",10.0,"[-90.0, -100.0]",0.947119531687,0.182267556433,147,10.0,0.0,10.0,0.0
147,"[0.0, 0.0]",7.0,"[0.0, 7.0]",2.09407916013,0.232218867633,148,0.0,7.0,0.0,7.0
148,"[100.0, 100.0]",2.82842712475,"[102.0, 98.0]",1.97657245025,0.248139493633,149,2.0,-2.0,2.0,-2.0
149,"[-100.0, 100.0]",10.0498756211,"[-99.0, 90.0]",1.0142068183,0.26530040754,150,1.0,-10.0,1.0,-10.0
150,"[100.0, 100.0]",17.2626765016,"[103.0, 83.0]",1.01334029995,0.231694870163,151,3.0,-17.0,3.0,-17.0
151,"[-100.0, 0.0]",10.6301458127,"[-93.0, -8.0]",2.22704469366,0.248807410244,152,7.0,-8.0,7.0,-8.0
152,"[0.0, 100.0]",22.5610283454,"[5.0, 78.0]",0.997861946467,0.248687527608,153,5.0,-22.0,5.0,-22.0
153,"[0.0, 0.0]",19.2353840617,"[17.0, -9.0]",0.914193628356,0.198780985083,154,17.0,-9.0,17.0,-9.0
154,"[-100.0, -100.0]",5.38516480713,"[-98.0, -95.0]",0.896734060254,0.214670063462,155,2.0,5.0,2.0,5.0
155,"[-100.0, -100.0]",19.6977156036,"[-108.0, -118.0]",2.09369367361,0.248080303892,156,-8.0,-18.0,8.0,-18.0
156,"[-100.0, 0.0]",6.40312423743,"[-105.0, 4.0]",1.99468851741,0.182994362433,157,-5.0,4.0,5.0,4.0
157,"[100.0, -100.0]",10.0498756211,"[101.0, -110.0]",0.963392294012,0.131961405743,158,1.0,-10.0,1.0,-10.0
158,"[0.0, -100.0]",10.8166538264,"[6.0, -109.0]",0.930261178873,0.165322671644,159,6.0,-9.0,6.0,-9.0
159,"[-100.0, 100.0]",5.38516480713,"[-98.0, 95.0]",0.997830699198,0.248867802322,160,2.0,-5.0,2.0,-5.0
160,"[0.0, 0.0]",10.0,"[6.0, -8.0]",1.01307259267,0.114970250055,161,6.0,-8.0,6.0,-8.0
161,"[-100.0, 100.0]",11.0453610172,"[-89.0, 101.0]",2.36119523086,0.248029226437,162,11.0,1.0,11.0,1.0
162,"[-100.0, 0.0]",11.401754251,"[-109.0, 7.0]",1.06379487645,0.26601729868,163,-9.0,7.0,9.0,7.0
163,"[-100.0, 100.0]",12.1655250606,"[-98.0, 88.0]",2.16073228605,0.231961074751,164,2.0,-12.0,2.0,-12.0
164,"[-100.0, -100.0]",12.0830459736,"[-95.0, -111.0]",0.912082015071,0.180817249231,165,5.0,-11.0,5.0,-11.0
165,"[-100.0, -100.0]",13.8924439894,"[-88.0, -107.0]",0.947512830608,0.249170663301,166,12.0,-7.0,12.0,-7.0
166,"[100.0, 100.0]",22.0227155455,"[99.0, 78.0]",2.19497178867,0.34948160639,167,-1.0,-22.0,1.0,-22.0
167,"[0.0, -100.0]",13.0384048104,"[1.0, -113.0]",1.01400821656,0.232161480002,168,1.0,-13.0,1.0,-13.0
168,"[0.0, 0.0]",7.0,"[0.0, -7.0]",1.04681874439,0.249083229806,169,0.0,-7.0,0.0,-7.0
169,"[-100.0, -100.0]",9.8488578018,"[-104.0, -91.0]",0.981070895214,0.232582120225,170,-4.0,9.0,4.0,9.0
170,"[100.0, -100.0]",28.4429253067,"[128.0, -105.0]",3.59019530006,0.116328917444,171,28.0,-5.0,28.0,-5.0
171,"[-100.0, -100.0]",7.07106781187,"[-93.0, -101.0]",0.947097898927,0.248728690203,172,7.0,-1.0,7.0,-1.0
172,"[100.0, -100.0]",12.3693168769,"[112.0, -103.0]",1.02989579225,0.265279976185,173,12.0,-3.0,12.0,-3.0
173,"[-100.0, 100.0]",4.472135955,"[-102.0, 104.0]",2.19272286631,0.231534426101,174,-2.0,4.0,2.0,4.0
174,"[0.0, -100.0]",4.472135955,"[4.0, -102.0]",0.963305161335,0.165499340277,175,4.0,-2.0,4.0,-2.0
175,"[100.0, -100.0]",9.21954445729,"[107.0, -106.0]",0.964474240318,0.199195615947,176,7.0,-6.0,7.0,-6.0
176,"[100.0, 0.0]",19.4164878389,"[111.0, -16.0]",1.03018062608,0.198918894865,177,11.0,-16.0,11.0,-16.0
177,"[100.0, 0.0]",17.0293863659,"[101.0, -17.0]",2.14542849874,0.150862567592,178,1.0,-17.0,1.0,-17.0
178,"[0.0, 100.0]",11.401754251,"[-7.0, 109.0]",3.93895761156,0.215855967719,179,-7.0,9.0,7.0,9.0
179,"[-100.0, 0.0]",15.0332963784,"[-99.0, 15.0]",0.947908231989,0.24960241979,180,1.0,15.0,1.0,15.0
180,"[0.0, 0.0]",9.21954445729,"[6.0, 7.0]",0.997745969798,0.232478762977,181,6.0,7.0,6.0,7.0
181,"[100.0, 100.0]",15.8113883008,"[105.0, 85.0]",1.01300078351,0.231630572118,182,5.0,-15.0,5.0,-15.0
182,"[0.0, 100.0]",5.83095189485,"[5.0, 103.0]",0.963938224595,0.182263350114,183,5.0,3.0,5.0,3.0
183,"[0.0, -100.0]",10.295630141,"[-5.0, -91.0]",0.997122221161,0.282056906261,184,-5.0,9.0,5.0,9.0
184,"[100.0, 100.0]",6.7082039325,"[94.0, 97.0]",0.913800029084,0.24837955879,185,-6.0,-3.0,6.0,-3.0
185,"[-100.0, 100.0]",11.1803398875,"[-90.0, 95.0]",0.980525565799,0.232011551969,186,10.0,-5.0,10.0,-5.0
186,"[0.0, 100.0]",3.16227766017,"[1.0, 97.0]",2.25952141406,0.164829921909,187,1.0,-3.0,1.0,-3.0
187,"[-100.0, 100.0]",21.6333076528,"[-82.0, 112.0]",1.9950421555,0.232504301704,188,18.0,12.0,18.0,12.0
188,"[-100.0, -100.0]",19.1049731745,"[-119.0, -102.0]",2.69242376136,0.198333003093,189,-19.0,-2.0,19.0,-2.0
189,"[0.0, 100.0]",10.4403065089,"[3.0, 90.0]",0.896382825915,0.197965844534,190,3.0,-10.0,3.0,-10.0
190,"[100.0, -100.0]",19.2353840617,"[91.0, -117.0]",2.21036991989,0.248581165913,191,-9.0,-17.0,9.0,-17.0
191,"[-100.0, 0.0]",10.1980390272,"[-90.0, 2.0]",0.946607853286,0.248274699785,192,10.0,2.0,10.0,2.0
192,"[100.0, -100.0]",9.21954445729,"[109.0, -102.0]",0.931414333638,0.19907092629,193,9.0,-2.0,9.0,-2.0
193,"[100.0, 100.0]",10.4403065089,"[90.0, 103.0]",0.913830976468,0.24825426843,194,-10.0,3.0,10.0,3.0
194,"[0.0, 0.0]",18.2482875909,"[-3.0, -18.0]",0.930784875527,0.231989318505,195,-3.0,-18.0,3.0,-18.0
195,"[100.0, 100.0]",17.1172427686,"[102.0, 83.0]",0.94698943384,0.232192727737,196,2.0,-17.0,2.0,-17.0
196,"[-100.0, 100.0]",14.1421356237,"[-90.0, 90.0]",2.21104144165,0.20002397662,197,10.0,-10.0,10.0,-10.0
197,"[-100.0, -100.0]",17.0293863659,"[-101.0, -117.0]",0.979763005394,0.265173914842,198,-1.0,-17.0,1.0,-17.0
198,"[0.0, 0.0]",13.152946438,"[-2.0, -13.0]",0.847443454899,0.181921429932,199,-2.0,-13.0,2.0,-13.0
199,"[0.0, 100.0]",9.21954445729,"[-6.0, 93.0]",0.980471483432,0.21507117385,200,-6.0,-7.0,6.0,-7.0
