,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial,standardPokePosX,standardPokePosY,absolutePokePosX,absolutePokePosY
0,"[0.0, 0.0]",15.2643375225,"[13.0, -8.0]",0.933919025119,0.349611074489,1,13.0,-8.0,13.0,-8.0
1,"[100.0, -100.0]",14.1421356237,"[114.0, -98.0]",0.850114358007,0.316326757486,2,14.0,2.0,14.0,2.0
2,"[100.0, 0.0]",8.0,"[92.0, 0.0]",0.866576085624,0.3667701878,3,-8.0,0.0,8.0,0.0
3,"[-100.0, 0.0]",18.4390889146,"[-96.0, 18.0]",0.866631071258,0.266112584097,4,4.0,18.0,4.0,18.0
4,"[-100.0, 100.0]",25.079872408,"[-90.0, 123.0]",0.849967429298,0.282688789885,5,10.0,23.0,10.0,23.0
5,"[0.0, 100.0]",14.1421356237,"[10.0, 110.0]",0.83318600402,0.249223591294,6,10.0,10.0,10.0,10.0
6,"[100.0, 0.0]",13.0,"[100.0, 13.0]",0.899474602076,0.282513016311,7,0.0,13.0,0.0,13.0
7,"[100.0, -100.0]",9.21954445729,"[107.0, -106.0]",0.950232622155,0.416269548412,8,7.0,-6.0,7.0,-6.0
8,"[0.0, 0.0]",11.0,"[11.0, 0.0]",0.916725057526,0.315824675839,9,11.0,0.0,11.0,0.0
9,"[100.0, 0.0]",6.32455532034,"[106.0, -2.0]",0.850057269156,0.282449317107,10,6.0,-2.0,6.0,-2.0
10,"[100.0, 0.0]",10.295630141,"[105.0, 9.0]",0.816145274963,0.282553579425,11,5.0,9.0,5.0,9.0
11,"[-100.0, -100.0]",18.0277563773,"[-90.0, -85.0]",0.816401573946,0.265732792788,12,10.0,15.0,10.0,15.0
12,"[-100.0, -100.0]",9.05538513814,"[-99.0, -91.0]",0.866799934127,0.299086217419,13,1.0,9.0,1.0,9.0
13,"[0.0, -100.0]",23.7065391823,"[11.0, -79.0]",0.849665759655,0.282179797534,14,11.0,21.0,11.0,21.0
14,"[-100.0, 100.0]",10.0,"[-94.0, 108.0]",0.899676816829,0.282676170231,15,6.0,8.0,6.0,8.0
15,"[100.0, -100.0]",12.2065556157,"[107.0, -110.0]",0.983267250471,0.332618420362,16,7.0,-10.0,7.0,-10.0
16,"[0.0, 0.0]",7.28010988928,"[7.0, 2.0]",0.91673046595,0.299427548773,17,7.0,2.0,7.0,2.0
17,"[0.0, -100.0]",14.8660687473,"[5.0, -86.0]",0.933501074498,0.29943506053,18,5.0,14.0,5.0,14.0
18,"[0.0, 100.0]",12.1655250606,"[2.0, 88.0]",0.933189188945,0.282347758999,19,2.0,-12.0,2.0,-12.0
19,"[-100.0, -100.0]",13.416407865,"[-88.0, -94.0]",0.999962441507,0.332167418208,20,12.0,6.0,12.0,6.0
20,"[0.0, 0.0]",8.0,"[8.0, 0.0]",0.999697428953,0.298877692781,21,8.0,0.0,8.0,0.0
21,"[-100.0, 100.0]",7.81024967591,"[-95.0, 106.0]",0.899713473918,0.315785615006,22,5.0,6.0,5.0,6.0
22,"[0.0, -100.0]",4.24264068712,"[3.0, -97.0]",1.03340630693,0.432560309884,23,3.0,3.0,3.0,3.0
23,"[100.0, 100.0]",9.8488578018,"[109.0, 104.0]",0.882565778389,0.382142719813,24,9.0,4.0,9.0,4.0
24,"[0.0, -100.0]",14.7648230602,"[7.0, -87.0]",0.866382283974,0.299135193694,25,7.0,13.0,7.0,13.0
25,"[100.0, -100.0]",13.152946438,"[98.0, -113.0]",0.832991300849,0.29898646212,26,-2.0,-13.0,2.0,-13.0
26,"[0.0, 100.0]",15.2970585408,"[15.0, 103.0]",0.833294472832,0.249588960083,27,15.0,3.0,15.0,3.0
27,"[100.0, 100.0]",13.0,"[112.0, 105.0]",0.766151945398,0.232699967339,28,12.0,5.0,12.0,5.0
28,"[-100.0, -100.0]",23.3238075794,"[-88.0, -80.0]",0.899751633347,0.282867868664,29,12.0,20.0,12.0,20.0
29,"[0.0, 100.0]",20.2484567313,"[-7.0, 81.0]",0.833512011508,0.299252977013,30,-7.0,-19.0,7.0,-19.0
30,"[-100.0, 100.0]",10.0,"[-94.0, 108.0]",0.866866938421,0.28296642215,31,6.0,8.0,6.0,8.0
31,"[-100.0, 0.0]",21.5870331449,"[-95.0, 21.0]",0.833462734823,0.249511739879,32,5.0,21.0,5.0,21.0
32,"[0.0, 0.0]",9.21954445729,"[2.0, 9.0]",0.832535491267,0.265340682352,33,2.0,9.0,2.0,9.0
33,"[100.0, 0.0]",15.5563491861,"[111.0, 11.0]",0.950100416318,0.33285789314,34,11.0,11.0,11.0,11.0
34,"[0.0, -100.0]",23.0867927612,"[22.0, -93.0]",0.849505610298,0.282001920568,35,22.0,7.0,22.0,7.0
35,"[-100.0, 100.0]",18.7882942281,"[-83.0, 108.0]",0.882841607789,0.281968869094,36,17.0,8.0,17.0,8.0
36,"[100.0, 100.0]",10.295630141,"[109.0, 95.0]",1.00037588517,0.366350133903,37,9.0,-5.0,9.0,-5.0
37,"[0.0, 100.0]",13.8924439894,"[12.0, 93.0]",1.04995216551,0.566388052888,38,12.0,-7.0,12.0,-7.0
38,"[-100.0, 0.0]",52.3259018078,"[-77.0, 47.0]",1.04985601583,0.66645583848,39,,,23.0,47.0
39,"[100.0, -100.0]",6.7082039325,"[106.0, -103.0]",0.917512583605,0.434124545078,40,6.0,-3.0,6.0,-3.0
40,"[100.0, 0.0]",7.81024967591,"[105.0, -6.0]",0.816581554129,0.316294907883,41,5.0,-6.0,5.0,-6.0
41,"[100.0, 100.0]",9.48683298051,"[109.0, 103.0]",0.832908071287,0.281923498493,42,9.0,3.0,9.0,3.0
42,"[100.0, 100.0]",16.0,"[100.0, 116.0]",0.833676968352,0.316192147962,43,0.0,16.0,0.0,16.0
43,"[-100.0, 100.0]",30.5941170816,"[-70.0, 94.0]",0.800310623599,0.283224223473,44,30.0,-6.0,30.0,-6.0
44,"[0.0, 0.0]",15.8113883008,"[9.0, -13.0]",0.866668930161,0.282902722945,45,9.0,-13.0,9.0,-13.0
45,"[0.0, 0.0]",25.079872408,"[-10.0, 23.0]",0.799462403054,0.298790557135,46,-10.0,23.0,10.0,23.0
46,"[100.0, -100.0]",9.21954445729,"[102.0, -109.0]",0.850607425673,0.282577616861,47,2.0,-9.0,2.0,-9.0
47,"[0.0, 0.0]",7.07106781187,"[7.0, -1.0]",0.767061160819,0.249851869361,48,7.0,-1.0,7.0,-1.0
48,"[100.0, 100.0]",5.0,"[105.0, 100.0]",0.766208132787,0.232022712938,49,5.0,0.0,5.0,0.0
49,"[100.0, 100.0]",22.8473193176,"[121.0, 91.0]",0.732888961502,0.131852167426,50,21.0,-9.0,21.0,-9.0
50,"[-100.0, 100.0]",8.54400374532,"[-97.0, 92.0]",0.850433454791,0.265992997913,51,3.0,-8.0,3.0,-8.0
51,"[-100.0, 100.0]",39.5600808897,"[-89.0, 138.0]",0.833710620704,0.265879421087,52,,,11.0,38.0
52,"[-100.0, 0.0]",16.7630546142,"[-95.0, 16.0]",0.816793383914,0.249559213757,53,5.0,16.0,5.0,16.0
53,"[100.0, 0.0]",24.6981780705,"[109.0, -23.0]",0.800134249032,0.215697698179,54,9.0,-23.0,9.0,-23.0
54,"[100.0, -100.0]",26.0768096208,"[122.0, -114.0]",0.849673571822,0.282745277858,55,22.0,-14.0,22.0,-14.0
55,"[0.0, 100.0]",0.0,"[0.0, 100.0]",0.865921666846,0.282066521177,56,0.0,0.0,0.0,0.0
56,"[100.0, -100.0]",12.2065556157,"[90.0, -107.0]",0.817212836933,0.249453749566,57,-10.0,-7.0,10.0,-7.0
57,"[-100.0, -100.0]",17.0293863659,"[-89.0, -87.0]",0.749354595202,0.198727278621,58,11.0,13.0,11.0,13.0
58,"[0.0, 100.0]",8.0622577483,"[1.0, 92.0]",0.750409237109,0.132842809719,59,1.0,-8.0,1.0,-8.0
59,"[-100.0, 100.0]",33.2415402772,"[-96.0, 133.0]",0.69966143294,0.13260363735,60,,,4.0,33.0
60,"[-100.0, 100.0]",15.6524758425,"[-86.0, 107.0]",0.716427834879,0.132098851493,61,14.0,7.0,14.0,7.0
61,"[-100.0, -100.0]",15.6204993518,"[-90.0, -112.0]",0.933002297999,0.28280356864,62,10.0,-12.0,10.0,-12.0
62,"[0.0, 100.0]",9.21954445729,"[6.0, 107.0]",0.733275663573,0.148932858661,63,6.0,7.0,6.0,7.0
63,"[100.0, 0.0]",10.6301458127,"[107.0, 8.0]",0.816678605275,0.266259512806,64,7.0,8.0,7.0,8.0
64,"[100.0, -100.0]",8.0622577483,"[107.0, -96.0]",0.849683787732,0.299049860798,65,7.0,4.0,7.0,4.0
65,"[0.0, 100.0]",12.8062484749,"[10.0, 108.0]",0.833342848113,0.266012227803,66,10.0,8.0,10.0,8.0
66,"[-100.0, -100.0]",12.8062484749,"[-90.0, -92.0]",0.883595781866,0.316489911464,67,10.0,8.0,10.0,8.0
67,"[100.0, 100.0]",32.3109888428,"[112.0, 70.0]",0.850902785431,0.299527905008,68,,,12.0,-30.0
68,"[-100.0, -100.0]",41.2310562562,"[-84.0, -62.0]",0.866864835203,0.299257484032,69,,,16.0,38.0
69,"[-100.0, 0.0]",29.0,"[-80.0, 21.0]",0.916993375286,0.299301352352,70,20.0,21.0,20.0,21.0
70,"[100.0, 0.0]",5.09901951359,"[101.0, 5.0]",0.833072427136,0.232413321035,71,1.0,5.0,1.0,5.0
71,"[-100.0, 0.0]",14.8660687473,"[-89.0, -10.0]",0.917222632153,0.282876582234,72,11.0,-10.0,11.0,-10.0
72,"[0.0, -100.0]",21.9317121995,"[-9.0, -80.0]",0.80035028531,0.28344326443,73,-9.0,20.0,9.0,20.0
73,"[0.0, -100.0]",7.81024967591,"[5.0, -94.0]",0.799114461406,0.198707447795,74,5.0,6.0,5.0,6.0
74,"[-100.0, 0.0]",13.152946438,"[-87.0, 2.0]",0.832863902557,0.232068384066,75,13.0,2.0,13.0,2.0
75,"[-100.0, 100.0]",13.416407865,"[-88.0, 94.0]",0.816955937014,0.199548757519,76,12.0,-6.0,12.0,-6.0
76,"[-100.0, 0.0]",17.4928556845,"[-85.0, 9.0]",0.949669545516,0.365970943531,77,15.0,9.0,15.0,9.0
77,"[0.0, -100.0]",4.472135955,"[2.0, -104.0]",0.95111329318,0.333380406606,78,2.0,-4.0,2.0,-4.0
78,"[0.0, -100.0]",13.152946438,"[2.0, -87.0]",0.967159473861,0.466772771848,79,2.0,13.0,2.0,13.0
79,"[0.0, 100.0]",19.6468827044,"[19.0, 95.0]",0.849516727612,0.26617117523,80,19.0,-5.0,19.0,-5.0
80,"[100.0, 100.0]",24.0208242989,"[101.0, 76.0]",0.800432613469,0.283093820442,81,1.0,-24.0,1.0,-24.0
81,"[-100.0, 100.0]",27.0185121722,"[-83.0, 121.0]",0.867043012579,0.33283265389,82,17.0,21.0,17.0,21.0
